PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Open the more menu",,""Άνοιγμα του μενού ""Περισσότερα"""",,"None",,"All",,"Skype - iOS",,""
"More menu",,"Μενού Περισσότερα",,"None",,"All",,"Skype - iOS",,""
"Cancel",,"Ακύρωση",,"None",,"All",,"Skype - iOS",,""
"Recent calls and messages will appear here.",,"Εδώ θα εμφανίζονται οι πρόσφατες κλήσεις και τα μηνύματα.",,"None",,"All",,"Skype - iOS",,""
"Search",,"Αναζήτηση",,"None",,"All",,"Skype - iOS",,""
"Hide options",,"Απόκρυψη επιλογών",,"None",,"All",,"Skype - iOS",,""
"Show options",,"Εμφάνιση επιλογών",,"None",,"All",,"Skype - iOS",,""
"Done",,"Ολοκληρώθηκε",,"None",,"All",,"Skype - iOS",,""
"%lu %@ %lu",,"%lu %@ %lu",,"None",,"All",,"Skype - iOS",,""
"Copied",,"Αντιγράφηκε",,"None",,"All",,"Skype - iOS",,""
"Copying",,"Αντιγραφή",,"None",,"All",,"Skype - iOS",,""
"Failed",,"Απέτυχε",,"None",,"All",,"Skype - iOS",,""
"Preparing",,"Προετοιμασία",,"None",,"All",,"Skype - iOS",,""
"Saved",,"Αποθηκεύτηκε",,"None",,"All",,"Skype - iOS",,""
"Saving",,"Αποθήκευση",,"None",,"All",,"Skype - iOS",,""
"Search Giphy",,"Αναζήτηση Giphy",,"None",,"All",,"Skype - iOS",,""
"& %d others",,"και %d άλλοι",,"None",,"All",,"Skype - iOS",,""
"%1$d out of %2$d selected",,"Έχουν επιλεγεί %1$d από %2$d",,"None",,"All",,"Skype - iOS",,""
"Skype version",,"Έκδοση Skype",,"None",,"All",,"Skype - iOS",,""
"© 2003-2017 Skype & Microsoft\nPatent Pending",,"© 2003-2017 Skype & Microsoft\nΕκκρεμούν διπλώματα ευρεσιτεχνίας",,"None",,"All",,"Skype - iOS",,""
"The Skype name, associated trade marks and logos and the “S” logo are trade marks of Skype or related entities.\n\nWarning: This program is protected by copyright law and international treaties. Unauthorized reproduction or distribution of this program, or any portion of it, may result in severe criminal and civil penalties and will be prosecuted to the maximum extent possible under the law.",,""Η ονομασία Skype, τα αντίστοιχα εμπορικά σήματα και λογότυπα, καθώς και το λογότυπο ""S"" αποτελούν σήματα κατατεθέντα της Skype ή των σχετικών νομικών προσώπων.\n\nΠροειδοποίηση: Το παρόν πρόγραμμα προστατεύεται από το νόμο περί πνευματικής ιδιοκτησίας και από διεθνείς συμβάσεις. Η μη εξουσιοδοτημένη αναπαραγωγή ή διανομή αυτού του προγράμματος ή τμήματος αυτού μπορεί να οδηγήσει σε σοβαρές αστικές και ποινικές κυρώσεις και θα ασκηθούν ποινικές διώξεις στο μέγιστο επιτρεπόμενο από τη νομοθεσία βαθμό."",,"None",,"All",,"Skype - iOS",,""
"Privacy Policy",,"Πολιτική απορρήτου",,"None",,"All",,"Skype - iOS",,""
"About",,"Πληροφορίες",,"None",,"All",,"Skype - iOS",,""
"Terms of Use",,"Όροι Χρήσης",,"None",,"All",,"Skype - iOS",,""
"Third party notices",,"Γνωστοποιήσεις τρίτων",,"None",,"All",,"Skype - iOS",,""
"Skype needs access to Contacts to display address book contacts. Go to Settings and enable Contacts to allow access.",,"Το Skype χρειάζεται πρόσβαση στις Επαφές, για να εμφανίσει τις επαφές του βιβλίου διευθύνσεων. Μεταβείτε στις Ρυθμίσεις και ενεργοποιήστε τις Επαφές, για να επιτραπεί η πρόσβαση.",,"None",,"All",,"Skype - iOS",,""
"Cancel",,"Άκυρο",,"None",,"All",,"Skype - iOS",,""
"Your address book is empty",,"Το βιβλίο διευθύνσεών σας είναι κενό",,"None",,"All",,"Skype - iOS",,""
"Loading address book contacts...",,"Φόρτωση επαφών βιβλίου διευθύνσεων...",,"None",,"All",,"Skype - iOS",,""
