PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Play",,"Αναπαραγωγή",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Open Custom link",,"Άνοιγμα προσαρμοσμένης σύνδεσης",,"None",,"All",,"Skype Cast Attendee 2015",,""
"An error occurred while processing your request.",,"Παρουσιάστηκε σφάλμα κατά την επεξεργασία της αίτησής σας.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Not started",,"Δεν έχει ξεκινήσει",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Leave",,"Αποχώρηση",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Right panel tab for ",,"Δεξιά καρτέλα πίνακα για ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"The broadcast will start in a moment",,"Η εκπομπή θα ξεκινήσει σε πολύ λίγο",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Click to toggle the navigation dropdown menu",,"Κάντε κλικ για εναλλαγή στο αναπτυσσόμενο μενού πλοήγησης",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Live",,"Ζωντανά",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Yammer",,"Yammer",,"None",,"All",,"Skype Cast Attendee 2015",,""
"We're connecting you to the broadcast",,"Σας συνδέουμε στην εκπομπή",,"None",,"All",,"Skype Cast Attendee 2015",,""
"The broadcast wasn’t found.",,"Η εκπομπή δεν βρέθηκε.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Sign Out",,"Αποσύνδεση",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Pulse",,"Pulse",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Click to toggle the right panel",,"Κάντε κλικ για εναλλαγή του δεξιού πάνελ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Captions",,"Λεζάντες",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Skype for Business",,"Skype για επιχειρήσεις",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Please enable cookies in your browser settings to ensure all functionality is available.",,"Ενεργοποιήστε τα cookies στις ρυθμίσεις του προγράμματος περιήγησης, για να εξασφαλίσετε ότι είναι διαθέσιμες όλες οι λειτουργίες.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"We're getting the video recording",,"Ετοιμάζουμε την εγγραφή βίντεο",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Join",,"Συμμετοχή",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Open Support link",,"Άνοιγμα σύνδεσης υποστήριξης",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Ended",,"Τελείωσε",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Pause",,"Παύση",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Privacy & cookies",,"Ιδιωτικό απόρρητο και cookie",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Support",,"Υποστήριξη",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Error :(",,"Σφάλμα :(",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Q&A",,"Ερωτήσεις & απαντήσεις",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Please install or enable Adobe Flash Player",,"Εγκαταστήστε ή ενεργοποιήστε το Adobe Flash Player",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Captions Off",,"Απενεργοποίηση κλειστών λεζάντων",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Get Adobe Flash player",,"Λήψη του Adobe Flash Player",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Selected",,"Επιλεγμένο",,"None",,"All",,"Skype Cast Attendee 2015",,""
"An unknown error has occurred.",,"Παρουσιάστηκε άγνωστο σφάλμα.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Meeting series",,"Σειρά συσκέψεων",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Anonymous User",,"Ανώνυμος χρήστης",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Bottom panel tab for ",,"Κάτω καρτέλα πίνακα για ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Sorry, you’re not allowed to attend this meeting. Please contact the meeting organizer.",,"Δυστυχώς, δεν επιτρέπεται η συμμετοχή σας σε αυτήν τη σύσκεψη. Επικοινωνήστε με το διοργανωτή της σύσκεψης.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Meeting Broadcast",,"Εκπομπή σύσκεψης",,"None",,"All",,"Skype Cast Attendee 2015",,""
