PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Cancel",,"Άκυρο",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Select an app for the right panel",,"Επιλέξτε μια εφαρμογή για το δεξιό πίνακα",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Add a start time",,"Προσθήκη ώρας έναρξης",,"None",,"All",,"Skype Cast Organizer 2016",,""
"This meeting’s video was published to Office 365",,"Το βίντεο αυτής της σύσκεψης δημοσιεύτηκε στο Office 365",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Checking a few things. We'll get your meetings in a bit.",,"Ελέγχουμε μερικά πράγματα. Θα σας συνδέσουμε με τις συσκέψεις σας σε λίγο.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Attendee page settings",,"Ρυθμίσεις σελίδας συμμετεχόντων",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Transcription and translation is enabled",,"Η μεταγραφή και η μετάφραση είναι ενεργοποιημένες",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The start time is later than the end time.",,"Η ώρα έναρξης είναι μεταγενέστερη της ώρας λήξης.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Note: captions are currently not available in full screen video",,"Σημείωση: οι λεζάντες δεν είναι διαθέσιμες αυτήν τη στιγμή στο βίντεο πλήρους οθόνης",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Create Outlook invitation",,"Δημιουργία πρόσκλησης του Outlook",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Video title",,"Τίτλος βίντεο",,"None",,"All",,"Skype Cast Organizer 2016",,""
"only attendees listed below can join the meeting",,"μόνο οι συμμετέχοντες που παρατίθενται παρακάτω μπορούν να συμμετάσχουν στη σύσκεψη",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting details couldn't be retrieved.",,"Δεν ήταν δυνατή η ανάκτηση των λεπτομερειών σύσκεψης.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Delete",,"Διαγραφή",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Recover this meeting",,"Ανάκτηση αυτής της σύσκεψης",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting request is empty.",,"Η πρόσκληση σε σύσκεψη είναι κενή.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Create a video recording for download",,"Δημιουργία εγγραφής βίντεο για λήψη",,"None",,"All",,"Skype Cast Organizer 2016",,""
"BroadcastMeeting.ics",,"BroadcastMeeting.ics",,"None",,"All",,"Skype Cast Organizer 2016",,""
"View published video",,"Προβολή δημοσιευμένου βίντεο",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Edit meeting details",,"Επεξεργαστείτε τις λεπτομέρειες της σύσκεψης",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You don't have any meetings this month.",,"Δεν έχετε συσκέψεις αυτόν το μήνα.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Delete this meeting?",,"Διαγραφή αυτής της σύσκεψης;",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The attendee is empty",,"Ο συμμετέχων είναι κενός",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You don't have permission to create meetings",,"Δεν έχετε δικαιώματα δημιουργίας συσκέψεων",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Video recording was enabled",,"Η εγγραφή βίντεο ενεργοποιήθηκε",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The support code couldn't be created.",,"Δεν ήταν δυνατή η δημιουργία του κωδικού υποστήριξης.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"No custom link",,"Χωρίς προσαρμοσμένη σύνδεση",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Done",,"Τέλος",,"None",,"All",,"Skype Cast Organizer 2016",,""
"are already in the event team",,"είναι ήδη μέλη της ομάδας συμβάντος",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Give attendees access to content related to this meeting or provide contact links.",,"Δώστε πρόσβαση στους συμμετέχοντες σε περιεχόμενο που σχετίζεται με αυτήν τη σύσκεψη ή δώστε συνδέσεις επαφών.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The account information wasn't found.",,"Οι πληροφορίες λογαριασμού δεν βρέθηκαν.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Empty ETag",,"Κενή ETag",,"None",,"All",,"Skype Cast Organizer 2016",,""
"One or more event team member' email addresses are empty",,"Μία ή περισσότερες διευθύνσεις ηλεκτρονικού ταχυδρομείου για μέλος της ομάδας εκδήλωσης είναι κενές",,"None",,"All",,"Skype Cast Organizer 2016",,""
"We have exciting news--our production environment is ready for new broadcasts! ",,"Έχουμε συναρπαστικά νέα--το περιβάλλον παραγωγής μας είναι έτοιμο για νέες εκπομπές! ",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Reports",,"Αναφορές",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Couldn't find:",,"Δεν ήταν δυνατή η εύρεση του:",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Access",,"Πρόσβαση",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Right panel app",,"Εφαρμογή δεξιού πίνακα",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Not started",,"Δεν έχει ξεκινήσει",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Getting the link to the meeting recording...",,"Λήψη της σύνδεσης για την εγγραφή σύσκεψης...",,"None",,"All",,"Skype Cast Organizer 2016",,""
