PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Your group name must consist of more than just identical letters",,"Το όνομα της ομάδας σας δεν μπορεί να αποτελείται μόνο από πανομοιότυπα γράμματα",,"None",,"All",,"Skype Manager",,""
"Group name is too long (max length 40 characters)",,"Το όνομα της ομάδας είναι πολύ μεγάλο (μέγιστο μήκος 40 χαρακτήρες)",,"None",,"All",,"Skype Manager",,""
"Your group name cannot contain only numbers",,"Το όνομα της ομάδας σας δεν μπορεί να περιέχει μόνο αριθμούς",,"None",,"All",,"Skype Manager",,""
"Group name is too short (min length 2 characters)",,"Το όνομα της ομάδας είναι πολύ μικρό (ελάχιστο μήκος 2 χαρακτήρες)",,"None",,"All",,"Skype Manager",,""
"Due to recent changes to Saudi Arabian tax requirements, from 1st January 2018 Skype will include Value Added Tax (VAT) for Saudi Arabia customers purchases of Skype paid products.",,"Λόγω πρόσφατων αλλαγών στις φορολογικές απαιτήσεις της Σαουδικής Αραβίας, από 1 Ιανουαρίου 2018 το Skype θα περιλαμβάνει φόρο προστιθεμένης αξίας (ΦΠΑ) για αγορές πελατών στη Σαουδική Αραβία για προϊόντα επί πληρωμή του Skype.",,"None",,"All",,"Skype Manager",,""
"Due to recent changes to United Arab Emirates tax requirements, from 1st January 2018 Skype will include Value Added Tax (VAT) for United Arab Emirates customers purchases of Skype paid products.",,"Λόγω πρόσφατων αλλαγών στις φορολογικές απαιτήσεις των Ηνωμένων Αραβικών Εμιράτων, από 1 Ιανουαρίου 2018 το Skype θα περιλαμβάνει φόρο προστιθεμένης αξίας (ΦΠΑ) για αγορές πελατών στα Ηνωμένα Αραβικά Εμιράτα για προϊόντα επί πληρωμή του Skype.",,"None",,"All",,"Skype Manager",,""
"Skype Number will be available in a few minutes.",,"Ο Αριθμός Skype θα είναι διαθέσιμος σε λίγα λεπτά.",,"None",,"All",,"Skype Manager",,""
"Subscription will be available in a few minutes.",,"Η συνδρομή θα είναι διαθέσιμη σε λίγα λεπτά.",,"None",,"All",,"Skype Manager",,""
"Less than previous month",,"Λιγότερο από τον προηγούμενο μήνα",,"None",,"All",,"Skype Manager",,""
"More than previous month",,"Περισσότερο από τον προηγούμενο μήνα",,"None",,"All",,"Skype Manager",,""
