PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Oops page showing due to debug flag",,"Η σελίδα σφάλματος εμφανίζεται λόγω σημαίας εντοπισμού σφαλμάτων",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"D'oh! Something went wrong...",,"Λυπούμαστε. Παρουσιάστηκε κάποιο πρόβλημα...",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Your app has been successfully updated to version {0} on {1}.",,"Η εφαρμογή σας ενημερώθηκε με επιτυχία στην έκδοση {0} στις {1}.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"App Updated",,"Η εφαρμογή ενημερώθηκε",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Could not connect to Account Provider. Please check your connection and try again.",,"Δεν ήταν δυνατή η σύνδεση με την υπηρεσία παροχής λογαριασμού. Ελέγξτε τη σύνδεσή σας και δοκιμάστε ξανά.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Unexpected user credentials. Please try to log in again.",,"Μη αναμενόμενα διαπιστευτήρια χρήστη. Δοκιμάστε να συνδεθείτε ξανά.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"The token received is not valid. Please try again later.",,"Το διακριτικό που παραλήφθηκε δεν είναι έγκυρο. Δοκιμάστε ξανά αργότερα.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication could not be completed due to an app state issue. Please try again.",,"Δεν ήταν δυνατή η ολοκλήρωση του ελέγχου ταυτότητας λόγω προβλήματος με την κατάσταση της εφαρμογής. Δοκιμάστε ξανά.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication Error",,"Σφάλμα ελέγχου ταυτότητας",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Received an expired authentication token. Please try to log in again.",,"Έγινε λήψη διακριτικού ελέγχου ταυτότητας που έχει λήξει. Δοκιμάστε να συνδεθείτε ξανά.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Intended authentication failure due to user setting.",,"Σκόπιμη αποτυχία ελέγχου ταυτότητας λόγω ρύθμισης χρήστη.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"App is missing important authentication settings. Please make sure to use the latest version.",,"Η εφαρμογή δεν διαθέτει σημαντικές ρυθμίσεις ελέγχου ταυτότητας. Βεβαιωθείτε ότι χρησιμοποιείτε την τελευταία έκδοση.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"The Account Provider encountered an error while authenticating.",,"Η υπηρεσία παροχής λογαριασμού αντιμετώπισε σφάλμα κατά τον έλεγχο ταυτότητας.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Your connection is not reliable enough to authenticate. Please check your connection including any VPNs and try again.",,"Η σύνδεσή σας δεν είναι επαρκώς αξιόπιστη για έλεγχο ταυτότητας. Ελέγξτε τη σύνδεσή σας, συμπεριλαμβανομένων τυχόν VPN και δοκιμάστε ξανά.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Requested a silent authentication token, but prompt is required. Please try to log in again.",,"Έγινε αίτηση για σιωπηρό διακριτικό ελέγχου ταυτότητας, αλλά απαιτείται προτροπή. Δοκιμάστε να συνδεθείτε ξανά.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication could not be completed due to an issue while the app was resuming. Please try again.",,"Δεν ήταν δυνατή η ολοκλήρωση του ελέγχου ταυτότητας λόγω προβλήματος κατά τη συνέχιση της εφαρμογής. Δοκιμάστε ξανά.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication request was canceled. Please try to log in again.",,"Η αίτηση για έλεγχο ταυτότητας ακυρώθηκε. Δοκιμάστε να συνδεθείτε ξανά.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Web Account Manager failed to authenticate.",,"Ο έλεγχος ταυτότητας από τη Διαχείριση λογαριασμών Web απέτυχε.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication was blocked by Windows Information Protection policy. For more information, contact your system administrator.",,"Ο έλεγχος ταυτότητας αποκλείστηκε από την πολιτική της Προστασίας πληροφοριών Windows. Για περισσότερες πληροφορίες, επικοινωνήστε με τον διαχειριστή του συστήματος.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Background activity is required to receive notifications about calls and IMs. Rejecting this request will result in notifications being displayed only when the call is active (focused).",,"Απαιτείται δραστηριότητα στο παρασκήνιο για τη λήψη ειδοποιήσεων σχετικά με κλήσεις και άμεσα μηνύματα. Η απόρριψη αυτού του αιτήματος θα έχει ως αποτέλεσμα οι ειδοποιήσεις να εμφανίζονται μόνο όταν η κλήση είναι ενεργή (με εστίαση).",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Background activity is required to receive notifications about calls and IMs. Rejecting this request will result in notifications not being displayed when the device is low on battery.",,"Απαιτείται δραστηριότητα στο παρασκήνιο για τη λήψη ειδοποιήσεων σχετικά με κλήσεις και άμεσα μηνύματα. Η απόρριψη αυτού του αιτήματος θα έχει ως αποτέλεσμα οι ειδοποιήσεις να μην εμφανίζονται όταν η συσκευή έχει χαμηλή μπαταρία.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
