PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"about",,"πληροφορίες",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"About third party components",,"Πληροφορίες για εξαρτήματα τρίτων",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Too many results; try refining your search.",,"Υπερβολικός αριθμός αποτελεσμάτων, περιορίστε την αναζήτησή σας.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"We can't connect to the server. Please try again later.",,"Δεν είναι δυνατή η σύνδεση στο διακομιστή. Δοκιμάστε ξανά αργότερα.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"No results",,"Δεν υπάρχουν αποτελέσματα",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Please sign in to search the company directory.",,"Για αναζήτηση στον εταιρικό κατάλογο, πραγματοποιήστε είσοδο.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Searching the company directory...",,"Αναζήτηση στον εταιρ. κατάλογο...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Accept",,"Αποδοχή",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Important",,"Σημαντικό",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Sensitive",,"Προσωπικό",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Unread message",,"Μη αναγνωσμένο μήνυμα",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Select status",,"Επιλογή κατάστασης",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Swipe down to dismiss",,"Σαρώστε προς τα κάτω για αγνόηση",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"turn on Bluetooth",,"ενεργοποίηση Bluetooth",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"turn on speaker",,"ενεργοποίηση ηχείου",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"urgent interuptions only",,"μόνο επείγουσες διακοπές",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"in a call",,"σε κλήση",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"in a conference call",,"σε κλήση διάσκεψης",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"in a meeting",,"σε σύσκεψη",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"inactive",,"ανενεργό",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"off work",,"εκτός γραφείου",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"out of office",,"εκτός γραφείου",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"out to lunch",,"λείπω για φαγητό",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"presenting",,"κάνει παρουσίαση",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Add Contact",,"Προσθήκη επαφής",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"ADD TO GROUP",,"ΠΡΟΣΘΗΚΗ ΟΜΑΔΑΣ",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"You've been admitted. We're calling you now...",,"Γίνατε αποδεκτοί. Σας καλούμε τώρα...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"All Groups",,"Όλες οι ομάδες",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Manage data use",,"Διαχείριση χρήσης δεδομένων",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Anonymously join meetings options ",,"Επιλογές ανώνυμης συμμετοχής σε συσκέψεις ",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Anonymous",,"Ανώνυμος",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"CONNECTING...",,"ΣΥΝΔΕΣΗ...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"updating...",,"ενημέρωση...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Application",,"Εφαρμογή",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Anyone can use this app to join a Skype Meeting, but to enjoy all the features, you need a Skype for Business account and your organization must have enabled this app.",,"Οποιοσδήποτε μπορεί να χρησιμοποιήσει αυτή την εφαρμογή για να συμμετάσχει σε μια σύσκεψη Skype. Ωστόσο, για να επωφεληθείτε από τις πλήρεις δυνατότητες, θα χρειαστείτε λογαριασμό Skype για επιχειρήσεις και ο οργανισμός σας θα πρέπει να έχει ενεργοποιήσει την εφαρμογή.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Apply Settings",,"Εφαρμογή ρυθμίσεων",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"ATTENDEES",,"ΣΥΜΜΕΤΕΧΟΝΤΕΣ",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Audio",,"Ήχος",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"to enable voice over ip, visit settings",,""για να ενεργοποιήσετε το VoIP, πηγαίνετε στις ""Ρυθμίσεις"""",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"appear away",,""ένδειξη ""Απουσιάζω"""",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"reset status",,"επαναφορά",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"available",,"διαθέσιμος",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"away",,"απουσιάζω",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"be right back",,"επιστρέφω αμέσως",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"busy",,"απασχολημένος",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"do not disturb",,"μην ενοχλείτε",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
