PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"We're working on getting them back for you ASAP.",,"Estamos trabajando para poder recuperarlas lo antes posible.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't get your activities.",,"No se pueden recuperar sus actividades.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Stay on top of relevant activity, such as mentions, likes and replies.",,"Permanezca al tanto de la actividad relevante, como menciones, Me gusta y respuestas.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You'll find notifications here.",,"Encontrará las notificaciones aquí.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your activities right now",,"No podemos actualizar tus actividades en este momento",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Added you to an unavailable channel",,"Le ha agregado a un canal no disponible",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Added you to an unavailable team",,"Le ha agregado a un equipo no disponible",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"an unavailable channel",,"un canal no disponible",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"an unavailable team",,"un equipo no disponible",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Add to favorites",,"Agregar a favoritos",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Follow channel",,"Seguir el canal",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} added {1} to the conversation",,"{0} ha agregado a {1} a la conversación",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Address",,"Dirección",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} and {1}",,"{0} y {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0}, {1}, and {2}",,"{0}, {1} y {2}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0}, {1}, and {2} others",,"{0}, {1}, y {2} personas más",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load your older activities right now",,"No podemos cargar tus actividades anteriores en este momento",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"All channels",,"Todos los canales",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Channels",,"Canales",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your teams right now",,"No podemos actualizar sus equipos en este momento",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"All teams",,"Todos los equipos",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Always, even if I'm active on desktop",,"Siempre, incluso si estoy activo en el escritorio",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams",,"Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (Dev)",,"Microsoft Teams (desarrollo)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (Dogfood)",,"Microsoft Teams (versión interna)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (TAP)",,"Microsoft Teams (TAP)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Teams",,"Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Bluetooth",,"Bluetooth",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Change audio output device",,"Cambiar el dispositivo de salida de audio",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Device",,"Dispositivo",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Headset",,"Auriculares",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Speaker",,"Altavoz",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Please sign in again with your current password.",,"Inicie sesión de nuevo con su contraseña actual.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams is now using modern authentication, a better, more secure way to sign in. Once you've signed in again, you won't need to re-enter credentials when you open any Office 365 application.",,"Microsoft Teams usa ahora la autenticación moderna. Un método para iniciar sesión mejor y más seguro. Cuando inicie sesión otra vez, ya no tendrá que volver a introducir las credenciales cada vez que abra una aplicación de Office 365.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You'll get modern authentication, a single, better, and more secure sign in to all your Office 365 apps.",,"Obtendrá la autenticación moderna: un inicio de sesión único, mejor y más seguro para todas las aplicaciones de Office 365.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Please sign back in to Microsoft Teams",,"Vuelva a iniciar sesión en Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"({0} Guests)",,"({0} invitados)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"(1 Guest)",,"(1 invitado)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} (Guest)",,"{0} (invitado)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Back",,"Atrás",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sent a card",,"Ha enviado una tarjeta",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Hang up your current call before starting a new one.",,"Cuelgue la llamada actual antes de iniciar una nueva.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call busy",,"Línea ocupada",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call canceled",,"Llamada cancelada",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call declined",,"Llamada rechazada",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call dropped",,"Llamada interrumpida",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"hh\:mm\:ss",,"hh\:mm\:ss",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"mm\:ss",,"mm\:ss",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call Ended",,"Llamada finalizada",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call ended",,"Llamada finalizada",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call Ended {0}",,"Llamada finalizada {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call ended {0}",,"Llamada finalizada {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call failed",,"Error en la llamada",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call Missed",,"Llamada perdida",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call missed",,"Llamada perdida",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Tap to return to call",,"Pulsar para volver a la llamada",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call on hold",,"Llamada en espera",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call",,"Llamar",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call started",,"Llamada iniciada",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Calling",,"Llamando",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sorry, we're unable to search for people at the moment",,"Lo sentimos, no podemos buscar personas en este momento",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Conversations",,"Conversaciones",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Try @ mentioning the people you want to participate in this channel.",,"Intente @ mencionando a las personas que quiera que participen en este canal.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Remove from favorites",,"Quitar de favoritos",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"More options for this channel",,"Más opciones para este canal",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your channels right now",,"No podemos actualizar tus canales en este momento",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We're working on getting them back for you ASAP.",,"Estamos trabajando para recuperarlo lo antes posible.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load this channel right now.",,"En este momento no se puede cargar este canal.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"channel",,"canal",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your conversations right now",,"No podemos actualizar tus conversaciones en este momento",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Tabs",,"Fichas",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Have private one-on-one and group conversations, and video calls.",,"Tenga conversaciones privadas uno a uno y grupales, y videollamadas.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Start a private chat.",,"Inicie un chat privado.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We're working on getting them back for you ASAP.",,"Estamos trabajando para recuperarlos cuanto antes.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't get your chats",,"No podemos obtener sus chats",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your chats right now",,"No podemos actualizar tus chats en este momento",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't get your messages.",,"No se pueden recuperar sus mensajes.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Chat",,"Chat",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load your older messages right now",,"No podemos cargar tus mensajes anteriores en este momento",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You",,"Usted",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your conversation right now",,"No podemos actualizar tu conversación en este momento",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Failed to send:",,"Error al enviar:",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sending:",,"Enviando:",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Chats",,"Chats",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We're getting things ready...",,"Estamos preparando todo...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Please give us a sec...",,"Espere un momento...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We'll be done soon...",,"Terminaremos enseguida...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Almost there...",,"Ya casi estamos...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"CLEAR LIST",,"BORRAR LISTA",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Files",,"Archivos",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Close",,"Cerrar",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Hi! This feature is not quite finished and is coming soon.",,"¡Hola! Esta característica no está terminada del todo y estará disponible próximamente.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"High importance",,"Importancia alta",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Show picture picker",,"Mostrar el selector de imagen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Send",,"Enviar",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Type your message here",,"Escriba su mensaje aquí",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Open contact card",,"Abrir la tarjeta de contacto",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"More options for this conversation",,"Más opciones para esta conversación",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Control message",,"Mensaje de control",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sorry, we cannot access your content. Try again later.",,"No podemos acceder al contenido. Vuelva a intentarlo más tarde.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Reply",,"Responder",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Failed to start the chat.",,"Error al iniciar el chat.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"General",,"General",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} removed {1} from the chat",,"{0} ha quitado a {1} del chat",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"This message has been deleted.",,"Este mensaje ha sido eliminado.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"This tab is deleted.",,"Esta ficha se ha eliminado.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Administrator has disabled chat for this user",,"El administrador ha deshabilitado el chat para este usuario",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Email",,"Correo electrónico",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"To: {0}",,"Para: {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"End call",,"Finalizar la llamada",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Syncing",,"Sincronización",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Uh oh, something went wrong and we couldn't sync your data. Your content may not be available right now. Please try again later.",,"Vaya, se ha producido un error y no pudimos sincronizar sus datos. Es posible que su contenido no esté disponible en este momento. Vuelva a intentarlo más tarde.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Wow, you have a lot of content! We're still syncing {0} item(s), but let's get you started.",,"¡Hala! Tiene mucho contenido. Estamos aún sincronizando {0} elementos, pero puede comenzar.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We're sorry",,"Lo sentimos",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sorry, your device is offline. Please try again later.",,"Su dispositivo está desconectado. Vuelva a intentarlo más tarde.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Export logs",,"Exportar registros",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Tap the star to favorite or unfavorite a channel.",,"Pulse la estrella para marcar como favorito un canal o quitarlo de Favoritos.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Tap the star to favorite or unfavorite a team.",,"Pulse la estrella para marcar como favorito un equipo o quitarlo de Favoritos.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Cancel",,"Cancelar",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Feedback",,"Comentarios",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Attach screenshot",,"Adjuntar captura de pantalla",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Enter Feedback",,"Escribir comentarios",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Enter title (required)",,"Introducir título (obligatorio)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"A file with this name already exists in this folder. What would you like to do?",,"Ya existe un archivo con este nombre en esta carpeta. ¿Qué desea hacer?",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Replace",,"Reemplazar",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"This file already exists",,"Este archivo ya existe",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} KB, Modified by {1} on {2}",,"{0} KB, modificado por {1} el {2}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"[The file or image preview is not available]",,"[La vista previa de la imagen o del archivo no está disponible]",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"File upload failed.",,"Error al cargar el archivo.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load the files for this channel right now.",,"En este momento no se pueden cargar los archivos de este canal.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Modified by {0} on {1}",,"Modificado por {0} el {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Following",,"Siguiendo",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We couldn't follow or unfollow that channel for you",,"No se ha podido seguir o dejar de seguir ese canal",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Please update the app now to continue using Microsoft Teams",,"Actualice la aplicación ahora para continuar usando Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Update required",,"Se requiere actualizar",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Show",,"Mostrar",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"+ {0} others liked your message in {1}",,"+ {0} personas han indicado que les gusta su mensaje en {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Liked your message in {0}",,"Le gustó su mensaje en {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"+ {0} other liked your message in {1}",,"+ {0} persona han indicado que les gusta su mensaje en {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Mentioned you in {0}",,"Le mencionó en {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Mentioned {0} in {1}",,"Mencionó a {0} en {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"+ {0} others replied to a conversation you are part of in {1}",,"+ {0} personas más han respondido a una conversación de la que forma parte en {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Replied to a conversation you are part of in {0}",,"Ha respondido a una conversación de la que forma parte en {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"+ {0} others replied to your conversation in {1}",,"+ {0} personas más han respondido a su conversación en {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Replied to your conversation in {0}",,"Respondieron a su conversación en {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"+ {0} other replied to your conversation in {1}",,"+ {0} persona más han respondido a su conversación en {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"+ {0} other replied to a conversation you are part of in {1}",,"+ {0} persona más han respondido a una conversación de la que forma parte en {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} and {1} others",,"{0} y otras {1} personas",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} and 1 other",,"{0} y otra persona",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"an unavailable team: {0}",,"un equipo no disponible: {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"+ {0} others participated in a conversation in {1}",,"+ {0} personas más han participado en una conversación en {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"+ {0} other participated in a conversation in {1}",,"+ {0} persona más han participado en una conversación en {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Posted a new message in {0}",,"Ha publicado un nuevo mensaje en {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Participated in a conversation in {0}",,"Ha participado en una conversación en {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0}, {1}, and {2} more",,"{0}, {1} y {2} más",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} older replies",,"{0} respuestas anteriores",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Added you to {0}",,"Le agregó a {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Made you an owner of {0} team",,"Le hizo propietario del equipo {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sorry, we're having trouble signing you in. Please try again.",,"Estamos teniendo problemas para iniciar sesión. Vuelva a intentarlo.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Powered by GIPHY",,"Con tecnología de GIPHY",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Administrator has disabled chat for one or more users",,"El administrador ha deshabilitado el chat para uno o varios usuarios",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} Participants",,"{0} participantes",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"IMPORTANT!",,"¡IMPORTANTE!",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Place call on hold",,"Poner la llamada en espera",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Hold Call",,"Poner llamada en espera",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0}h ago",,"Hace {0} h",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"[Unable to load image]",,"[No se pudo cargar la imagen]",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Personal image collection preview",,"Vista previa de colección de imágenes personales",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We don't recoginize the sign-in address. Please use your Office 365 sign-in.",,"No reconocemos la dirección de inicio de sesión. Use su inicio de sesión de Office 365.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Only when I'm not active on desktop",,"Solo cuando no estoy activo en el escritorio",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You can join this on the desktop app",,"Puede unirse en la aplicación de escritorio",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Just now",,"Ahora",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"This mention will notify {0} people.",,"Se notificará esta mención a {0} personas.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Last read",,"Última lectura",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Legal",,"Legal",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We couldn't like or unlike that message for you",,"No se ha podido marcar como Me gusta o Ya no me gusta ese mensaje",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Likes",,"Me gusta",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Teams",,"Equipos",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Loading your teams...",,"Cargando los equipos...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Loading...",,"Cargando...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} is on hold",,"{0} está en espera",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams log",,"Registro de Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"MicrosoftTeamsLog{0}",,"MicrosoftTeamsLog{0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
