PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Save a copy to {onedrive}.",,"Guardar una copia en {onedrive}",,"Text",,"All",,"Office Online Group",,""
"To rename this file we need you to wait until you're the only person working on this document.",,"Para cambiar el nombre de este archivo es necesario esperar hasta que sea la única persona que trabaje en este documento.",,"Text",,"All",,"Office Online Group",,""
"Save and Refresh",,"Guardar y actualizar",,"Text",,"All",,"Office Online Group",,""
"Notes",,"Notas",,"Text",,"All",,"Office Online Group",,""
"We Couldn't Rename the File",,"No se pudo cambiarle el nombre al archivo",,"Text",,"All",,"Office Online Group",,""
"Tajik",,"Tayiko",,"Text",,"All",,"Office Online Group",,""
"Spanish (El Salvador)",,"Español (El Salvador)",,"Text",,"All",,"Office Online Group",,""
"Sanskrit",,"Sánscrito",,"Text",,"All",,"Office Online Group",,""
"Tamil",,"Tamil",,"Text",,"All",,"Office Online Group",,""
"List of Microsoft Services",,"Lista de servicios de Microsoft",,"Text",,"All",,"Office Online Group",,""
"Save As",,"Guardar como",,"Text",,"All",,"Office Online Group",,""
"We'd like to prevent errors like this. You can help by sending us an error report. This will include a copy of your file, which we'll only use to fix the problem and to help improve {webappshort}.",,"Nos gustaría evitar errores como este. Si nos envía un informe de errores puede ayudar. Esto incluirá una copia del archivo, que utilizaremos sólo para solucionar el problema y ayudar a mejorar {webappshort}.",,"Text",,"All",,"Office Online Group",,""
"TH",,"CA",,"Text",,"All",,"Office Online Group",,""
"D",,"O",,"Text",,"All",,"Office Online Group",,""
"Include screenshot",,"Incluir captura de pantalla",,"Text",,"All",,"Office Online Group",,""
"Sindhi",,"Sindhi",,"Text",,"All",,"Office Online Group",,""
"Spanish (Guatemala)",,"Español (Guatemala)",,"Text",,"All",,"Office Online Group",,""
"Urdu",,"Urdu",,"Text",,"All",,"Office Online Group",,""
"locked with key",,"candado cerrado con llave",,"Text",,"All",,"Office Online Group",,""
"cat face with wry smile",,"cara de gato con sonrisa irónica",,"Text",,"All",,"Office Online Group",,""
"R",,"H",,"Text",,"All",,"Office Online Group",,""
"B",,"P",,"Text",,"All",,"Office Online Group",,""
"Viewing offline",,"Visualizando sin conexión",,"Text",,"All",,"Office Online Group",,""
"Permanently Delete",,"Eliminar de forma permanente",,"Text",,"All",,"Office Online Group",,""
"cow",,"vaca",,"Text",,"All",,"Office Online Group",,""
"bridge at night",,"puente de noche",,"Text",,"All",,"Office Online Group",,""
"oncoming fist",,"puño cerrado",,"Text",,"All",,"Office Online Group",,""
"ant",,"hormiga",,"Text",,"All",,"Office Online Group",,""
"nut and bolt",,"tornillo y tuerca",,"Text",,"All",,"Office Online Group",,""
"face with stuck-out tongue",,"cara enseñando la lengua",,"Text",,"All",,"Office Online Group",,""
"person bowing",,"persona inclinada",,"Text",,"All",,"Office Online Group",,""
"VO",,"O",,"Text",,"All",,"Office Online Group",,""
"S",,"S",,"Text",,"All",,"Office Online Group",,""
"N",,"B",,"Text",,"All",,"Office Online Group",,""
"VC",,"O",,"Text",,"All",,"Office Online Group",,""
"two men holding hands",,"pareja homosexual masculina",,"Text",,"All",,"Office Online Group",,""
"bicycle",,"bicicleta",,"Text",,"All",,"Office Online Group",,""
"Japanese post office",,"oficina de correos japonesa",,"Text",,"All",,"Office Online Group",,""
"mail",,"correo",,"Text",,"All",,"Office Online Group",,""
"fish",,"pez",,"Text",,"All",,"Office Online Group",,""
"horse",,"caballo",,"Text",,"All",,"Office Online Group",,""
"triangular ruler",,"escuadra",,"Text",,"All",,"Office Online Group",,""
"synagogue",,"sinagoga",,"Text",,"All",,"Office Online Group",,""
"animal reptile",,"reptiles",,"Text",,"All",,"Office Online Group",,""
"bottle with popping cork",,"botella descorchada",,"Text",,"All",,"Office Online Group",,""
"A",,"A",,"Text",,"All",,"Office Online Group",,""
"Message from Add-in: {0}",,"Mensaje de complemento: {0}",,"Text",,"All",,"Office Online Group",,""
"E",,"E",,"Text",,"All",,"Office Online Group",,""
"Bangla (Bangladesh)",,"Bangla (Bangladesh)",,"Text",,"All",,"Office Online Group",,""
"Sindhi (Devanagari)",,"Sindhi (devanagari)",,"Text",,"All",,"Office Online Group",,""
"V",,"R",,"Text",,"All",,"Office Online Group",,""
