PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Skype",,"Skype",,"Text",,"All",,"Online Device Pairing 2016",,""
"Provision",,"Aprovisionar",,"Text",,"All",,"Online Device Pairing 2016",,""
"Search",,"Buscar",,"Text",,"All",,"Online Device Pairing 2016",,""
"Verify email",,"Verificar correo electrónico",,"Text",,"All",,"Online Device Pairing 2016",,""
"Search for Common Area Phones only",,"Buscar solo teléfonos de área común",,"Text",,"All",,"Online Device Pairing 2016",,""
"Correlation ID",,"Id. de correlación",,"Text",,"All",,"Online Device Pairing 2016",,""
"Status",,"Estado",,"Text",,"All",,"Online Device Pairing 2016",,""
"Time",,"Hora",,"Text",,"All",,"Online Device Pairing 2016",,""
"Action",,"Acción",,"Text",,"All",,"Online Device Pairing 2016",,""
"Display Name",,"Nombre para mostrar",,"Text",,"All",,"Online Device Pairing 2016",,""
"Pairing Code",,"Código de emparejamiento",,"Text",,"All",,"Online Device Pairing 2016",,""
"Phone Number",,"Número de teléfono",,"Text",,"All",,"Online Device Pairing 2016",,""
"Type",,"Tipo",,"Text",,"All",,"Online Device Pairing 2016",,""
"UPN",,"UPN",,"Text",,"All",,"Online Device Pairing 2016",,""
"CAP",,"CAP",,"Text",,"All",,"Online Device Pairing 2016",,""
"Unknown",,"Desconocido",,"Text",,"All",,"Online Device Pairing 2016",,""
"User",,"Usuario",,"Text",,"All",,"Online Device Pairing 2016",,""
"Additional technical information:",,"Información técnica adicional:",,"Text",,"All",,"Online Device Pairing 2016",,""
"Step 1",,"Paso 1",,"Text",,"All",,"Online Device Pairing 2016",,""
