PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Alpine",,"Alpino",,"None",,"All",,"Publisher",,""
"Aqua",,"Aguamarina",,"None",,"All",,"Publisher",,""
"Berry",,"Uva",,"None",,"All",,"Publisher",,""
"Black & Gray",,"Negro y gris",,"None",,"All",,"Publisher",,""
"Brown",,"Cacao",,"None",,"All",,"Publisher",,""
"Burgundy",,"Tinto",,"None",,"All",,"Publisher",,""
"Cavern",,"Cueva",,"None",,"All",,"Publisher",,""
"Citrus",,"Cítricos",,"None",,"All",,"Publisher",,""
"Clay",,"Arcilla",,"None",,"All",,"Publisher",,""
"Cranberry",,"Cereza",,"None",,"All",,"Publisher",,""
"Crocus",,"Azafrán",,"None",,"All",,"Publisher",,""
"Desert",,"Desierto",,"None",,"All",,"Publisher",,""
"Field",,"Campo",,"None",,"All",,"Publisher",,""
"Fjord",,"Fiordo",,"None",,"All",,"Publisher",,""
"Floral",,"Floral",,"None",,"All",,"Publisher",,""
"Garnet",,"Granate",,"None",,"All",,"Publisher",,""
"Glacier",,"Glaciar",,"None",,"All",,"Publisher",,""
"Heather",,"Riachuelo",,"None",,"All",,"Publisher",,""
"Iris",,"Lirio",,"None",,"All",,"Publisher",,""
"Island",,"Isla",,"None",,"All",,"Publisher",,""
"Ivy",,"Hiedra",,"None",,"All",,"Publisher",,""
"Lagoon",,"Laguna",,"None",,"All",,"Publisher",,""
"Lilac",,"Lila",,"None",,"All",,"Publisher",,""
"Mahogany",,"Caoba",,"None",,"All",,"Publisher",,""
"Marine",,"Marino",,"None",,"All",,"Publisher",,""
"Maroon",,"Rojo oscuro",,"None",,"All",,"Publisher",,""
"Meadow",,"Prado",,"None",,"All",,"Publisher",,""
"Mist",,"Neblina",,"None",,"All",,"Publisher",,""
"Mistletoe",,"Muérdago",,"None",,"All",,"Publisher",,""
"Moss",,"Musgo",,"None",,"All",,"Publisher",,""
"Mountain",,"Montaña",,"None",,"All",,"Publisher",,""
"Mulberry",,"Mora",,"None",,"All",,"Publisher",,""
"Navy",,"Azul marino 1",,"None",,"All",,"Publisher",,""
"Nutmeg",,"Nuez moscada",,"None",,"All",,"Publisher",,""
"Olive",,"Oliva",,"None",,"All",,"Publisher",,""
"Orchid",,"Orquídea",,"None",,"All",,"Publisher",,""
"Parrot",,"Papagayo",,"None",,"All",,"Publisher",,""
"Pebbles",,"Pedregal",,"None",,"All",,"Publisher",,""
"Prairie",,"Pampa",,"None",,"All",,"Publisher",,""
"Rain Forest",,"Bosque",,"None",,"All",,"Publisher",,""
"Monarch",,"Monarca",,"None",,"All",,"Publisher",,""
