PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"© 2017 Skype and/or Microsoft",,"© 2017 Skype y/o Microsoft",,"None",,"All",,"Skype - Linux",,""
"This program is protected by copyright law and international treaties. Unauthorized reproduction or distribution of this program, or any portions of it, may result in severe civil and criminal penalties, and will be prosecuted to the maximum extent possible under the law.",,"Este programa está protegido por las leyes de derechos de autor y los tratados internacionales. La distribución o reproducción no autorizadas de este programa o de cualquiera de sus partes están penadas por la ley con severas sanciones civiles y penales, y será objeto de todas las acciones judiciales que correspondan.",,"None",,"All",,"Skype - Linux",,""
"for Linux Beta",,"para Linux Beta",,"None",,"All",,"Skype - Linux",,""
"Patents Pending. The Skype name, associated trade marks and logos, and the “S” logo are trade marks of Skype.",,""Patentes pendientes. El nombre de Skype, las marcas comerciales y los logotipos relacionados, y el logotipo ""S"" son marcas comerciales de Skype."",,"None",,"All",,"Skype - Linux",,""
"Version: {version}",,"Versión: {version}",,"None",,"All",,"Skype - Linux",,""
"Skype for Linux Beta",,"Skype para Linux Beta",,"None",,"All",,"Skype - Linux",,""
"Sorry, this version of Skype is not supported anymore.",,"Lo sentimos, pero esta versión de Skype ya no es compatible.",,"None",,"All",,"Skype - Linux",,""
"Go to Community Forum",,"Ir al foro de la comunidad",,"None",,"All",,"Skype - Linux",,""
"Reports will no longer be collected until you re-enable them. Are you sure you want to disable diagnostic and error reports? You can find all logs in folder {logsPath}",,"Los informes dejarán de recopilarse hasta que vuelvas a habilitarlos. ¿Estás seguro de que quieres deshabilitar los informes de diagnóstico y errores? Puedes ver todos los registros en la carpeta {logsPath}",,"None",,"All",,"Skype - Linux",,""
"No",,"No",,"None",,"All",,"Skype - Linux",,""
"Diagnostic and error reports",,"Informes de diagnóstico y errores",,"None",,"All",,"Skype - Linux",,""
"Yes",,"Sí",,"None",,"All",,"Skype - Linux",,""
"Troubleshoot issues you have with Skype by sending diagnostic and error reports to Microsoft. These reports are used to diagnose problems but may contain personal information such as your name and profile details. It is recommended that you turn off these reports after you’ve finished troubleshooting your issue as reports are continuously collected in the background. You can find all logs in folder {logsPath}",,"Para solucionar los problemas que tengas con Skype, envía los informes de diagnóstico y errores a Microsoft. Estos informes se utilizan para diagnosticar problemas, pero pueden contener información personal, como tu nombre y los datos de tu perfil. Se recomienda que desactives estos informes cuando termines de solucionar el problema, ya que se recopilan de forma continuada en segundo plano. Puedes ver todos los registros en la carpeta {logsPath}",,"None",,"All",,"Skype - Linux",,""
"To apply the language settings, the application has to be restarted",,"Para aplicar la configuración de idioma, hay que reiniciar la aplicación",,"None",,"All",,"Skype - Linux",,""
"I will restart it later",,"La reiniciaré más tarde",,"None",,"All",,"Skype - Linux",,""
"Restart now",,"Reiniciar ahora",,"None",,"All",,"Skype - Linux",,""
"Restart needed to change the language",,"Es necesario reiniciar para cambiar el idioma",,"None",,"All",,"Skype - Linux",,""
"Close",,"Cerrar",,"None",,"All",,"Skype - Linux",,""
"Error details:",,"Detalles del error:",,"None",,"All",,"Skype - Linux",,""
"Oops, there was an error while exporting your chat history",,"Vaya, ha habido un error al exportar el historial de chats",,"None",,"All",,"Skype - Linux",,""
"Exported chat history is located here:",,"El historial de chats exportado se encuentra aquí:",,"None",,"All",,"Skype - Linux",,""
"Done!",,"¡Listo!",,"None",,"All",,"Skype - Linux",,""
"Next",,"Siguiente",,"None",,"All",,"Skype - Linux",,""
"We didn't find any previous Skype installation to export chat history from.",,"No se ha encontrado ninguna instalación anterior de Skype de la que se pueda exportar el historial de chats.",,"None",,"All",,"Skype - Linux",,""
"Open in browser",,"Abrir en el navegador",,"None",,"All",,"Skype - Linux",,""
""Select the profile for which you want to export the history and click the ""Next"" button."",,""Selecciona el perfil para el que quieres exportar el historial y haz clic en el botón ""Siguiente""."",,"None",,"All",,"Skype - Linux",,""
"Hey, we found the following profiles on your computer:",,"Hola, hemos encontrado los siguientes perfiles en tu equipo:",,"None",,"All",,"Skype - Linux",,""
"Export your chat history",,"Exporta tu historial de chats",,"None",,"All",,"Skype - Linux",,""
"Working on it!",,"¡Estamos en ello!",,"None",,"All",,"Skype - Linux",,""
""Select ""add to contacts"" and they'll get your request."",,""Selecciona ""agregar a contactos"" y se enviará la solicitud."",,"None",,"All",,"Skype - Linux",,""
"Yay! Now check out your emoticons...",,"¡Bien! Ahora comprueba tus emoticonos...",,"None",,"All",,"Skype - Linux",,""
"When your request is accepted, send a message.",,"Cuando acepten la solicitud, envía un mensaje.",,"None",,"All",,"Skype - Linux",,""
"Search by email or Skype Name.",,"Busca por correo electrónico o nombre de usuario.",,"None",,"All",,"Skype - Linux",,""
"Download this image...",,"Descargar esta imagen...",,"None",,"All",,"Skype - Linux",,""
"Image_from_Skype",,"Imagen_de_Skype",,"None",,"All",,"Skype - Linux",,""
"Loading...",,"Cargando...",,"None",,"All",,"Skype - Linux",,""
"About Skype",,"Acerca de Skype",,"None",,"All",,"Skype - Linux",,""
"Actual Size",,"Tamaño real",,"None",,"All",,"Skype - Linux",,""
"Ask the Skype Community",,"Preguntar en la comunidad de Skype",,"None",,"All",,"Skype - Linux",,""
"Away",,"Ausente",,"None",,"All",,"Skype - Linux",,""
