PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"contact info",,"info de contacto",,"None",,"All",,"Skype - Mac",,""
"profile picture",,"avatar",,"None",,"All",,"Skype - Mac",,""
"About",,"Acerca de",,"None",,"All",,"Skype - Mac",,""
"Multiline Label",,"Etiqueta multilínea",,"None",,"All",,"Skype - Mac",,""
"Label",,"Etiqueta",,"None",,"All",,"Skype - Mac",,""
"mood message",,"mensaje personal",,"None",,"All",,"Skype - Mac",,""
""Label - <a href=""http://apple.com"">Test</a>"",,""Label - <a href=""http://apple.com"">Test</a>"",,"None",,"All",,"Skype - Mac",,""
"Lists",,"Listas",,"None",,"All",,"Skype - Mac",,""
"Location",,"Ubicación",,"None",,"All",,"Skype - Mac",,""
"Time",,"Tiempo",,"None",,"All",,"Skype - Mac",,""
"Homepage",,"Página web",,"None",,"All",,"Skype - Mac",,""
"Gender",,"Género",,"None",,"All",,"Skype - Mac",,""
"Birthdate",,"Fecha nac.",,"None",,"All",,"Skype - Mac",,""
"Language",,"Idioma",,"None",,"All",,"Skype - Mac",,""
"Back",,"Volver",,"None",,"All",,"Skype - Mac",,""
"Add Contact",,"Añadir contacto",,"None",,"All",,"Skype - Mac",,""
"Copy",,"Copiar",,"None",,"All",,"Skype - Mac",,""
"favorite",,"favorito",,"None",,"All",,"Skype - Mac",,""
"Contacts",,"Contactos",,"None",,"All",,"Skype - Mac",,""
"Item 3",,"Ítem 3",,"None",,"All",,"Skype - Mac",,""
"Other",,"Otros",,"None",,"All",,"Skype - Mac",,""
"Box",,"Caja",,"None",,"All",,"Skype - Mac",,""
"Item 2",,"Ítem 2",,"None",,"All",,"Skype - Mac",,""
"Skype Certified",,"Certificado de Skype",,"None",,"All",,"Skype - Mac",,""
"Home",,"Casa",,"None",,"All",,"Skype - Mac",,""
"Mobile",,"Móvil",,"None",,"All",,"Skype - Mac",,""
"Item 1",,"Ítem 1",,"None",,"All",,"Skype - Mac",,""
"Skype",,"Skype",,"None",,"All",,"Skype - Mac",,""
"Office",,"Trabajo",,"None",,"All",,"Skype - Mac",,""
"Window",,"Ventana",,"None",,"All",,"Skype - Mac",,""
"Text Cell",,"Celda de texto",,"None",,"All",,"Skype - Mac",,""
"Send Contacts",,"Enviar contactos",,"None",,"All",,"Skype - Mac",,""
"Add contacts you would like to send:",,"Añade los contactos que desees enviar:",,"None",,"All",,"Skype - Mac",,""
"Send",,"Enviar",,"None",,"All",,"Skype - Mac",,""
"Cancel",,"Cancelar",,"None",,"All",,"Skype - Mac",,""
"Call",,"Llamar",,"None",,"All",,"Skype - Mac",,""
"Instant Message…",,"Mensaje instantáneo…",,"None",,"All",,"Skype - Mac",,""
"Send SMS…",,"Enviar SMS…",,"None",,"All",,"Skype - Mac",,""
"Send Photos and Files…",,"Enviar fotos y archivos…",,"None",,"All",,"Skype - Mac",,""
"Send Contacts…",,"Enviar contactos…",,"None",,"All",,"Skype - Mac",,""
"Show Profile",,"Mostrar perfil",,"None",,"All",,"Skype - Mac",,""
"Send Video Message…",,"Enviar mensaje de vídeo…",,"None",,"All",,"Skype - Mac",,""
"Send Files…",,"Enviar archivos…",,"None",,"All",,"Skype - Mac",,""
"React to Message…",,"Reaccionar al mensaje...",,"None",,"All",,"Skype - Mac",,""
"Last Message",,"Último mensaje",,"None",,"All",,"Skype - Mac",,""
"Beginning",,"Al principio",,"None",,"All",,"Skype - Mac",,""
"Quote Message",,"Citar mensaje",,"None",,"All",,"Skype - Mac",,""
"Add Image to Photos",,"Agregar imagen a Fotos",,"None",,"All",,"Skype - Mac",,""
"1 Week",,"1 semana",,"None",,"All",,"Skype - Mac",,""
"Edit Message",,"Editar mensaje",,"None",,"All",,"Skype - Mac",,""
"Remove Message",,"Eliminar mensaje",,"None",,"All",,"Skype - Mac",,""
"Show Location",,"Mostrar ubicación",,"None",,"All",,"Skype - Mac",,""
"Jump Back",,"Retroceder",,"None",,"All",,"Skype - Mac",,""
"Reload",,"Volver a cargar",,"None",,"All",,"Skype - Mac",,""
"Quote Selection",,"Citar selección",,"None",,"All",,"Skype - Mac",,""
"Beginning",,"Principio",,"None",,"All",,"Skype - Mac",,""
"NOTR Look Up %@",,"NOTR Look Up %@",,"None",,"All",,"Skype - Mac",,""
"Speech",,"Habla",,"None",,"All",,"Skype - Mac",,""
"Start Speaking",,"Iniciar locución",,"None",,"All",,"Skype - Mac",,""
"Stop Speaking",,"Detener locución",,"None",,"All",,"Skype - Mac",,""
"1 Year",,"1 año",,"None",,"All",,"Skype - Mac",,""
"Share",,"Compartir",,"None",,"All",,"Skype - Mac",,""
"1 Month",,"1 mes",,"None",,"All",,"Skype - Mac",,""
"3 Months",,"3 meses",,"None",,"All",,"Skype - Mac",,""
"6 Months",,"6 meses",,"None",,"All",,"Skype - Mac",,""
"Copy Image",,"Copiar imagen",,"None",,"All",,"Skype - Mac",,""
"1 Day",,"1 día",,"None",,"All",,"Skype - Mac",,""
"NOTR Search With %@",,"NOTR Search With %@",,"None",,"All",,"Skype - Mac",,""
"NOTR",,"NOTR",,"None",,"All",,"Skype - Mac",,""
"Copy Map URL",,"Copiar URL del mapa",,"None",,"All",,"Skype - Mac",,""
"Copy Location DD°MM’SS”",,"Copiar ubicación GG°MM’SS”",,"None",,"All",,"Skype - Mac",,""
"Remove Message",,"Quitar mensaje",,"None",,"All",,"Skype - Mac",,""
"Get Directions",,"Obtener indicaciones",,"None",,"All",,"Skype - Mac",,""
"Copy Location",,"Copiar ubicación",,"None",,"All",,"Skype - Mac",,""
"Copy Address",,"Copiar dirección",,"None",,"All",,"Skype - Mac",,""
"Open in Maps",,"Abrir en Mapas",,"None",,"All",,"Skype - Mac",,""
"Reveal in Finder",,"Ver en Finder",,"None",,"All",,"Skype - Mac",,""
"Save Image As…",,"Guardar imagen como…",,"None",,"All",,"Skype - Mac",,""
"Quick Look",,"Vistazo rápido",,"None",,"All",,"Skype - Mac",,""
"Open",,"Abrir",,"None",,"All",,"Skype - Mac",,""
"Play",,"Reproducir",,"None",,"All",,"Skype - Mac",,""
"Use Image as Desktop Picture",,"Usar imagen como imagen de escritorio",,"None",,"All",,"Skype - Mac",,""
"SMS",,"SMS",,"None",,"All",,"Skype - Mac",,""
"A B C",,"A B C",,"None",,"All",,"Skype - Mac",,""
"D E F",,"D E F",,"None",,"All",,"Skype - Mac",,""
"G H I",,"G H I",,"None",,"All",,"Skype - Mac",,""
"J K L",,"J K L",,"None",,"All",,"Skype - Mac",,""
"M N O",,"M N O",,"None",,"All",,"Skype - Mac",,""
"P Q R S",,"P Q R S",,"None",,"All",,"Skype - Mac",,""
"T U V",,"T U V",,"None",,"All",,"Skype - Mac",,""
"W X Y Z",,"W X Y Z",,"None",,"All",,"Skype - Mac",,""
"star",,"asterisco",,"None",,"All",,"Skype - Mac",,""
"hash",,"almohadilla",,"None",,"All",,"Skype - Mac",,""
"Save",,"Guardar",,"None",,"All",,"Skype - Mac",,""
"Edit Message: NOTR",,"Edit Message: NOTR",,"None",,"All",,"Skype - Mac",,""
"Panel",,"Panel",,"None",,"All",,"Skype - Mac",,""
"Edit Mood Message",,"Editar mensaje personal",,"None",,"All",,"Skype - Mac",,""
"Emergency Call NOTR",,"Emergency Call NOTR",,"None",,"All",,"Skype - Mac",,""
"It appears you are attempting to make an emergency call.\nPlease choose your country: NOTR",,"It appears you are attempting to make an emergency call.\nPlease choose your country: NOTR",,"None",,"All",,"Skype - Mac",,""
"OtherViews",,"Otrasvistas",,"None",,"All",,"Skype - Mac",,""
"Angel",,"Ángel",,"None",,"All",,"Skype - Mac",,""
"Angry",,"Enfadado",,"None",,"All",,"Skype - Mac",,""
"Bandit",,"Bandido",,"None",,"All",,"Skype - Mac",,""
"Beer",,"Cerveza",,"None",,"All",,"Skype - Mac",,""
"Big smile",,"Sonrisa",,"None",,"All",,"Skype - Mac",,""
"Blushing",,"Sonrojado",,"None",,"All",,"Skype - Mac",,""
"Bowing",,"Reverencia",,"None",,"All",,"Skype - Mac",,""
"Cake",,"Pastel",,"None",,"All",,"Skype - Mac",,""
"Cash",,"Dinero",,"None",,"All",,"Skype - Mac",,""
"Clapping",,"Aplausos",,"None",,"All",,"Skype - Mac",,""
"Coffee",,"Café",,"None",,"All",,"Skype - Mac",,""
"Cool",,"Mola",,"None",,"All",,"Skype - Mac",,""
"Crying",,"Llorando",,"None",,"All",,"Skype - Mac",,""
"Dancing",,"Bailando",,"None",,"All",,"Skype - Mac",,""
"Devil",,"Diablo",,"None",,"All",,"Skype - Mac",,""
"Doh!",,"¡Uf!",,"None",,"All",,"Skype - Mac",,""
"Drink",,"Bebida",,"None",,"All",,"Skype - Mac",,""
"Dull",,"Aburrido",,"None",,"All",,"Skype - Mac",,""
"Emo",,"Emo",,"None",,"All",,"Skype - Mac",,""
"Envious",,"Envidioso",,"None",,"All",,"Skype - Mac",,""
"Evil",,"Diablo",,"None",,"All",,"Skype - Mac",,""
"Facepalm",,"Disgusto",,"None",,"All",,"Skype - Mac",,""
"Fingers crossed",,"Dedos cruzados",,"None",,"All",,"Skype - Mac",,""
