PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Open the more menu",,"Abre el menú Más",,"None",,"All",,"Skype - iOS",,""
"More menu",,"Menú Más",,"None",,"All",,"Skype - iOS",,""
"Cancel",,"Cancelar",,"None",,"All",,"Skype - iOS",,""
"Recent calls and messages will appear here.",,"Las llamadas y los mensajes recientes aparecerán aquí.",,"None",,"All",,"Skype - iOS",,""
"Search",,"Buscar",,"None",,"All",,"Skype - iOS",,""
"Hide options",,"Ocultar opciones",,"None",,"All",,"Skype - iOS",,""
"Show options",,"Mostrar opciones",,"None",,"All",,"Skype - iOS",,""
"Done",,"Listo",,"None",,"All",,"Skype - iOS",,""
"%lu %@ %lu",,"%lu %@ %lu",,"None",,"All",,"Skype - iOS",,""
"Copied",,"Copiado",,"None",,"All",,"Skype - iOS",,""
"Copying",,"Copiando",,"None",,"All",,"Skype - iOS",,""
"Failed",,"Erróneo",,"None",,"All",,"Skype - iOS",,""
"Preparing",,"Preparando",,"None",,"All",,"Skype - iOS",,""
"Saved",,"Guardado",,"None",,"All",,"Skype - iOS",,""
"Saving",,"Guardando",,"None",,"All",,"Skype - iOS",,""
"Search Giphy",,"Buscar Giphy",,"None",,"All",,"Skype - iOS",,""
"& %d others",,"y %d personas más",,"None",,"All",,"Skype - iOS",,""
"%1$d out of %2$d selected",,"%1$d fuera de %2$d la selección",,"None",,"All",,"Skype - iOS",,""
"& %d others",,"y %d persona más",,"None",,"All",,"Skype - iOS",,""
"Skype version",,"Versión de Skype",,"None",,"All",,"Skype - iOS",,""
"© 2003-2017 Skype & Microsoft\nPatent Pending",,"© 2003-2017 Skype & Microsoft\nPatentes pendientes",,"None",,"All",,"Skype - iOS",,""
"The Skype name, associated trade marks and logos and the “S” logo are trade marks of Skype or related entities.\n\nWarning: This program is protected by copyright law and international treaties. Unauthorized reproduction or distribution of this program, or any portion of it, may result in severe criminal and civil penalties and will be prosecuted to the maximum extent possible under the law.",,"El nombre “Skype”, las marcas comerciales, los logotipos relacionados y el símbolo “S” son marcas comerciales de Skype o de entidades vinculadas.\n\nAdvertencia Este programa está protegido por leyes de propiedad intelectual y tratados internacionales. La distribución o reproducción no autorizadas de este programa o de cualquiera de sus partes están penadas con sanciones civiles y penales y serán objeto de todas las acciones judiciales que correspondan.",,"None",,"All",,"Skype - iOS",,""
"Privacy Policy",,"Política de Privacidad",,"None",,"All",,"Skype - iOS",,""
"About",,"Acerca de",,"None",,"All",,"Skype - iOS",,""
"Terms of Use",,"Condiciones de Uso",,"None",,"All",,"Skype - iOS",,""
"Third party notices",,"Avisos de terceros",,"None",,"All",,"Skype - iOS",,""
"Skype needs access to Contacts to display address book contacts. Go to Settings and enable Contacts to allow access.",,"Skype necesita acceder a Contactos para mostrar los contactos de la agenda. Ve a Ajustes y habilita Contactos para permitir el acceso.",,"None",,"All",,"Skype - iOS",,""
"Your address book is empty",,"La agenda está vacía",,"None",,"All",,"Skype - iOS",,""
"Loading address book contacts...",,"Cargando los contactos de la agenda...",,"None",,"All",,"Skype - iOS",,""
"No results found for %@",,"No se han encontrado resultados para %@",,"None",,"All",,"Skype - iOS",,""
"Search address book",,"Buscar en la agenda",,"None",,"All",,"Skype - iOS",,""
"Address book",,"Agenda",,"None",,"All",,"Skype - iOS",,""
"Invite to Skype",,"Invitar a Skype",,"None",,"All",,"Skype - iOS",,""
"To invite friends via email, set up your mail account in device settings first.",,"Para invitar amigos por correo electrónico, configura en primer lugar tu cuenta de correo en la configuración del dispositivo.",,"None",,"All",,"Skype - iOS",,""
"No mail account found",,"No se ha encontrado ninguna cuenta de correo",,"None",,"All",,"Skype - iOS",,""
"To invite friends via SMS, check your SIM card is inserted properly and try again.",,"Para invitar a amigos mediante SMS, comprueba que la tarjeta SIM esté bien insertada y vuelve a intentarlo.",,"None",,"All",,"Skype - iOS",,""
"No SIM card found",,"No se ha encontrado ninguna tarjeta SIM",,"None",,"All",,"Skype - iOS",,""
"Standard SMS rates may apply",,"Pueden aplicarse tarifas estándar de SMS",,"None",,"All",,"Skype - iOS",,""
"Via email",,"Por correo electrónico",,"None",,"All",,"Skype - iOS",,""
"Via home",,"Mediante particular",,"None",,"All",,"Skype - iOS",,""
"Via mobile",,"Mediante móvil",,"None",,"All",,"Skype - iOS",,""
"Via office",,"Mediante oficina",,"None",,"All",,"Skype - iOS",,""
