PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Play",,"Reproducir",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Open Custom link",,"Abrir vínculo personalizado",,"None",,"All",,"Skype Cast Attendee 2015",,""
"An error occurred while processing your request.",,"Error al procesar su solicitud.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Not started",,"No iniciada",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Leave",,"Abandonar",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Right panel tab for ",,"Pestaña del panel derecho para ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"The broadcast will start in a moment",,"La difusión comenzará en breve",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Click to toggle the navigation dropdown menu",,"Hacer clic para activar/desactivar el menú desplegable de navegación",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Live",,"En vivo",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Yammer",,"Yammer",,"None",,"All",,"Skype Cast Attendee 2015",,""
"We're connecting you to the broadcast",,"Le estamos conectando a la difusión",,"None",,"All",,"Skype Cast Attendee 2015",,""
"The broadcast wasn’t found.",,"No se ha encontrado la difusión.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Sign Out",,"Cerrar sesión",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Pulse",,"Pulse",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Click to toggle the right panel",,"Haga clic para activar o desactivar el panel derecho",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Captions",,"Títulos",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Skype for Business",,"Skype Empresarial",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Please enable cookies in your browser settings to ensure all functionality is available.",,"Habilite las cookies en la configuración del explorador para asegurar que toda la funcionalidad está disponible.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"We're getting the video recording",,"Estamos obteniendo la grabación de video",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Join",,"Unirse",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Open Support link",,"Abrir vínculo de asistencia",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Ended",,"Finalizada",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Pause",,"Pausa",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Privacy & cookies",,"Privacidad y cookies",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Support",,"Asistencia",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Error :(",,"Error :(",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Q&A",,"Preguntas &y respuestas",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Please install or enable Adobe Flash Player",,"Instale o habilite Adobe Flash Player",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Captions Off",,"Títulos desactivados",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Get Adobe Flash player",,"Obtener Adobe Flash player",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Selected",,"Seleccionado",,"None",,"All",,"Skype Cast Attendee 2015",,""
"An unknown error has occurred.",,"Se produjo un error desconocido.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Meeting series",,"Serie de reuniones",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Anonymous User",,"Usuario anónimo",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Bottom panel tab for ",,"Pestaña del panel inferior para ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Sorry, you’re not allowed to attend this meeting. Please contact the meeting organizer.",,"No puede asistir a esta reunión. Póngase en contacto con el organizador de la reunión.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Meeting Broadcast",,"Difusión de la reunión",,"None",,"All",,"Skype Cast Attendee 2015",,""
