PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Cancel",,"Cancelar",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Select an app for the right panel",,"Seleccionar una aplicación para el panel derecho",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Add a start time",,"Agregar una hora de inicio",,"None",,"All",,"Skype Cast Organizer 2016",,""
"This meeting’s video was published to Office 365",,"Se publicó el vídeo de esta reunión en Office 365",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Checking a few things. We'll get your meetings in a bit.",,"Estamos haciendo algunas comprobaciones. Tendremos sus reuniones listas en un momento.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Attendee page settings",,"Configuración de la página de asistentes",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Transcription and translation is enabled",,"La transcripción y la traducción están habilitadas",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The start time is later than the end time.",,"La hora de inicio es posterior a la hora de finalización.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Note: captions are currently not available in full screen video",,"Nota: Los subtítulos no están disponibles en este momento en el vídeo a pantalla completa",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Create Outlook invitation",,"Crear una invitación de Outlook",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Video title",,"Título del vídeo",,"None",,"All",,"Skype Cast Organizer 2016",,""
"only attendees listed below can join the meeting",,"solo los asistentes enumerados pueden unirse a la reunión",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting details couldn't be retrieved.",,"No se pudieron recuperar los detalles de la reunión.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Delete",,"Eliminar",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Recover this meeting",,"Recuperar esta reunión",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting request is empty.",,"La solicitud de la reunión está vacía.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Create a video recording for download",,"Cree una grabación de vídeo para descargar",,"None",,"All",,"Skype Cast Organizer 2016",,""
"BroadcastMeeting.ics",,"BroadcastMeeting.ics",,"None",,"All",,"Skype Cast Organizer 2016",,""
"View published video",,"Ver el vídeo publicado",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Edit meeting details",,"Editar detalles de la reunión",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You don't have any meetings this month.",,"No tiene ninguna reunión este mes.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Delete this meeting?",,"¿Desea eliminar esta reunión?",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The attendee is empty",,"El asistente está vacío",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You don't have permission to create meetings",,"No tiene permiso para crear reuniones",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Video recording was enabled",,"La grabación de vídeo se ha habilitado",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The support code couldn't be created.",,"No se pudo crear el código de asistencia.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"No custom link",,"No hay ningún vínculo personalizado",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Done",,"Listo",,"None",,"All",,"Skype Cast Organizer 2016",,""
"are already in the event team",,"ya están en el equipo del evento",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Give attendees access to content related to this meeting or provide contact links.",,"Proporcione acceso al contenido relacionado con la reunión a los asistentes o proporcióneles vínculos de contacto.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The account information wasn't found.",,"No se encontró la información de la cuenta.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Empty ETag",,"ETag vacía",,"None",,"All",,"Skype Cast Organizer 2016",,""
"One or more event team member' email addresses are empty",,"La dirección de correo de uno o más miembros del equipo del evento está vacía",,"None",,"All",,"Skype Cast Organizer 2016",,""
"We have exciting news--our production environment is ready for new broadcasts! ",,"Tenemos noticias emocionantes. ¡Nuestro entorno de producción está a punto para nuevas difusiones! ",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Reports",,"Informes",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Couldn't find:",,"No se pudo encontrar:",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Access",,"Acceso",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Right panel app",,"Aplicación del panel derecho",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Not started",,"No iniciada",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Getting the link to the meeting recording...",,"Obteniendo el vínculo a la grabación de la reunión...",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You can customize the attendee page to include audience participation apps and add supporting links.",,"Puede personalizar la página de asistentes para incluir aplicaciones para la participación del público y agregar vínculos de servicio técnico.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting name is too long. Please shorten it.",,"El nombre de la reunión es demasiado largo, acórtelo.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"email or alias of each event team member",,"correo electrónico o alias de todos los miembros del equipo del evento",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec",,"ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dec",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Pulse ID",,"Id. de Pulse",,"None",,"All",,"Skype Cast Organizer 2016",,""
"appears below the video player.",,"aparece bajo el reproductor de vídeo.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Media distribution",,"Distribución de medios",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting resource couldn't be retrieved.",,"No se pudo recuperar el recurso de la reunión.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The transcription couldn't be retrieved.  Please verify that someone was speaking and unmuted during the broadcast.",,"No se pudo recuperar la transcripción. Compruebe que alguien estaba hablando y reactivó el audio durante la difusión.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Translate the broadcast into:",,"Traducir la difusión a:",,"None",,"All",,"Skype Cast Organizer 2016",,""
"This will still be the place to access recordings and reports for meetings scheduled in the past, ",,"Aunque este seguirá siendo el lugar desde el que acceder a las grabaciones y a los informes de las reuniones programadas anteriormente, ",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Invalid email or alias",,"Correo electrónico o alias no válido",,"None",,"All",,"Skype Cast Organizer 2016",,""
"the ID for your Pulse event.",,"el id. para el evento de Pulse.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting can't be found.",,"No se puede encontrar la reunión.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Give attendees access to support and troubleshooting information for your company.",,"Proporcione acceso a la información de soporte técnico y de solución de problemas de su compañía a los asistentes.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"No attendees invited",,"No se ha invitado a ningún asistente",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Link text",,"Vincular texto",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Your company policy doesn't allow you to use Skype Meeting Broadcast. Check with your system admin to make sure the service is enabled and that you have the correct license.",,"La directiva de su empresa no le permite utilizar Difusión de reunión de Skype. Póngase en contacto con el administrador del sistema para asegurarse de que el servicio está habilitado y de que tiene la licencia correcta.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Add a meeting name.",,"Agregue un nombre de reunión.",,"None",,"All",,"Skype Cast Organizer 2016",,""
