PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"a month",,"un mes",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a minute",,"un minuto",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d months",,"%d meses",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d minutes",,"%d minutos",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a day",,"un día",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d days",,"%d días",,"None",,"All",,"Skype Cast Q&A 2016",,""
"in %s",,"en %s",,"None",,"All",,"Skype Cast Q&A 2016",,""
"an hour",,"una hora",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d hours",,"%d horas",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%s ago",,"Hace %s",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a few seconds",,"unos segundos",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a year",,"un año",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d years",,"%d años",,"None",,"All",,"Skype Cast Q&A 2016",,""
"We are unable to authorize you for this Q&A. Kindly logout and login again with the correct account.",,"No podemos autorizarle a acceder a estas preguntas y respuestas. Cierre sesión y vuelva a iniciarla con la cuenta correcta.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Unable to find the Q&A.",,"No se encuentran las preguntas y respuestas.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"add an answer",,"agregar una respuesta",,"None",,"All",,"Skype Cast Q&A 2016",,""
"all",,"todo",,"None",,"All",,"Skype Cast Q&A 2016",,""
"announce",,"anunciar",,"None",,"All",,"Skype Cast Q&A 2016",,""
"anonymous user",,"usuario anónimo",,"None",,"All",,"Skype Cast Q&A 2016",,""
"announcement",,"anuncio",,"None",,"All",,"Skype Cast Q&A 2016",,""
"message sent.",,"mensaje enviado.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"question added.",,"pregunta agregada.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"question broadcasted.",,"pregunta difundida.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"answer.",,"respuesta.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"response added.",,"respuesta añadida.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"total question count.",,"número de preguntas totales.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"unread question count.",,"número de preguntas no leídas.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"this message was broadcasted",,"este mensaje se difundió",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Question from {0}",,"Pregunta de {0}",,"None",,"All",,"Skype Cast Q&A 2016",,""
"reply from {0}",,"respuesta de {0}",,"None",,"All",,"Skype Cast Q&A 2016",,""
"tabs",,"pestañas",,"None",,"All",,"Skype Cast Q&A 2016",,""
"ask",,"preguntar",,"None",,"All",,"Skype Cast Q&A 2016",,""
"ask anonymously",,"preguntar de forma anónima",,"None",,"All",,"Skype Cast Q&A 2016",,""
"ask as",,"preguntar como",,"None",,"All",,"Skype Cast Q&A 2016",,""
"broadcast",,"difundir",,"None",,"All",,"Skype Cast Q&A 2016",,""
"message to broadcast",,"mensaje para difusión",,"None",,"All",,"Skype Cast Q&A 2016",,""
"add the response",,"agregar respuesta",,"None",,"All",,"Skype Cast Q&A 2016",,""
"cancel",,"cancelar",,"None",,"All",,"Skype Cast Q&A 2016",,""
"close qna",,"cerrar PyR",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Are you sure you want to delete this announcement?",,"¿Está seguro de que desea eliminar este anuncio?",,"None",,"All",,"Skype Cast Q&A 2016",,""
