PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Your group name must consist of more than just identical letters",,"El nombre del grupo no puede constar solo de letras idénticas",,"None",,"All",,"Skype Manager",,""
"Group name is too long (max length 40 characters)",,"El nombre del grupo es demasiado largo (longitud máx.: 40 caracteres)",,"None",,"All",,"Skype Manager",,""
"Your group name cannot contain only numbers",,"El nombre del grupo no puede contener solo números",,"None",,"All",,"Skype Manager",,""
"Group name is too short (min length 2 characters)",,"El nombre del grupo es demasiado corto (longitud mín.: 2 caracteres)",,"None",,"All",,"Skype Manager",,""
"Due to recent changes to Saudi Arabian tax requirements, from 1st January 2018 Skype will include Value Added Tax (VAT) for Saudi Arabia customers purchases of Skype paid products.",,"Debido a cambios recientes en los requisitos fiscales de Arabia Saudí, a partir del 1 de enero de 2018, Skype incluirá el impuesto sobre el valor añadido (IVA) a las compras que realicen los clientes de Arabia Saudí de productos de pago de Skype.",,"None",,"All",,"Skype Manager",,""
"Due to recent changes to United Arab Emirates tax requirements, from 1st January 2018 Skype will include Value Added Tax (VAT) for United Arab Emirates customers purchases of Skype paid products.",,"Debido a cambios recientes en los requisitos fiscales de Emiratos Árabes Unidos, a partir del 1 de enero de 2018, Skype incluirá el impuesto sobre el valor añadido (IVA) a las compras que realicen los clientes de Emiratos Árabes Unidos de productos de pago de Skype.",,"None",,"All",,"Skype Manager",,""
"Skype Number will be available in a few minutes.",,"El número de Skype estará disponible en unos minutos.",,"None",,"All",,"Skype Manager",,""
"Channel subscription will be available in a few minutes.",,"La suscripción al canal estará disponible en unos minutos.",,"None",,"All",,"Skype Manager",,""
"Skype Premium will be available soon.",,"Skype Premium estará pronto disponible. ",,"None",,"All",,"Skype Manager",,""
"Subscription will be available in a few minutes.",,"El plan estará disponible en unos minutos.",,"None",,"All",,"Skype Manager",,""
"Voice messaging will be available in a few minutes.",,"El Buzón de Voz estará disponible en unos minutos.",,"None",,"All",,"Skype Manager",,""
"Less than previous month",,"Menos que el mes pasado",,"None",,"All",,"Skype Manager",,""
"More than previous month",,"Más que el mes pasado",,"None",,"All",,"Skype Manager",,""
"Accept",,"Aceptar",,"None",,"All",,"Skype Manager",,""
"Activate",,"Activar",,"None",,"All",,"Skype Manager",,""
"Activate / change",,"Activar / cambiar",,"None",,"All",,"Skype Manager",,""
"Add",,"Agregar",,"None",,"All",,"Skype Manager",,""
"Add another email address",,"Añadir otra dirección de correo electrónico",,"None",,"All",,"Skype Manager",,""
