PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Add channel",,"Agregar canal",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Add member",,"Agregar miembro",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Audio",,"Audio",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"No Audio, echo, noise...",,"No había audio, había eco, ruido...",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Speech wasn\'t natural or sounded distorted",,"La voz no sonaba natural o sonaba distorsionada",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The call ended unexpectedly",,"La llamada finalizó inesperadamente",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I heard an echo in the call  ",,"Se escuchaba un eco en la llamada  ",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"We kept interrupting each other",,"Nos interrumpíamos continuamente",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I could not invite someone into the call​",,"No pude invitar a nadie a la llamada",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Volume was low",,"El volumen era bajo",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I couldn\'t hear any sound",,"No pude oír nada",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The other side couldn\'t hear any sound ",,"La otra persona no podía oír nada ",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I heard noise in the call",,"Se oía ruido en la llamada",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"People had trouble joining the call​",,"La gente tenía problemas para unirse a la llamada",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call Feedback",,"Comentarios de la llamada",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call Rating",,"Clasificación de la llamada",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$d star",,"%1$d estrella",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Rating Star",,"Estrella de clasificación",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$d stars",,"%1$d estrellas",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s group collapsed",,"Grupo %1$s, contraído",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s group expanded",,"Grupo %1$s, expandido",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s selected for feedback",,"%1$s seleccionado para comentarios",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s not selected for feedback",,"%1$s no seleccionado para comentarios",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Presentation",,"Presentación",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
