PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"about",,"acerca de",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"About third party components",,"Acerca de componentes de terceros",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Too many results; try refining your search.",,"Demasiados resultados; prueba a restringir la búsqueda.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"We can't connect to the server. Please try again later.",,"No podemos conectar con el servidor. Vuelve a intentarlo más tarde.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"No results",,"No hay resultados",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Please sign in to search the company directory.",,"Inicia sesión para buscar en el directorio de la compañía.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Searching the company directory...",,"Buscando en el directorio de la compañía...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Accept",,"Aceptar",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Important",,"Importante",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Sensitive",,"Confidencial",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Unread message",,"Mensaje sin leer",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Select status",,"Seleccionar estado",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Swipe down to dismiss",,"Deslizar rápidamente hacia abajo para descartar",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"turn on Bluetooth",,"activar Bluetooth",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"turn on speaker",,"activar altavoz",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"urgent interuptions only",,"solo interrupciones urgentes",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"in a call",,"al teléfono",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"in a conference call",,"en llamada de conferencia",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"in a meeting",,"en una reunión",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"inactive",,"inactivo",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"off work",,"ausente del trabajo",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"out of office",,"fuera de la oficina",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"out to lunch",,"salí a comer",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"presenting",,"presentando",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Add Contact",,"Agregar contacto",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"ADD TO GROUP",,"AGREGAR A GRUPO",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"You've been admitted. We're calling you now...",,"Has sido admitido. Te estamos llamando ahora...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"All Groups",,"Todos los grupos",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Manage data use",,"Administrar uso de datos",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Anonymously join meetings options ",,"Añadir opciones de reunión de forma anónima ",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Anonymous",,"Anónimo",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"CONNECTING...",,"CONECTANDO...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"updating...",,"actualizando...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Application",,"Aplicación",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Anyone can use this app to join a Skype Meeting, but to enjoy all the features, you need a Skype for Business account and your organization must have enabled this app.",,"Cualquiera puede usar esta aplicación para participar en una reunión de Skype. Sin embargo, para disfrutar de todas las características, debes tener una cuenta de Skype Empresarial y tu organización debe habilitar esta aplicación.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Apply Settings",,"Aplicar configuración",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"ATTENDEES",,"ASISTENTES",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Audio",,"Audio",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"to enable voice over ip, visit settings",,"para habilitar voz sobre IP, visita la configuración",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"appear away",,"aparecer ausente",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"reset status",,"restablecer estado",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"available",,"disponible",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"away",,"ausente",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"be right back",,"vuelvo enseguida",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"busy",,"ocupado",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"do not disturb",,"no molestar",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"offline",,"desconectado",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"unknown",,"desconocido",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Send feedback",,"Enviar comentarios",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"join",,"aceptar",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"no, thanks",,"rechazar",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"next",,"siguiente",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"no",,"no",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"turn off",,"desactivar",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"turn on",,"activar",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
