PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Video problem",,"Problema de video",,"None",,"All",,"Skype for Surface RT",,""
"Video problem. Send audio/video from your last call plus logs.",,"Problema de video. Envíe video o audio y los registros de la última llamada.",,"None",,"All",,"Skype for Surface RT",,""
"I accept the terms and conditions",,"Acepto los términos y condiciones",,"None",,"All",,"Skype for Surface RT",,""
"{0} - Press enter or space for call controls",,"{0}: presiona entrar o espacio para acceder a los controles de llamada.",,"None",,"All",,"Skype for Surface RT",,""
"Call",,"Llamada",,"None",,"All",,"Skype for Surface RT",,""
"Add all invitees",,"Agregar a todos los invitados",,"None",,"All",,"Skype for Surface RT",,""
"All Invitees",,"Todos los invitados",,"None",,"All",,"Skype for Surface RT",,""
"Add",,"Agregar",,"None",,"All",,"Skype for Surface RT",,""
"People",,"Contactos",,"None",,"All",,"Skype for Surface RT",,""
"Find someone or dial a number",,"Busca a alguien o marca un número",,"None",,"All",,"Skype for Surface RT",,""
"Add online participants",,"Agregar a participantes en línea",,"None",,"All",,"Skype for Surface RT",,""
"Admit all",,"Admitir a todos",,"None",,"All",,"Skype for Surface RT",,""
"Admit",,"Admitir",,"None",,"All",,"Skype for Surface RT",,""
"1 of {0}:",,"1 de {0}:",,"None",,"All",,"Skype for Surface RT",,""
"Allow",,"Permitir",,"None",,"All",,"Skype for Surface RT",,""
"Allow this participant into the meeting",,"Permitir la entrada de este participante en la reunión",,"None",,"All",,"Skype for Surface RT",,""
"Content",,"Contenido",,"None",,"All",,"Skype for Surface RT",,""
"New messages",,"mensajes nuevos",,"None",,"All",,"Skype for Surface RT",,""
"Message",,"Mensaje",,"None",,"All",,"Skype for Surface RT",,""
"Roster",,"Lista",,"None",,"All",,"Skype for Surface RT",,""
"Join {0} scheduled meeting {1}",,"Unirse a la reunión programada de {0} {1}",,"None",,"All",,"Skype for Surface RT",,""
"Back",,"Atrás",,"None",,"All",,"Skype for Surface RT",,""
"Attendee",,"Asistente",,"None",,"All",,"Skype for Surface RT",,""
"Send audio from your last call plus logs",,"Envíe audio y un registro de la última llamada.",,"None",,"All",,"Skype for Surface RT",,""
"Audio problem",,"Problema de audio",,"None",,"All",,"Skype for Surface RT",,""
"Audio problem. Send audio from your last call plus logs.",,"Problema de audio. Envíe audio y un registro de la última llamada.",,"None",,"All",,"Skype for Surface RT",,""
"Auto Camera Switching",,"Conmutación automática de cámara",,"None",,"All",,"Skype for Surface RT",,""
"Your device isn’t set up for email. Please contact your support team.",,"Su dispositivo no tiene configurado el correo electrónico. Póngase en contacto con su equipo de soporte técnico.",,"None",,"All",,"Skype for Surface RT",,""
"Nothing's scheduled for the rest of the day.",,"No hay nada más programado para el resto del día.",,"None",,"All",,"Skype for Surface RT",,""
"Getting your calendar…",,"Conectando con el calendario…",,"None",,"All",,"Skype for Surface RT",,""
"Calendar is unavailable",,"El calendario no está disponible",,"None",,"All",,"Skype for Surface RT",,""
"Call Ended",,"Llamada finalizada",,"None",,"All",,"Skype for Surface RT",,""
"This call is on hold.",,"La llamada está en espera.",,"None",,"All",,"Skype for Surface RT",,""
"The network quality isn't great",,"La calidad de la red es mejorable.",,"None",,"All",,"Skype for Surface RT",,""
"The network quality is pretty bad",,"La calidad de la red es bastante mala.",,"None",,"All",,"Skype for Surface RT",,""
"The network quality is good",,"La calidad de la red es buena.",,"None",,"All",,"Skype for Surface RT",,""
"Camera options",,"Opciones de cámara",,"None",,"All",,"Skype for Surface RT",,""
"Cancel",,"Cancelar",,"None",,"All",,"Skype for Surface RT",,""
"Center Camera Only",,"Solo cámara central",,"None",,"All",,"Skype for Surface RT",,""
"Chat Input conversation with zero participants||Chat Input conversation with one participant||Chat Input conversation with {0} participants",,"Conversación de entrada de chat con ningún participante||Conversación de entrada de chat con un participante||Conversación de entrada de chat con {0} participantes",,"None",,"All",,"Skype for Surface RT",,""
"Type a message here",,"Escribir un mensaje",,"None",,"All",,"Skype for Surface RT",,""
"Chat conversation pane updated",,"Se ha actualizado el panel de conversación del chat",,"None",,"All",,"Skype for Surface RT",,""
"Check in all local participants",,"Proteger todos los participantes locales",,"None",,"All",,"Skype for Surface RT",,""
"Expand or collapse the participants who have not yet joined the meeting or left the meeting",,"Expandir o contraer a los participantes que aún no se han incorporado a la reunión o que han salido de ella",,"None",,"All",,"Skype for Surface RT",,""
"Clear search",,"Borrar búsqueda",,"None",,"All",,"Skype for Surface RT",,""
"Tap to close meeting details",,"Toque para cerrar los detalles de la reunión",,"None",,"All",,"Skype for Surface RT",,""
"{0} is Presenting PowerPoint",,"{0} está presentando un PowerPoint",,"None",,"All",,"Skype for Surface RT",,""
"{0} is Presenting",,"{0} está presentando",,"None",,"All",,"Skype for Surface RT",,""
"Coming soon...",,"Próximamente...",,"None",,"All",,"Skype for Surface RT",,""
"Content and gallery",,"Contenido y galería",,"None",,"All",,"Skype for Surface RT",,""
"{0}, meeting details",,"{0}, detalles de la reunión",,"None",,"All",,"Skype for Surface RT",,""
"PowerPoint content: {0}, {1}",,"Contenido del PowerPoint: {0}, {1}",,"None",,"All",,"Skype for Surface RT",,""
"Screen presentation, {0}",,"Presentación en pantalla, {0}",,"None",,"All",,"Skype for Surface RT",,""
"Content PIN: {0}",,"PIN de contenido: {0}",,"None",,"All",,"Skype for Surface RT",,""
"Enter this PIN on the {0} device to see content in your meeting.",,"Escriba este PIN en el dispositivo {0} para ver el contenido en la reunión.",,"None",,"All",,"Skype for Surface RT",,""
"Meeting: {0}",,"Reunión: {0}",,"None",,"All",,"Skype for Surface RT",,""
"Organizer: {0}",,"Organizador: {0}",,"None",,"All",,"Skype for Surface RT",,""
"Content PIN for {0}",,"PIN de contenido para {0}",,"None",,"All",,"Skype for Surface RT",,""
"is now presenting Desktop.",,"está presentando su Escritorio.",,"None",,"All",,"Skype for Surface RT",,""
"has stopped presenting",,"ha detenido la presentación",,"None",,"All",,"Skype for Surface RT",,""
"Connecting...",,"Conectando...",,"None",,"All",,"Skype for Surface RT",,""
"Retry",,"Volver a intentarlo",,"None",,"All",,"Skype for Surface RT",,""
"Presentation has stopped because of problems connecting to Skype server.",,"Se ha detenido la presentación debido a un error al conectar con el servidor de Skype.",,"None",,"All",,"Skype for Surface RT",,""
"Content With Video",,"Contenido con vídeo",,"None",,"All",,"Skype for Surface RT",,""
"We couldn’t join you to the meeting.",,"No pudimos unirte a la reunión.",,"None",,"All",,"Skype for Surface RT",,""
"You weren't admitted into the meeting. Please try joining again.",,"No se le ha admitido en la reunión. Inténtelo de nuevo.",,"None",,"All",,"Skype for Surface RT",,""
"Deny all",,"Denegar a todos",,"None",,"All",,"Skype for Surface RT",,""
"Deny",,"Denegar",,"None",,"All",,"Skype for Surface RT",,""
"Deny this participant from the meeting",,"Denegar a este participante de la reunión",,"None",,"All",,"Skype for Surface RT",,""
"Close",,"Cerrar",,"None",,"All",,"Skype for Surface RT",,""
