PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Cancel",,"Cancelar",,"AppData",,"All",,"Bing",,""
"Today",,"Hoy",,"AppData",,"All",,"Bing",,""
"There\'s something wrong. Try again later",,"Se produjo un problema. Vuelve a intentarlo más tarde.",,"AppData",,"All",,"Bing",,""
"Background",,"Fondo",,"AppData",,"All",,"Bing",,""
"We\'re sorry but we can\'t open this image. Please try again or select other images.",,"Lo sentimos, pero no podemos abrir esta imagen. Vuelve a intentarlo o selecciona otras imágenes.",,"AppData",,"All",,"Bing",,""
"There are no directions from point A to point B. Because they\'re the same location. Try changing one of them.",,"No hay indicaciones para ir del punto A al punto B, porque ambos son la misma ubicación. Intenta cambiar uno de ellos.",,"AppData",,"All",,"Bing",,""
"Please write down any suggestion that you think we should know.",,"Anota las sugerencias que crees que deberíamos conocer.",,"AppData",,"All",,"Bing",,""
"Delete cached images and files",,"Eliminar imágenes y archivos en caché",,"AppData",,"All",,"Bing",,""
"Sign in with another account?",,"¿Quieres iniciar sesión con otra cuenta?",,"AppData",,"All",,"Bing",,""
"Hi, there",,"¡Hola!",,"AppData",,"All",,"Bing",,""
"Applying changes…",,"Aplicando cambios…",,"AppData",,"All",,"Bing",,""
"Signing in to Bing has benefits!",,"Iniciar sesión en Bing tiene sus ventajas",,"AppData",,"All",,"Bing",,""
"Back to safety",,"Volver a página segura",,"AppData",,"All",,"Bing",,""
"Bookmark delete",,"Eliminar marcador",,"AppData",,"All",,"Bing",,""
"Ukrainian",,"Ucraniano",,"AppData",,"All",,"Bing",,""
"Share web page - from Bing Search app",,"Compartir página web - de la aplicación de búsqueda de Bing",,"AppData",,"All",,"Bing",,""
"Loading…",,"Cargando…",,"AppData",,"All",,"Bing",,""
"Wind:",,"Viento:",,"AppData",,"All",,"Bing",,""
"Initialize failed, please try again later.",,"Error de inicialización, vuelve a intentarlo más tarde.",,"AppData",,"All",,"Bing",,""
"Signing in…",,"Iniciando sesión...",,"AppData",,"All",,"Bing",,""
"Reset",,"Restablecer",,"AppData",,"All",,"Bing",,""
"Sorry, something went wrong. Please try again later.",,"Lo sentimos, se produjo un problema. Vuelve a intentarlo más tarde.",,"AppData",,"All",,"Bing",,""
"Shared via Bing Search",,"Compartido mediante la Búsqueda de Bing",,"AppData",,"All",,"Bing",,""
"Backward",,"Hacia atrás",,"AppData",,"All",,"Bing",,""
"User Reviews",,"Opiniones de usuarios",,"AppData",,"All",,"Bing",,""
"Delete",,"Eliminar",,"AppData",,"All",,"Bing",,""
"Something went wrong, please try again later.",,"Se produjo un problema. Vuelve a intentarlo más tarde.",,"AppData",,"All",,"Bing",,""
"Please select Bing search as default assistant in Assist &amp; voice input",,"Selecciona la búsqueda de Bing como asistente predeterminado en la entrada de Asistencia y voz",,"AppData",,"All",,"Bing",,""
"Reviews",,"Opiniones",,"AppData",,"All",,"Bing",,""
"Suggestion",,"Sugerencia",,"AppData",,"All",,"Bing",,""
"Hours may vary",,"Los horarios pueden variar",,"AppData",,"All",,"Bing",,""
"*Percent Daily Values are based on a 2,000 calorie diet. Your daily values may be higher or lower depending on your calorie needs.",,"*Los porcentajes de valores diarios se calculan en base a una dieta de 2.000 calorías. Es posible que tus valores diarios sean mayores o menores según las calorías que necesites.",,"AppData",,"All",,"Bing",,""
"Blank",,"En blanco",,"AppData",,"All",,"Bing",,""
"Set wallpaper",,"Establecer fondo de pantalla",,"AppData",,"All",,"Bing",,""
"Close all",,"Cerrar todo",,"AppData",,"All",,"Bing",,""
"Albums",,"Álbumes",,"AppData",,"All",,"Bing",,""
"You haven\'t saved anything yet!",,"¡Aún no has guardado nada!",,"AppData",,"All",,"Bing",,""
"To function properly, Camera needs your permission. Go to Settings to allow permission for Camera.",,"Para funcionar correctamente, la cámara necesita tu permiso. Ve a Configuración para conceder permiso a la cámara.",,"AppData",,"All",,"Bing",,""
"App needs your permission to show you results and maps in your location.",,"La aplicación necesita tu permiso para mostrarte resultados y mapas en tu ubicación.",,"AppData",,"All",,"Bing",,""
"Disable",,"Deshabilitar",,"AppData",,"All",,"Bing",,""
"Worldwide - English",,"Internacional - Inglés",,"AppData",,"All",,"Bing",,""
"News",,"Noticias",,"AppData",,"All",,"Bing",,""
"Camera error",,"Error de cámara",,"AppData",,"All",,"Bing",,""
"Saudi Arabia",,"Arabia Saudita",,"AppData",,"All",,"Bing",,""
"Browser",,"Explorador",,"AppData",,"All",,"Bing",,""
"Camera",,"Cámara",,"AppData",,"All",,"Bing",,""
"Tap to earn %d credits",,"Pulsa para ganar %d créditos",,"AppData",,"All",,"Bing",,""
"Near Me",,"Cerca de mí",,"AppData",,"All",,"Bing",,""
"This image is not available to download as wallpaper.",,"Esta imagen no está disponible para su descarga como fondo de pantalla.",,"AppData",,"All",,"Bing",,""
"Bing · books search",,"Bing · búsqueda de libros",,"AppData",,"All",,"Bing",,""
"A new version of the Bing Search app is available! Install it now?",,"Hay una nueva versión disponible de la aplicación Búsqueda de Bing. ¿Quieres instalarla ahora?",,"AppData",,"All",,"Bing",,""
"Location added.",,"Ubicación agregada.",,"AppData",,"All",,"Bing",,""
"After 30 minutes",,"Después de 30 minutos",,"AppData",,"All",,"Bing",,""
"Russia",,"Rusia",,"AppData",,"All",,"Bing",,""
"Turn off",,"Desactivar",,"AppData",,"All",,"Bing",,""
"Explore more breathtaking images",,"Explorar más imágenes deslumbrantes",,"AppData",,"All",,"Bing",,""
"Rate us",,"Califícanos",,"AppData",,"All",,"Bing",,""
"* Online prices may differ from in-store prices.",,"* Los precios en Internet pueden ser diferentes a los precios en las tiendas.",,"AppData",,"All",,"Bing",,""
"Save",,"Guardar",,"AppData",,"All",,"Bing",,""
"Third Party Notices",,"Avisos de terceros",,"AppData",,"All",,"Bing",,""
"Found the song, tap below to see details",,"Canción encontrada, pulsa abajo para ver los detalles",,"AppData",,"All",,"Bing",,""
"Deals near me",,"Ofertas cerca de mí",,"AppData",,"All",,"Bing",,""
"Show search history from other devices you\'re logged in to",,"Mostrar el historial de búsquedas de los demás dispositivos en los que inicies sesión",,"AppData",,"All",,"Bing",,""
"Scan",,"Escanear",,"AppData",,"All",,"Bing",,""
"trending songs",,"canciones populares",,"AppData",,"All",,"Bing",,""
"Available points",,"Puntos disponibles",,"AppData",,"All",,"Bing",,""
"%s may have removed or replaced this image.",,"Es posible que %s haya quitado o reemplazado esta imagen.",,"AppData",,"All",,"Bing",,""
"Invalid service.",,"Servicio no válido.",,"AppData",,"All",,"Bing",,""
"Search history deleted.",,"Historial de búsquedas eliminado.",,"AppData",,"All",,"Bing",,""
"More",,"Más",,"AppData",,"All",,"Bing",,""
"We didn\'t quite catch that\nTry again?\n(It might help to get closer to the music)",,"No lo hemos detectado bien\n¿Quieres intentarlo de nuevo?\n(Podría ser mejor si te acercas a la música)",,"AppData",,"All",,"Bing",,""
"Bing · news search",,"Bing · búsqueda de noticias",,"AppData",,"All",,"Bing",,""
"Beta User Community",,"Comunidad de usuarios Beta",,"AppData",,"All",,"Bing",,""
"Connection failed.",,"Error de conexión.",,"AppData",,"All",,"Bing",,""
"Web search",,"Búsqueda en la Web",,"AppData",,"All",,"Bing",,""
"Homepage",,"Página principal",,"AppData",,"All",,"Bing",,""
"Clear all",,"Borrar todo",,"AppData",,"All",,"Bing",,""
"Popular",,"Popular",,"AppData",,"All",,"Bing",,""
"For problems with Rewards, please contact Microsoft Rewards support.",,"Si tienes problemas con Rewards, comunícate con el soporte técnico de Microsoft Rewards.",,"AppData",,"All",,"Bing",,""
"Screenshot",,"Captura de pantalla",,"AppData",,"All",,"Bing",,""
"Bookmarks",,"Marcadores",,"AppData",,"All",,"Bing",,""
"NE",,"NE",,"AppData",,"All",,"Bing",,""
"Open today",,"Abierto hoy",,"AppData",,"All",,"Bing",,""
"Search or type URL",,"Buscar o escribir dirección URL",,"AppData",,"All",,"Bing",,""
"Allow video and GIF previews to play automatically",,"Permitir que la vista previa de videos y GIF se reproduzca automáticamente",,"AppData",,"All",,"Bing",,""
"Open page",,"Abrir página",,"AppData",,"All",,"Bing",,""
"You\'ve signed in as %1$s in &lt;b&gt;Microsoft apps before&lt;/b&gt;:",,"Anteriormente, iniciaste sesión como %1$s en &lt;b&gt;aplicaciones de Microsoft&lt;/b&gt;:",,"AppData",,"All",,"Bing",,""
"Malay",,"Malayo",,"AppData",,"All",,"Bing",,""
"Detail",,"Detalle",,"AppData",,"All",,"Bing",,""
"Home screen",,"Pantalla de inicio",,"AppData",,"All",,"Bing",,""
"Automatic",,"Automático",,"AppData",,"All",,"Bing",,""
"People\'s Republic of China",,"República Popular China",,"AppData",,"All",,"Bing",,""
"Let Bing notify you of important and useful updates",,"Deja que Bing te informe acerca de actualizaciones útiles e importantes",,"AppData",,"All",,"Bing",,""
"Canada - English",,"Canadá - Inglés",,"AppData",,"All",,"Bing",,""
"Related images",,"Imágenes relacionadas",,"AppData",,"All",,"Bing",,""
"Your search history, tabs and web pages are not cached while you are in private mode.",,"Tu historial de búsquedas, las pestañas y las páginas web no se almacenan en caché mientras estás en modo privado.",,"AppData",,"All",,"Bing",,""
"Open in new tab",,"Abrir en una nueva pestaña",,"AppData",,"All",,"Bing",,""
"Edit bookmark",,"Editar marcador",,"AppData",,"All",,"Bing",,""
"Turkey",,"Turquía",,"AppData",,"All",,"Bing",,""
"Speak now in Dutch",,"Habla ahora en neerlandés",,"AppData",,"All",,"Bing",,""
"Error when cleaning cache files.",,"Error al borrar los archivos de la memoria caché.",,"AppData",,"All",,"Bing",,""
"Feels like:",,"Sensación térmica:",,"AppData",,"All",,"Bing",,""
"Bad response.",,"Mala respuesta.",,"AppData",,"All",,"Bing",,""
"Drive there",,"Conducir hasta allí",,"AppData",,"All",,"Bing",,""
"Clear bookmarks",,"Borrar marcardores",,"AppData",,"All",,"Bing",,""
"Spain",,"España",,"AppData",,"All",,"Bing",,""
"Off",,"Desactivada",,"AppData",,"All",,"Bing",,""
"Copyright information of today\'s image",,"Información de derechos de autor de la imagen de hoy",,"AppData",,"All",,"Bing",,""
"Download",,"Descargar",,"AppData",,"All",,"Bing",,""
"Top",,"Parte superior",,"AppData",,"All",,"Bing",,""
"Image saved to Gallery.",,"Imagen guardada en la Galería.",,"AppData",,"All",,"Bing",,""
"United Kingdom",,"Reino Unido",,"AppData",,"All",,"Bing",,""
" · %s views",," · %s visualizaciones",,"AppData",,"All",,"Bing",,""
"Fahrenheit",,"Fahrenheit",,"AppData",,"All",,"Bing",,""
"Feedback",,"Comentarios",,"AppData",,"All",,"Bing",,""
"Clear cache",,"Borrar caché",,"AppData",,"All",,"Bing",,""
"Always",,"Siempre",,"AppData",,"All",,"Bing",,""
"Official opening and closing hours",,"Horario oficial de apertura y cierre",,"AppData",,"All",,"Bing",,""
"Including results for: ",,"Incluidos los resultados de:",,"AppData",,"All",,"Bing",,""
"See all %s results",,"Ver todos los resultados de %s",,"AppData",,"All",,"Bing",,""
"There’s a problem with this website’s security certificate. This could mean that it’s set up to trick you or steal info you send to the server. Visiting this website could compromise your device and your personal data.",,"Hay un problema con el certificado de seguridad de este sitio web. Esto podría significar que está configurado para engañarte o para robar la información que envíes al servidor. Las visitas a este sitio podrían poner en peligro tu dispositivo y tus datos personales.",,"AppData",,"All",,"Bing",,""
"Listening for music…",,"Escuchando la música…",,"AppData",,"All",,"Bing",,""
"Korean",,"Coreano",,"AppData",,"All",,"Bing",,""
"% Daily Value *",,"% de valor diario *",,"AppData",,"All",,"Bing",,""
"Want to know how to delete a bookmark?",,"¿Quieres saber cómo eliminar un marcador?",,"AppData",,"All",,"Bing",,""
"SafeSearch",,"Búsqueda segura",,"AppData",,"All",,"Bing",,""
"Call",,"Llamar",,"AppData",,"All",,"Bing",,""
"Unpause search earning and get closer to Level 2 with this bonus!",,"Desbloquea las ganancias por búsquedas y acércate al Nivel 2 con esta bonificación.",,"AppData",,"All",,"Bing",,""
"%s-star",,"%s estrellas",,"AppData",,"All",,"Bing",,""
"Mobile-friendly · ",,"Apto para móviles · ",,"AppData",,"All",,"Bing",,""
"Norwegian",,"Noruego",,"AppData",,"All",,"Bing",,""
"%s pins",,"%s marcadores",,"AppData",,"All",,"Bing",,""
"Precip",,"Precip.",,"AppData",,"All",,"Bing",,""
"Save to Gallery",,"Guardar en Galería",,"AppData",,"All",,"Bing",,""
"Debug Options",,"Opciones de depuración",,"AppData",,"All",,"Bing",,""
"If you\’re signed out, you may need to sign in with your Microsoft account.",,"Si se cierra la sesión, es posible que debas iniciar sesión con tu cuenta Microsoft.",,"AppData",,"All",,"Bing",,""
"Oops! Your message is empty. Please write your feedback and try again.",,"¡Uy! El mensaje está vacío. Escribe tus comentarios e inténtalo de nuevo.",,"AppData",,"All",,"Bing",,""
"Russian",,"Ruso",,"AppData",,"All",,"Bing",,""
"Web",,"Web",,"AppData",,"All",,"Bing",,""
"Do you want to download this file from %1$s?\n\nFile: %2$s",,"¿Quieres descargar este archivo desde %1$s?\n\nArchivo: %2$s",,"AppData",,"All",,"Bing",,""
