PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Account Settings",,"Configuración de la cuenta",,"Text",,"All",,"Commerce Server",,""
"Sign up for Facebook now",,"Suscríbete a Facebook ahora mismo",,"Text",,"All",,"Commerce Server",,""
"Already have an account? <@link.facebookaccountexists>Sign in now</@>",,"¿Ya tienes una cuenta? <@link.facebookaccountexists>Iniciar sesión</@>",,"Text",,"All",,"Commerce Server",,""
"Hi, ${TARGET_NAME}",,"Hola, ${TARGET_NAME}",,"Text",,"All",,"Commerce Server",,""
"<@link.facebookregister>Sign up for Facebook now</@>",,"<@link.facebookregister>Suscríbete a Facebook</@>",,"Text",,"All",,"Commerce Server",,""
"I set up a Facebook profile where I can post my pictures, videos and events and I want to add you as a friend so you can see it. First, you need to join Facebook! Once you join, you can also create your own profile.",,"Creé un perfil de Facebook donde puedo publicar mis fotografías, videos y eventos, y deseo añadirte como amigo para que puedas verlo. En primer lugar, únete a Facebook. Después de hacerlo, también podrás crear tu propio perfil.",,"Text",,"All",,"Commerce Server",,""
"Thanks, ${SOURCE_NAME}",,"Gracias, ${SOURCE_NAME}",,"Text",,"All",,"Commerce Server",,""
"<@link.facebookfriends>See which of your Skype contacts are already on Facebook</@>",,"<@link.facebookfriends>Comprueba cuáles de tus contactos de Skype ya están en Facebook</@>",,"Text",,"All",,"Commerce Server",,""
"Close",,"Cerrar",,"Text",,"All",,"Commerce Server",,""
"Notification",,"Aviso",,"Text",,"All",,"Commerce Server",,""
"${SOURCE_NAME} invites you to join Facebook",,"${SOURCE_NAME} te invita a unirte a Facebook",,"Text",,"All",,"Commerce Server",,""
"If you have any problems, visit our <@link.help>help section</@>.",,"Si tienes algún problema, visita nuestra <@link.help>sección de ayuda</@>.",,"Text",,"All",,"Commerce Server",,""
"Check out my profile on Facebook",,"Visita mi perfil de Facebook",,"Text",,"All",,"Commerce Server",,""
"Microsoft",,"Microsoft",,"Text",,"All",,"Commerce Server",,""
"Skype",,"Skype",,"Text",,"All",,"Commerce Server",,""
"Microsoft account",,"Cuenta de Microsoft",,"Text",,"All",,"Commerce Server",,""
"Skype Name",,"Usuario de Skype",,"Text",,"All",,"Commerce Server",,""
"US Minute bundle",,"Paquete de minutos para Estados Unidos",,"Text",,"All",,"Commerce Server",,""
"If you're still having difficulty retrieving your password please contact a support agent via https://support.skype.com/support_request",,"Si todavía tienes dificultades para recuperar tu contraseña, comunícate con un agente de asistencia al cliente a través de https://support.skype.com/support_request",,"Text",,"All",,"Commerce Server",,""
"If you're still having difficulty retrieving your Skype Name please contact a support agent via https://support.skype.com/support_request",,"Si todavía tienes dificultades para recuperar tu nombre de usuario, comunícate con un agente de asistencia al cliente a través de https://support.skype.com/support_request",,"Text",,"All",,"Commerce Server",,""
"Getting help for Skype",,"Obtener ayuda para Skype",,"Text",,"All",,"Commerce Server",,""
"Help",,"Ayuda",,"Text",,"All",,"Commerce Server",,""
"Here are your order details:",,"Estos son los detalles de tu pedido:",,"Text",,"All",,"Commerce Server",,""
"If You Are Still Having Problems",,"Si aún tienes problemas",,"Text",,"All",,"Commerce Server",,""
"<@link.orderdetails ev.ORDER_ID>Account details and purchase receipt</@>",,"<@link.orderdetails ev.ORDER_ID>Detalles de la cuenta y recibo de la compra</@>",,"Text",,"All",,"Commerce Server",,""
"<@layout.boldDetail>Your account:</@> ${ev.COMPANY_ADMIN_USERNAME}",,"<@layout.boldDetail>Tu cuenta:</@> ${ev.COMPANY_ADMIN_USERNAME}",,"Text",,"All",,"Commerce Server",,""
"<@layout.boldDetail>Balance:</@> ${money(ev.BALANCE, ev.CURRENCY)}",,"<@layout.boldDetail>Saldo:</@> ${money(ev.BALANCE, ev.CURRENCY)}",,"Text",,"All",,"Commerce Server",,""
"<@layout.boldDetail>${brand.username}:</@> ${brand.accountname}",,"<@layout.boldDetail>${brand.username}:</@> ${brand.accountname}",,"Text",,"All",,"Commerce Server",,""
"<@layout.boldDetail>Number:</@> ${ev.CONVERSION_ORDER_ID}",,"<@layout.boldDetail>Número:</@> ${ev.CONVERSION_ORDER_ID}",,"Text",,"All",,"Commerce Server",,""
"<@layout.boldDetail>Current status:</@> ${ORDER_STATUS}",,"<@layout.boldDetail>Estado actual:</@> ${ORDER_STATUS}",,"Text",,"All",,"Commerce Server",,""
"<@layout.boldDetail>Current status:</@>",,"<@layout.boldDetail>Estado actual:</@>",,"Text",,"All",,"Commerce Server",,""
"<@layout.boldDetail>Date:</@> ${ev.DATE}",,"<@layout.boldDetail>Fecha:</@> ${ev.DATE}",,"Text",,"All",,"Commerce Server",,""
"Here are the details for your cancelled order:",,"Estos son los detalles de tu pedido cancelado:",,"Text",,"All",,"Commerce Server",,""
"<@layout.boldDetail>First payment taken on:</@> ${ev.NEXT_PAYMENT_DATE}",,"<@layout.boldDetail>El primer pago se recibió el:</@> ${ev.NEXT_PAYMENT_DATE}",,"Text",,"All",,"Commerce Server",,""
"<@layout.boldDetail>First payment was taken on:</@> ${ev.ORDER_DATE}",,"<@layout.boldDetail>El primer pago se recibió el:</@> ${ev.ORDER_DATE}",,"Text",,"All",,"Commerce Server",,""
"<@layout.h3>Here are your order details:</@>",,"<@layout.h3>Estos son los detalles de tu pedido:</@>",,"Text",,"All",,"Commerce Server",,""
"<@layout.h3>Here are your original purchase details:</@>",,"<@layout.h3>Estos son los detalles de tu compra original:</@>",,"Text",,"All",,"Commerce Server",,""
"<@layout.h3>Here are your payment details:</@>",,"<@layout.h3>Esta es la información de tu pago:</@>",,"Text",,"All",,"Commerce Server",,""
"<@layout.h3>Here are your purchase details:</@>",,"<@layout.h3>Estos son los detalles de tu compra:</@>",,"Text",,"All",,"Commerce Server",,""
"<@layout.h3>Here are your redeemed service details:</@>",,"<@layout.h3>Estos son los detalles del servicio canjeado:</@>",,"Text",,"All",,"Commerce Server",,""
"<@layout.h3>Order details</@>",,"<@layout.h3>Detalles del pedido</@>",,"Text",,"All",,"Commerce Server",,""
"<@layout.h3>Your account details:</@>",,"<@layout.h3>Detalles de tu cuenta:</@>",,"Text",,"All",,"Commerce Server",,""
"<@layout.h3>Your day pass</@>",,"<@layout.h3>Tu pase por un día</@>",,"Text",,"All",,"Commerce Server",,""
