PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"no I said {0}; no {0}; {0}",,"no dije {0}; no {0}; {0}",,"None",,"All",,"Exchange Server",,""
"no I said {0}; no until {0}; no {0}; {0}",,"no, dije {0}; no, hasta {0}; no{0}; {0}",,"None",,"All",,"Exchange Server",,""
"calendar for {0} {1}; {0} {1}",,"calendario del {0} {1}; {0} {1}",,"None",,"All",,"Exchange Server",,""
"calendar for {0}; {0}'s calendar",,"calendario para el {0}; calendario del {0}",,"None",,"All",,"Exchange Server",,""
"no I want {0}; I want {0}; I said {0}; no {0}",,"no quiero {0}; quiero {0}; dije {0}; no {0}",,"None",,"All",,"Exchange Server",,""
"calendar for Friday; Friday's calendar; Friday",,"calendario para el viernes; calendario del viernes; viernes",,"None",,"All",,"Exchange Server",,""
"calendar for Monday; Monday's calendar; Monday",,"calendario para el lunes; calendario del lunes; lunes",,"None",,"All",,"Exchange Server",,""
"(new) appointment (for) {0} ; (new) meeting (for) {0};",,"cita (nuevo) (para) {0}; (nueva) reunión (para) {0};",,"None",,"All",,"Exchange Server",,""
"(on) {0} all day; (on) {0} (for) the whole day",,"(el) {0} todo el día; (el) {0} (durante) el día entero",,"None",,"All",,"Exchange Server",,""
"(from) {0} {1} to {2}; (from) {0} {1} till {2}; (from) {0} {1} until {2}",,"(del) {0} a las {1} al {2}; (desde el) {0} a las {1} hasta el {2}; (desde el) {0} a las {1} hasta el {2}",,"None",,"All",,"Exchange Server",,""
"(from) {0} {1} to {2} {3}; (from) {0} {1} till {2} {3}; (from) {0} {1} until {2} {3}",,"(del) {0} a las {1} al {2} a las {3}; (desde el) {0} {1} hasta el {2} a las {3}; (desde el) {0} a las {1} hasta el {2} a las {3}",,"None",,"All",,"Exchange Server",,""
"(from) {0} to {1}; (from) {0} till {1}; (from) {0} until {1}",,"(del) {0} al {1}; (desde el) {0} hasta el {1}; (desde el) {0} hasta el {1}",,"None",,"All",,"Exchange Server",,""
"(on) {0} (from) {1} to {2}; (on) {0} (from) {1} until {2}; (on) {0} (from) {1} till {2}",,"(el) {0} (de las) {1} a las {2}; (el) {0} (desde las) {1} hasta las {2}; (el) {0} (desde las) {1} hasta las {2}",,"None",,"All",,"Exchange Server",,""
"(on) {0} (at) {1};",,"(el) {0} (a la/a las) {1};",,"None",,"All",,"Exchange Server",,""
"(on) {0} (at) {1} (for) {2}",,"(el) {0} (a la/las) {1} (durante) {2}",,"None",,"All",,"Exchange Server",,""
"next {0}",,"el {0} que viene",,"None",,"All",,"Exchange Server",,""
"previous {0}; last {0}",,"el {0} pasado; el último {0}",,"None",,"All",,"Exchange Server",,""
"calendar for Saturday; Saturday's calendar; Saturday",,"calendario para el sábado; calendario del sábado; sábado",,"None",,"All",,"Exchange Server",,""
"(open) calendar (for) {0}; open {0} calendar; go to {0};",,"calendario (abierto) (para) {0}; abre {0} calendario; ve a {0};",,"None",,"All",,"Exchange Server",,""
"calendar for Sunday; Sunday's calendar; Sunday",,"calendario para el domingo; calendario del domingo; domingo",,"None",,"All",,"Exchange Server",,""
"this {0}",,"este {0}",,"None",,"All",,"Exchange Server",,""
"calendar for Thursday; Thursday's calendar; Thursday",,"calendario para el jueves; calendario del jueves; jueves",,"None",,"All",,"Exchange Server",,""
"calendar for Today; Today's calendar; Today",,"calendario para hoy; calendario de hoy; hoy",,"None",,"All",,"Exchange Server",,""
"calendar for Tomorrow; Tomorrow's calendar; Tomorrow",,"calendario para mañana; calendario de mañana; mañana",,"None",,"All",,"Exchange Server",,""
"calendar for Tuesday; Tuesday's calendar; Tuesday",,"calendario para el martes; calendario del martes; martes",,"None",,"All",,"Exchange Server",,""
"calendar for Wednesday; Wednesday's calendar; Wednesday",,"calendario para el miércoles; calendario del miércoles; miércoles",,"None",,"All",,"Exchange Server",,""
"next; next meeting; next appointment",,"siguiente; siguiente reunión; siguiente cita",,"None",,"All",,"Exchange Server",,""
"next month",,"el próximo mes",,"None",,"All",,"Exchange Server",,""
"previous month; last month",,"el mes pasado; el mes anterior",,"None",,"All",,"Exchange Server",,""
"this month; current month",,"este mes; el mes en curso",,"None",,"All",,"Exchange Server",,""
"this day; today",,"en el día de hoy; hoy",,"None",,"All",,"Exchange Server",,""
"next day; tomorrow",,"el día siguiente; mañana",,"None",,"All",,"Exchange Server",,""
"yesterday; last day",,"ayer; el día anterior",,"None",,"All",,"Exchange Server",,""
"call; call them",,"llamar; llamarlos",,"None",,"All",,"Exchange Server",,""
"one day; today; all day; the end of the day",,"un día; hoy; todo el día; al final del día; al fin del día",,"None",,"All",,"Exchange Server",,""
"ten days;",,"diez días;",,"None",,"All",,"Exchange Server",,""
"eleven days;",,"once días;",,"None",,"All",,"Exchange Server",,""
"twelve days;",,"doce días;",,"None",,"All",,"Exchange Server",,""
"thirteen days;",,"trece días;",,"None",,"All",,"Exchange Server",,""
"fourteen days; two weeks",,"catorce días; dos semanas",,"None",,"All",,"Exchange Server",,""
"two days;",,"dos días;",,"None",,"All",,"Exchange Server",,""
"three days;",,"tres días;",,"None",,"All",,"Exchange Server",,""
"four days;",,"cuatro días;",,"None",,"All",,"Exchange Server",,""
"five days;",,"cinco días;",,"None",,"All",,"Exchange Server",,""
"six days;",,"seis días;",,"None",,"All",,"Exchange Server",,""
"seven days; one week",,"siete días; una semana",,"None",,"All",,"Exchange Server",,""
"eight days;",,"ocho días;",,"None",,"All",,"Exchange Server",,""
"nine  days;",,"nueve días;",,"None",,"All",,"Exchange Server",,""
"more options; more",,"más opciones; más",,"None",,"All",,"Exchange Server",,""
"call; call him; call her",,"llamar; llamarlo; llamarla",,"None",,"All",,"Exchange Server",,""
"call the mobile phone; call the cell phone; call the cell; call the mobile; call cell; call mobile",,"llamar al celular; llamar al teléfono celular",,"None",,"All",,"Exchange Server",,""
"call the home; call home",,"llamar a la casa; llamar casa",,"None",,"All",,"Exchange Server",,""
"call the office; call office",,"llamar a la oficina; llamar oficina; llamar al trabajo; llamar trabajo",,"None",,"All",,"Exchange Server",,""
"details; hear details; play details",,"detalles; escuchar detalles; reproducir detalles",,"None",,"All",,"Exchange Server",,""
"send a message; email him; email her;",,"enviar un mensaje; enviarle un correo; ",,"None",,"All",,"Exchange Server",,""
