PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Direct message",,"Mensaje directo",,"None",,"All",,"GroupMe Server",,""
"Group",,"Grupo",,"None",,"All",,"GroupMe Server",,""
"Line",,"Línea",,"None",,"All",,"GroupMe Server",,""
"Membership",,"Pertenencia",,"None",,"All",,"GroupMe Server",,""
"User",,"Usuario",,"None",,"All",,"GroupMe Server",,""
"Evicted user cannot manipulate groups",,"Los usuarios expulsados no pueden manipular grupos",,"None",,"All",,"GroupMe Server",,""
"User in protection period cannot log in. Cancel account deletion first",,"Los usuarios en período de protección no pueden iniciar sesión. Primero debes cancelar la eliminación de la cuenta.",,"None",,"All",,"GroupMe Server",,""
"We couldn't find you in our system. Try again, or sign up.",,"No pudimos encontrarte en el sistema. Vuelve a intentarlo o regístrate.",,"None",,"All",,"GroupMe Server",,""
"Service not available in country or region",,"El servicio no está disponible en tu país o región",,"None",,"All",,"GroupMe Server",,""
"${nickname} added the ${bot} bot",,"${nickname} agregó el bot ${bot}",,"None",,"All",,"GroupMe Server",,""
"${nickname} removed the ${bot} bot",,"${nickname} quitó el bot ${bot}",,"None",,"All",,"GroupMe Server",,""
"${nickname} renamed ${bot_name_old} to ${bot_name_new}",,"${nickname} cambió el nombre ${bot_name_old} por ${bot_name_new}",,"None",,"All",,"GroupMe Server",,""
"${user_name} canceled '${event_name}'",,"${user_name} canceló '${event_name}'",,"None",,"All",,"GroupMe Server",,""
"${user_name} created event '${event_name}' ${url}",,"${user_name} creó el evento '${event_name}' ${url}",,"None",,"All",,"GroupMe Server",,""
"description",,"descripción",,"None",,"All",,"GroupMe Server",,""
"image url",,"url de la imagen",,"None",,"All",,"GroupMe Server",,""
"location",,"ubicación",,"None",,"All",,"GroupMe Server",,""
"name",,"nombre",,"None",,"All",,"GroupMe Server",,""
"time",,"hora",,"None",,"All",,"GroupMe Server",,""
"'${event_name}' is starting in ${minutes} minutes",,"'${event_name}' comienza en ${minutes} minutos",,"None",,"All",,"GroupMe Server",,""
"${user_name} updated the ${updated_fields} for the event '${event_name}'",,"${user_name} actualizó el/la ${updated_fields} del evento '${event_name}'",,"None",,"All",,"GroupMe Server",,""
"${user_name} is going to '${event_name}'",,"${user_name} asistirá a '${event_name}'",,"None",,"All",,"GroupMe Server",,""
"${user_name} is not going to '${event_name}'",,"${user_name} no asistirá a '${event_name}'",,"None",,"All",,"GroupMe Server",,""
"${user_name} is undecided about '${event_name}'",,"${user_name} está indeciso sobre '${event_name}'",,"None",,"All",,"GroupMe Server",,""
"${sender} sent you a document: ${caption}",,"${sender} te envió un documento: ${caption}",,"None",,"All",,"GroupMe Server",,""
"${sender} sent you a document",,"${sender} te envió un documento",,"None",,"All",,"GroupMe Server",,""
"${sender} sent you a DM on GroupMe. You can respond on the web https://groupme.com until the next version of your app comes out #)",,"${sender} te envió un mensaje directo o GroupMe. Puedes responder en el sitio https://groupme.com hasta que salga la próxima versión de tu aplicación #)",,"None",,"All",,"GroupMe Server",,""
"${camera} ${sender} sent you a picture: ${caption}",,"${camera} ${sender} te envió una foto: ${caption}",,"None",,"All",,"GroupMe Server",,""
"${camera} ${sender} sent you a picture",,"${camera} ${sender} te envió una foto",,"None",,"All",,"GroupMe Server",,""
"${emoji} ${sender} shared a video",,"${emoji} ${sender} compartió un video",,"None",,"All",,"GroupMe Server",,""
"Hello!",,"¡Hola!",,"None",,"All",,"GroupMe Server",,""
"Your GroupMe PIN is: ${backup_code}  ",,"Tu PIN de GroupMe es: ${backup_code}",,"None",,"All",,"GroupMe Server",,""
