PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Play on Phone",,"Reproducir en el teléfono",,"None",,"All",,"Outlook",,""
"Dial",,"Marcar",,"None",,"All",,"Outlook",,""
"Hang Up",,"Colgar",,"None",,"All",,"Outlook",,""
"Dial:",,"Marcar:",,"None",,"All",,"Outlook",,""
"Enter the phone number that you want Microsoft Exchange to use to play back messages. Enter the number as you would dial it from your office phone.\n\n(Example: 9 (555) 555-1234)",,"Escribe el número de teléfono que Microsoft Exchange deberá utilizar para reproducir mensajes. Escribe el número de teléfono tal y como lo marcarías en el teléfono de tu despacho.\n\n(Ejemplo: 9 (555) 555-1234)",,"None",,"All",,"Outlook",,""
"Subject:",,"Asunto:",,"None",,"All",,"Outlook",,""
"Sent:",,"Enviado el:",,"None",,"All",,"Outlook",,""
"Status:",,"Estado:",,"None",,"All",,"Outlook",,""
"DAL=On",,"DAL=On",,"None",,"All",,"Outlook",,""
"OK",,"Aceptar",,"None",,"All",,"Outlook",,""
"Cancel",,"Cancelar",,"None",,"All",,"Outlook",,""
"Voice Mail Options",,"Opciones de correo de voz",,"None",,"All",,"Outlook",,""
"Change &Folder...",,"&Cambiar carpeta...",,"None",,"All",,"Outlook",,""
"&Voice mail greeting",,"&Saludo del correo de voz",,"None",,"All",,"Outlook",,""
"&Out of Office voice mail greeting",,"S&aludo de Fuera de la oficina del correo de voz",,"None",,"All",,"Outlook",,""
"&Call",,"Lla&mar",,"None",,"All",,"Outlook",,""
"&Reset PIN",,"Resta&blecer PIN",,"None",,"All",,"Outlook",,""
"&Send an e-mail message to your Inbox when a phone call is missed.",,"&Enviar un mensaje de correo a la Bandeja de entrada cuando se pierde una llamada.",,"None",,"All",,"Outlook",,""
"Apply",,"Aplicar",,"None",,"All",,"Outlook",,""
"Phone Access",,"Acceso telefónico",,"None",,"All",,"Outlook",,""
"To access your e-mail messages, calendar, and contacts, call the access number and then enter your PIN at the prompt.",,"Para tener acceso a los mensajes de correo, el calendario y los contactos, llama al número de acceso e indica tu PIN cuando se solicite.",,"None",,"All",,"Outlook",,""
"Voice Mail",,"Correo de voz",,"None",,"All",,"Outlook",,""
"Choose the folder to read when accessing your e-mail account from a phone.",,"Elige la carpeta que se leerá al tener acceso a la cuenta de correo desde un teléfono.",,"None",,"All",,"Outlook",,""
"Call the Play on Phone number to play or record a greeting.",,"Llama al número de Reproducir en el teléfono para reproducir o grabar un saludo.",,"None",,"All",,"Outlook",,""
"Reset the PIN for your mailbox. A temporary PIN will be sent to your Inbox.",,"Restablece el PIN del buzón. Recibirás un PIN temporal en tu Bandeja de entrada.",,"None",,"All",,"Outlook",,""
"Enter the phone number used to listen to voice mail using Play on Phone.",,"Escribe el número de teléfono que se usa para escuchar el correo de voz mediante Reproducir en el teléfono.",,"None",,"All",,"Outlook",,""
"&Play on Phone number:",,"&Número de Reproducir en el teléfono:",,"None",,"All",,"Outlook",,""
"Choose the greeting to play to callers.",,"Elige el saludo para reproducir a quienes llaman.",,"None",,"All",,"Outlook",,""
"Phone access numbers:",,"Números de acceso telefónico:",,"None",,"All",,"Outlook",,""
"Suggested times:",,"Horas sugeridas:",,"None",,"All",,"Outlook",,""
"Show a room list:",,"Mostrar una lista de salas:",,"None",,"All",,"Outlook",,""
"Choose an available room:",,"Elige una sala disponible:",,"None",,"All",,"Outlook",,""
"Good",,"Buena",,"None",,"All",,"Outlook",,""
"Fair",,"Regular",,"None",,"All",,"Outlook",,""
"Poor",,"Mala",,"None",,"All",,"Outlook",,""
"Look up O&utlook Contact...",,"Buscar contacto de O&utlook...",,"None",,"All",,"Outlook",,""
"Send E-&mail",,"Enviar &correo",,"None",,"All",,"Outlook",,""
"Add to Outlook Co&ntacts",,"&Agregar a contactos de Outlook",,"None",,"All",,"Outlook",,""
"Play",,"Reproducir",,"None",,"All",,"Outlook",,""
"Edit Notes",,"Modificar notas",,"None",,"All",,"Outlook",,""
"From:",,"De:",,"None",,"All",,"Outlook",,""
"To",,"Para",,"None",,"All",,"Outlook",,""
"Cc",,"CC",,"None",,"All",,"Outlook",,""
"Bcc",,"CCO",,"None",,"All",,"Outlook",,""
"Subject",,"Asunto",,"None",,"All",,"Outlook",,""
"Sent",,"Enviado el",,"None",,"All",,"Outlook",,""
"Audio Notes",,"Notas de audio",,"None",,"All",,"Outlook",,""
"Ready",,"Preparado",,"None",,"All",,"Outlook",,""
"Connecting...",,"Conectando...",,"None",,"All",,"Outlook",,""
"Alerted",,"Alerta enviada",,"None",,"All",,"Outlook",,""
"Connected",,"Conectado",,"None",,"All",,"Outlook",,""
"Disconnected",,"Desconectado",,"None",,"All",,"Outlook",,""
"Incoming...",,"Recibiendo...",,"None",,"All",,"Outlook",,""
"Transferring...",,"Transfiriendo...",,"None",,"All",,"Outlook",,""
"Forwarding...",,"Reenviando...",,"None",,"All",,"Outlook",,""
"Do you want to reset your voice mail PIN?",,"¿Deseas restablecer el PIN del correo de voz?",,"None",,"All",,"Outlook",,""
"Your voice mail PIN has been reset.  You will receive your temporary PIN in an e-mail message.",,"Se ha restablecido el PIN del correo de voz. Recibirá un PIN provisional en un mensaje de correo.",,"None",,"All",,"Outlook",,""
"Your voice mail PIN could not be reset. Please contact technical support for your organization.",,"No se pudo restablecer el PIN del correo de voz. Ponte en contacto con el servicio de soporte técnico de su organización.",,"None",,"All",,"Outlook",,""
"The connection to the Microsoft Exchange Server is unavailable. Outlook must be online or connected to complete this action.",,"La conexión con Microsoft Exchange Server no está disponible. Outlook debe estar en línea o conectado para completar esta acción.",,"None",,"All",,"Outlook",,""
"You are currently working offline.  To use this command, you must go online and connect to the Microsoft Exchange Server.",,"Actualmente está trabajando sin conexión. Para utilizar este comando, debe conectarse a Microsoft Exchange Server.",,"None",,"All",,"Outlook",,""
"Another Play on Phone call is already in progress.",,"Ya hay otra llamada en curso de Reproducir en el teléfono.",,"None",,"All",,"Outlook",,""
"This feature is not available because Microsoft Exchange Unified Messaging is not enabled.",,"Esta característica no está disponible porque Microsoft Exchange Unified Messaging no está habilitado.",,"None",,"All",,"Outlook",,""
"The voice message could not be played because a server error occurred. Please try again later.",,"No se pudo reproducir el mensaje de voz por un error del servidor. Vuelve a intentarlo más tarde.",,"None",,"All",,"Outlook",,""
"The number cannot be dialed because it does not comply with the policy of your organization. Please try a different number.",,"No se puede marcar el número porque no cumple la directiva de tu organización. Prueba con otro número.",,"None",,"All",,"Outlook",,""
"Contact with the server has temporarily failed, please try again later.",,"Temporalmente no dispones de contacto con el servidor, vuelve a intentarlo más tarde.",,"None",,"All",,"Outlook",,""
"The phone number that you entered is not valid. A valid phone number includes only digits, hyphens, and parentheses. Please enter a valid phone number.",,"El número que especificaste no es válido. Los números de teléfono solo pueden incluir dígitos, guiones y paréntesis. Escribe un número de teléfono válido.",,"None",,"All",,"Outlook",,""
"The address that you entered is not a valid SIP address.",,"La dirección que especificaste no es una dirección SIP válida.",,"None",,"All",,"Outlook",,""
"Play the voice message.",,"Reproducir el mensaje de voz.",,"None",,"All",,"Outlook",,""
