PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Table to Import",,"Tabla que se va a importar",,"None",,"All",,"SharePoint",,""
"Range &Type:",,"&Tipo de rango:",,"None",,"All",,"SharePoint",,""
"Select &Range:",,"Seleccionar &rango:",,"None",,"All",,"SharePoint",,""
"Import your spreadsheet data as a new Microsoft SharePoint Foundation list.",,"Importa los datos de la hoja de cálculo como una nueva lista de Microsoft SharePoint Foundation.",,"None",,"All",,"SharePoint",,""
"&Import",,"&Importar",,"None",,"All",,"SharePoint",,""
"Cancel",,"Cancelar",,"None",,"All",,"SharePoint",,""
"Unable to contact the Microsoft SharePoint Foundation server.",,"No se puede establecer contacto con el servidor de Microsoft SharePoint Foundation.",,"None",,"All",,"SharePoint",,""
"Named Range",,"Rango con nombre",,"None",,"All",,"SharePoint",,""
"Range of Cells",,"Rango de celdas",,"None",,"All",,"SharePoint",,""
"Table Range",,"Rango de la tabla",,"None",,"All",,"SharePoint",,""
"Please select a valid range to import.",,"Selecciona un rango válido para importar.",,"None",,"All",,"SharePoint",,""
"This range cannot be published due to an internal error.",,"No se puede publicar este rango debido a un error interno.",,"None",,"All",,"SharePoint",,""
"Please select only one range of cells to import.",,"Selecciona solo un rango de celdas para importar.",,"None",,"All",,"SharePoint",,""
"The selected range can't be converted to a table before publishing or the existing table is invalid.",,"El rango seleccionado no se puede convertir en una tabla antes de publicarse o la tabla existente no es válida.",,"None",,"All",,"SharePoint",,""
"The selected range is overlapped with an existing table.  Please select a range without any tables overlapped or select a whole table exactly.",,"Una tabla existente se superpone sobre el rango seleccionado. Selecciona un rango sin tablas superpuestas o selecciona una tabla completa.",,"None",,"All",,"SharePoint",,""
"Cannot import a single cell XML table to the Microsoft SharePoint Foundation Server. Please change your selection and try again.",,"No se puede importar una tabla XML de una sola celda al servidor de Microsoft SharePoint Foundation. Realiza otra selección y vuelve a intentarlo.",,"None",,"All",,"SharePoint",,""
"Cannot import from this type of worksheet. Please select from other worksheet, and try again.",,"No se puede importar de este tipo de hoja de cálculo. Selecciona otra hoja de cálculo y vuelve a intentarlo.",,"None",,"All",,"SharePoint",,""
"Excel cannot import data on a protected worksheet.  Please choose data on an unprotected worksheet.",,"Excel no puede importar datos en una hoja de cálculo protegida. Elige datos en una hoja de cálculo no protegida.",,"None",,"All",,"SharePoint",,""
"The number of columns for one or more data types in this table exceeds the limit of columns that can have the same data type on the Microsoft SharePoint Foundation server. ",,"El número de columnas de uno o varios tipos de datos de esta tabla supera el límite que el mismo tipo de datos puede tener en el servidor de Microsoft SharePoint Foundation. ",,"None",,"All",,"SharePoint",,""
"You are not authorized to perform this action on the Microsoft SharePoint Foundation server.",,"No estás autorizado para realizar esta acción en el servidor de Microsoft SharePoint Foundation.",,"None",,"All",,"SharePoint",,""
"The action cannot be completed because an associated quota on the Microsoft SharePoint Foundation server would be exceeded.",,"No se puede completar la acción porque se superaría la cuota asociada en el servidor de Microsoft SharePoint Foundation.",,"None",,"All",,"SharePoint",,""
"Import to Microsoft SharePoint Foundation list",,"Importar a la lista de Microsoft SharePoint Foundation",,"None",,"All",,"SharePoint",,""
"Microsoft Corporation",,"Microsoft Corporation",,"None",,"All",,"SharePoint",,""
"Export Excel List to SharePoint",,"Exportar lista de Excel a SharePoint",,"None",,"All",,"SharePoint",,""
"Microsoft® is a registered trademark of Microsoft Corporation.",,"Microsoft® es una marca registrada de Microsoft Corporation.",,"None",,"All",,"SharePoint",,""
"Windows® is a registered trademark of Microsoft Corporation.",,"Windows® es una marca registrada de Microsoft Corporation.",,"None",,"All",,"SharePoint",,""
"&Reply",,"&Responder",,"None",,"All",,"SharePoint",,""
"&Edit",,"E&ditar",,"None",,"All",,"SharePoint",,""
"&Delete",,"Eli&minar",,"None",,"All",,"SharePoint",,""
"&Activate",,"&Activar",,"None",,"All",,"SharePoint",,""
"&Close",,"&Cerrar",,"None",,"All",,"SharePoint",,""
"C&lose Item and Replies",,"C&errar elemento y respuestas",,"None",,"All",,"SharePoint",,""
"&Insert in the Document",,"In&sertar en el documento",,"None",,"All",,"SharePoint",,""
"I&nsert about the Document...",,"I&nsertar discusión sobre el documento...",,"None",,"All",,"SharePoint",,""
"&Filter Discussions...",,"&Filtrar discusiones...",,"None",,"All",,"SharePoint",,""
"&Discussion Options...",,"Opciones de &discusión...",,"None",,"All",,"SharePoint",,""
"&Refresh Discussions",,"&Actualizar discusiones",,"None",,"All",,"SharePoint",,""
"Are you sure you want to delete this discussion item?",,"¿Estás seguro de que deseas eliminar este elemento de discusión?",,"None",,"All",,"SharePoint",,""
"Insert Discussion about the Document",,"Insertar discusión sobre el documento",,"None",,"All",,"SharePoint",,""
"Insert Discussion in the Document",,"Insertar discusión en el documento",,"None",,"All",,"SharePoint",,""
"Show a menu of actions",,"Mostrar un menú de acciones",,"None",,"All",,"SharePoint",,""
"Stop Communication with Discussion Server",,"Detener comunicación con el servidor de discusión",,"None",,"All",,"SharePoint",,""
"Discussions about ",,"Discusiones sobre ",,"None",,"All",,"SharePoint",,""
"Discussions not available on |0",,"Discusiones no disponibles en |0",,"None",,"All",,"SharePoint",,""
"The active document does not reside on a discussion server.  Click here to specify a discussion server.",,"El documento activo no reside en un servidor de discusión. Haz clic aquí para especificar uno.",,"None",,"All",,"SharePoint",,""
"Show discussion",,"Mostrar discusión",,"None",,"All",,"SharePoint",,""
"Hide discussion",,"Ocultar discusión",,"None",,"All",,"SharePoint",,""
"Show all the discussions in the document",,"Mostrar todas las discusiones del documento",,"None",,"All",,"SharePoint",,""
"Hide all the discussions in the document",,"Ocultar todas las discusiones del documento",,"None",,"All",,"SharePoint",,""
"Go to the next discussion",,"Ir a la discusión siguiente",,"None",,"All",,"SharePoint",,""
"Go to the previous discussion",,"Ir a la discusión anterior",,"None",,"All",,"SharePoint",,""
"Showing discussions created by |0",,"Mostrar discusiones creadas por |0",,"None",,"All",,"SharePoint",,""
"Showing discussions created in the last |0 |1",,"Mostrar discusiones creadas en los últimos |0 |1",,"None",,"All",,"SharePoint",,""
"Showing discussions created by |0 in the last |1 |2",,"Mostrar discusiones creadas por |0 en los últimos |1 |2",,"None",,"All",,"SharePoint",,""
"You have reached the end of the document.  Do you want to continue searching at the beginning?",,"Llegaste al final del documento. ¿Deseas seguir buscando al principio?",,"None",,"All",,"SharePoint",,""
"You have reached the beginning of the document.  Do you want to continue searching at the end?",,"Llegaste al principio del documento. ¿Deseas seguir buscando al final?",,"None",,"All",,"SharePoint",,""
"Click an insert marker to begin a discussion",,"Haz clic en marcador para iniciar discusión",,"None",,"All",,"SharePoint",,""
"You must save this document before you can insert a discussion.  Do you want to save this document now?",,"Debes guardar este documento antes de insertar una discusión. ¿Deseas guardarlo ahora?",,"None",,"All",,"SharePoint",,""
"Subject:",,"Asunto:",,"None",,"All",,"SharePoint",,""
"From:",,"De:",,"None",,"All",,"SharePoint",,""
"You must specify a discussion server in order to use the discussions feature.  Would you like to specify one now?",,"Debes especificar un servidor de discusión para utilizar la función de discusiones. ¿Deseas especificar uno ahora?",,"None",,"All",,"SharePoint",,""
"No discussions for this URL.",,"No hay discusiones para esta dirección URL.",,"None",,"All",,"SharePoint",,""
"No discussions match the current filter.",,"No hay discusiones coincidentes con este filtro.",,"None",,"All",,"SharePoint",,""
"In-Document Discussion",,"Discusión en documento",,"None",,"All",,"SharePoint",,""
"(Filter Applied)",,"(Filtro aplicado)",,"None",,"All",,"SharePoint",,""
"Microsoft Internet Explorer",,"Microsoft Internet Explorer",,"None",,"All",,"SharePoint",,""
"You must save this document before you can insert a discussion.",,"Debes guardar este documento para insertar una discusión.",,"None",,"All",,"SharePoint",,""
"Do you want to set your default discussion server to |0?",,"¿Deseas configurar |0 como servidor de discusión predeterminado?",,"None",,"All",,"SharePoint",,""
"Discussions not available for this document",,"No hay discusiones disponibles para este documento",,"None",,"All",,"SharePoint",,""
"Reply",,"Responder",,"None",,"All",,"SharePoint",,""
"Edit",,"Editar",,"None",,"All",,"SharePoint",,""
"Delete",,"Eliminar",,"None",,"All",,"SharePoint",,""
"Close",,"Cerrar",,"None",,"All",,"SharePoint",,""
"Close item and replies",,"Cerrar elemento y respuestas",,"None",,"All",,"SharePoint",,""
"Activate",,"Activar",,"None",,"All",,"SharePoint",,""
"&Insert about this Slide...",,"&Insertar discusión sobre esta diapositiva...",,"None",,"All",,"SharePoint",,""
"&Insert about this Sheet...",,"&Insertar discusión sobre esta hoja...",,"None",,"All",,"SharePoint",,""
"&Insert in the Document...",,"In&sertar en el documento...",,"None",,"All",,"SharePoint",,""
"I&nsert about the Presentation...",,"I&nsertar discusión sobre la presentación...",,"None",,"All",,"SharePoint",,""
"I&nsert about the Workbook...",,"I&nsertar discusión sobre el libro...",,"None",,"All",,"SharePoint",,""
"&Print Discussions...",,"Imprimir di&scusiones...",,"None",,"All",,"SharePoint",,""
"Discussio&ns",,"Discusion&es",,"None",,"All",,"SharePoint",,""
"I&nsert Discussion",,"I&nsertar discusión",,"None",,"All",,"SharePoint",,""
"Web Discussions",,"Discusiones web",,"None",,"All",,"SharePoint",,""
"Previous",,"Anterior",,"None",,"All",,"SharePoint",,""
"Next",,"Siguiente",,"None",,"All",,"SharePoint",,""
"Show General Discussions",,"Mostrar discusiones generales",,"None",,"All",,"SharePoint",,""
"Show/Hide discussion pane",,"Mostrar u ocultar panel de discusión",,"None",,"All",,"SharePoint",,""
"&View",,"&Ver",,"None",,"All",,"SharePoint",,""
"&Subscribe...",,"&Suscribirse...",,"None",,"All",,"SharePoint",,""
"Web Discussions Pane",,"Panel Discusiones web",,"None",,"All",,"SharePoint",,""
"&Web Discussions",,"Discusiones &web",,"None",,"All",,"SharePoint",,""
