PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Collect Signatures",,"Recopilar firmas",,"None",,"All",,"Sharepoint Designer",,""
"Close",,"Cerrar",,"None",,"All",,"Sharepoint Designer",,""
"Rule 1",,"Regla 1",,"None",,"All",,"Sharepoint Designer",,""
"Main",,"Principal",,"None",,"All",,"Sharepoint Designer",,""
"Workflow",,"Flujo de trabajo",,"None",,"All",,"Sharepoint Designer",,""
"urn:schemas-microsoft-com:office:infopath:workflow:CollectSignatures-Init:1033",,"urn:schemas-microsoft-com:office:infopath:workflow:CollectSignatures-Init:2058",,"None",,"All",,"Sharepoint Designer",,""
"One or more of the names entered could not be resolved.",,"No se pudo resolver los nombres especificados.",,"None",,"All",,"Sharepoint Designer",,""
"One or more of the names entered could not be resolved.",,"No se pudo resolver uno o varios de los nombres especificados.",,"None",,"All",,"Sharepoint Designer",,""
"Too many names have been entered.",,"Se especificaron demasiados nombres.",,"None",,"All",,"Sharepoint Designer",,""
"\nThis file is automatically created and modified by Microsoft InfoPath.\nChanges made to the file outside of Microsoft InfoPath might be lost if the form template is modified in Microsoft InfoPath.\n",,"\nMicrosoft InfoPath crea y modifica automáticamente este archivo.\nSi se modifica la plantilla de formulario en Microsoft InfoPath, se perderán los cambios realizados en él fuera de Microsoft InfoPath.\n",,"None",,"All",,"Sharepoint Designer",,""
"One or more of the names that you entered could not be successfully resolved with an e-mail address. The unresolved names are displayed without underlines. Please fix or delete any of the names that are not underlined.",,"No se pudo resolver uno o varios de los nombres especificados con una dirección de correo. Los nombres sin resolver se muestran sin subrayados. Arregla o elimina los nombres que no están subrayados.",,"None",,"All",,"Sharepoint Designer",,""
"One or more of the names that you entered could not be successfully resolved with an e-mail address. The unresolved names are displayed without underlines. Please fix or delete any of the names that are not underlined.",,"No se pudo resolver uno o varios de los nombres especificados con una dirección de correo. Los nombres sin resolver se muestran sin subrayados. Arregla o elimin los nombres que no están subrayados.",,"None",,"All",,"Sharepoint Designer",,""
"You can enter only one name in the Suggested signer field. To specify additional signers, you must first insert additional signature lines into your document.",,"Solamente se puede especificar un nombre en el campo Firmante sugerido. Para especificar firmantes adicionales, debes insertar líneas de firma adicionales antes en el documento.",,"None",,"All",,"Sharepoint Designer",,""
"Tahoma",,"Tahoma",,"None",,"All",,"Sharepoint Designer",,""
"normal",,"normal",,"None",,"All",,"Sharepoint Designer",,""
"128px",,"135px",,"None",,"All",,"Sharepoint Designer",,""
"right",,"right",,"None",,"All",,"Sharepoint Designer",,""
"ltr",,"ltr",,"None",,"All",,"Sharepoint Designer",,""
"Request Signatures in order",,"Solicitar firmas en orden",,"None",,"All",,"Sharepoint Designer",,""
