PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Add people to the meeting.",,"Agregue usuarios a la reunión.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add people",,"Agregar usuarios",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Admit all",,"Admitir a todos",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Admit",,"Admitir",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Type a name to @-mention a person within this chat in your message.",,"Escriba un nombre para @mencionar en su mensaje a una persona que participe en este chat.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"attachment message from {0}",,"mensaje adjunto de {0}",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Try again later.",,"Vuelva a intentarlo.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"No internet connection.",,"No hay conexión a Internet.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Be right back",,"Vuelvo enseguida",,"Text",,"All",,"SkypeSpaces - iOS",,""
"iPhone",,"iPhone",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Double tap to close",,"Pulse dos veces para cerrar",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Double tap to collapse",,"Pulse dos veces para contraer",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Double tap to expand",,"Pulse dos veces para expandir",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Double tap to open",,"Pulse dos veces para abrir",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Call",,"Llamar",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Someone removed you from the call.",,"Alguien lo/a quitó de la llamada.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Someone removed you from the meeting.",,"Alguien lo/a quitó de la reunión.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"The call ended unexpectedly",,"La llamada terminó de forma inesperada",,"Text",,"All",,"SkypeSpaces - iOS",,""
"No audio, echo, noise, ...",,"No hay audio, eco, ruido...",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Audio",,"Audio",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Help us improve Microsoft Teams - tell us about the issues you experienced.",,"Ayúdenos a mejorar Microsoft Teams. Cuéntenos qué problemas tuvo.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"No presentation, kept freezing, large delay, ...",,"No se veía la presentación, se paraba continuamente, había una gran demora...",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Presentation",,"Presentación",,"Text",,"All",,"SkypeSpaces - iOS",,""
"No video, poor quality, video stopped, ...",,"No se veía el video, mala calidad, el video se detuvo...",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Video",,"Video",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Muted",,"Silenciado",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Unmuted",,"Audio activado",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Share File",,"Compartir archivo",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Share Photo",,"Compartir foto",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Share Video",,"Compartir video",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Invite team members to the meeting.",,"Invite a los miembros del equipo a la reunión.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Your call dropped and couldn't reconnect",,"La llamada se interrumpió y no se pudo volver a conectar",,"Text",,"All",,"SkypeSpaces - iOS",,""
"History",,"Historial",,"Text",,"All",,"SkypeSpaces - iOS",,""
