PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Chat is restored!",,"¡El chat se restauró!",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Select number",,"Seleccionar número",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Chat is hidden!",,"¡El chat se ocultó!",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Collapse call bar to hide call list",,"Contraer la barra de llamadas para ocultar la lista de llamadas",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"End on-hold call",,"Finalizar la llamada en espera",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Swap call",,"Intercambiar llamada",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Expand call bar to see on-hold calls",,"Expandir la barra de llamadas para ver las llamadas en espera",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Conference Call Answered",,"Llamada de conferencia contestada",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Incoming call user avatar",,"Avatar de usuario de llamada entrante",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Incoming call icon",,"Icono de llamada entrante",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call me back button. Double tap to call me back.",,"Botón Devolver la llamada. Pulse dos veces para devolverme la llamada.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Dial me in button. Double tap to dial me in.",,"Botón Marcar para unirse. Pulse dos veces para marcar para unirme.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Rejoin button. Double tap to rejoin.",,"Botón Volver a unirse. Pulse dos veces para volver a unirse.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"View chat history button. Double tap to view chat history.",,"Botón Ver historial de chats. Pulse dos veces para ver el historial de chats.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call auto reconnect in progress",,"Reconexión automática de llamada en curso",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"You are in the lobby, Someone in the meeting should let you in soon",,"Está en la sala de espera. Algún participante de la reunión debería permitirle entrar pronto.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call remote participant ",,"Participante remoto de llamada ",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Dial pad",,"Teclado de marcado",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Delete series alert. Are you sure you want to delete %1$s?",,"Alerta de eliminación de la serie. ¿Confirma que desea eliminar %1$s?",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Delete meeting alert. Are you sure you want to delete %1$s?",,"Alerta de eliminación de reunión. ¿Confirma que desea eliminar %1$s?",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Delete meeting",,"Eliminar reunión",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"New chat",,"Nuevo chat",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s : %2$s",,"%1$s: %2$s",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Click undo button to restore the chat",,"Haga clic en el botón Deshacer para restaurar el chat",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"You are muted",,"Está silenciado/a",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"You have been muted",,"Se lo/a silenció",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"You are unmuted",,"Se activó su adio",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Your video is off",,"El video está desactivado",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Your video is on",,"El video está activado",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The meeting you are trying to join already ended.",,"La reunión a la que está intentando unirse ya ha terminado.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"New chat members",,"Nuevos miembros del chat",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Admit All",,"Admitir a todos",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Admit",,"Admitir",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Something went wrong and we were unable to connect you to the meeting. Please try again.",,"Algo salió mal y no pudimos conectarlo/a a la reunión. Vuelva a intentarlo.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Name cannot be empty",,"El nombre no puede estar vacío",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Name cannot be empty and cannot contain special characters.",,"El nombre no puede estar vacío y no puede contener caracteres especiales.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Enter your name",,"Escriba su nombre",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s is probably disabled on phone",,"%1$s está probablemente deshabilitado en el teléfono",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"More",,"Más",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Audio problems in a call",,"Problemas de audio en una llamada",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"\r\n        Please launch the app to authenticate to continue receiving notifications.\r\n    ",,"\r\n        Abra la aplicación para autenticarse y seguir recibiendo notificaciones.\r\n    ",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Teams",,"Teams",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Your call dropped and we couldn\'t reconnect.",,"La llamada se interrumpió y no se pudo volver a conectar.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call drops",,"La llamada se interrumpe",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"History",,"Historial",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call me back",,"Devuélvame la llamada",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Resume",,"Reanudar",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Maximum number of concurrent calls limit reached.",,"Se alcanzó el número máximo de llamadas simultáneas permitidas.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Native PSTN Phone call is going on.",,"Hay una llamada RTC nativa en curso.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Sorry, cannot open file chooser.",,"Lo sentimos, no se puede abrir el selector de archivos.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Looks like you\'re offline",,"Parece que está desconectado",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Choose a default app for incoming calls",,"Elija una aplicación predeterminada para las llamadas entrantes",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Choose file",,"Elegir archivo",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Failed to clear temporary files",,"Error al borrar los archivos temporales",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Successfully cleared temporary files",,"Los archivos temporales se borraron correctamente",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"CONTACTS",,"CONTACTOS",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"File upload completed",,"Se completó la carga del archivo",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Uploading file",,"Cargando archivo",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"1 day",,"1 día",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"3 days",,"3 días",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"All",,"Todo",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Custom",,"Personalizado",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Days of history to share",,"Días del historial que se van a compartir",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"\r\n        Please choose a number greater than 0.",,"\r\n        Elija un número mayor que 0.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"None",,"Ninguno",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"View members",,"Ver miembros",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Current status is %1$s.",,"El estado actual es %1$s.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Decline",,"Rechazar",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Delete the event?",,"¿Eliminar el evento?",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Cancel",,"Cancelar",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Delete",,"Eliminar",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
