PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"About Skype TX",,"Acerca de Skype TX",,"Button",,"All",,"Skype TX Client V2",,""
"Switch user",,"Cambiar de usuario",,"Button",,"All",,"Skype TX Client V2",,""
"My Account online",,"Mi cuenta en línea",,"Button",,"All",,"Skype TX Client V2",,""
"Exit Skype TX",,"Salir de Skype TX",,"Button",,"All",,"Skype TX Client V2",,""
"Sign in with saved user credentials",,"Iniciar sesión con credenciales de usuario guardadas",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Remove user and forget saved credentials",,"Quitar el usuario y olvidar las credenciales guardadas",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Main Menu",,"Menú principal",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Sign in with a different username and password",,"Iniciar sesión con otro nombre de usuario y contraseña",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"For more information about",,"Para obtener más información sobre",,"Text",,"All",,"Skype TX Client V2",,""
"using Skype in Media visit",,"uso de Skype in Media, visite",,"Text",,"All",,"Skype TX Client V2",,""
"media.skype.com",,"media.skype.com",,"Text",,"All",,"Skype TX Client V2",,""
"Broadcast Terms of Service",,"Términos y servicios de difusión",,"Text",,"All",,"Skype TX Client V2",,""
"Privacy Statement",,"Declaración de privacidad",,"Text",,"All",,"Skype TX Client V2",,""
"Find out more about Skype in Media",,"Encuentre más información sobre Skype in Media",,"Text",,"All",,"Skype TX Client V2",,""
"Heartbeat (Skype Status)",,"Latido (estado de Skype)",,"Text",,"All",,"Skype TX Client V2",,""
"View Privacy Statement",,"Ver declaración de privacidad",,"Text",,"All",,"Skype TX Client V2",,""
"Broadcast Terms of Service",,"Términos y servicios de la difusión",,"Text",,"All",,"Skype TX Client V2",,""
""<run Uid=""Run_10"">Skype TX is a specialized application for the broadcast industry and does not contain the full set of features provided by Skype. For full Skype functionality, please download the latest version at</run> <a Uid=""Hyperlink_5""><run Uid=""Run_11""></run></a>"",,""<run Uid=""Run_10"">Skype TX es una aplicación especializada para el sector de las difusiones que no contiene el conjunto completo de características que proporciona Skype. Para conseguir toda la funcionalidad de Skype, puede descargar la última versión en</run> <a Uid=""Hyperlink_5""><run Uid=""Run_11""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
""<a Uid=""Hyperlink_4""><run Uid=""Run_9""></run></a>"",,""<a Uid=""Hyperlink_4""><run Uid=""Run_9""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
"Start Over",,"Volver a empezar",,"Text",,"All",,"Skype TX Client V2",,""
"Choose an account to sign in:",,"Elija una cuenta para iniciar sesión:",,"Text",,"All",,"Skype TX Client V2",,""
"Other user...",,"Otro usuario...",,"Text",,"All",,"Skype TX Client V2",,""
""<a Uid=""Hyperlink_2""><run Uid=""Run_7""></run></a>"",,""<a Uid=""Hyperlink_2""><run Uid=""Run_7""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
""<a Uid=""HyperlinkPrivacy""><run Uid=""Run_5""></run></a>"",,""<a Uid=""HyperlinkPrivacy""><run Uid=""Run_5""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
"Signing in to Skype...",,"Iniciando sesión en Skype...",,"Text",,"All",,"Skype TX Client V2",,""
"© Microsoft 2015-2018",,"© Microsoft 2015-2018",,"Text",,"All",,"Skype TX Client V2",,""
"Configuration",,"Configuración",,"Text",,"All",,"Skype TX Client V2",,""
"Channel View",,"Vista de canal",,"Text",,"All",,"Skype TX Client V2",,""
"Full",,"Completo",,"Text",,"All",,"Skype TX Client V2",,""
"Compact",,"Compacto",,"Text",,"All",,"Skype TX Client V2",,""
"End User License Agreement",,"Contrato de licencia para el usuario final",,"Button",,"All",,"Skype TX Client V2",,""
"Return to About SkypeTX screen",,"Regresar a la pantalla Acerca de SkypeTX",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Version",,"Versión",,"Text",,"All",,"Skype TX Client V2",,""
"Review EULA",,"Consultar EULA",,"Text",,"All",,"Skype TX Client V2",,""
"Broadcast Terms of Service",,"Términos de servicio de transmisión",,"Text",,"All",,"Skype TX Client V2",,""
"© 2015-2018 Skype and/or Microsoft",,"© 2015-2018 Skype o Microsoft",,"Text",,"All",,"Skype TX Client V2",,""
"The Skype name and Skype TX name, associated trademarks, logos and &apos;S&apos; logo are trademarks of Skype or related entities.",,""Los nombres Skype y Skype TX, las marcas comerciales, los logotipos y el símbolo ""S"" relacionados son marcas comerciales de Skype o de entidades vinculadas."",,"Text",,"All",,"Skype TX Client V2",,""
"Warning: This program is protected by copyright law and international treaties. Unauthorized reproduction or distribution of this program, or any portions of it, may result in severe civil and criminal penalties and will be prosecuted to the maximum extent possible under the law.",,"Advertencia: Este programa se encuentra protegido por los tratados internacionales y leyes de derechos de autor. La reproducción o distribución no autorizada de este programa, o cualquier parte de él, puede tener como consecuencia sanciones penales y civiles graves, además, será objeto de todas las acciones judiciales que correspondan.",,"Text",,"All",,"Skype TX Client V2",,""
"Logo Enabled",,"Logotipo habilitado",,"Check Box",,"All",,"Skype TX Client V2",,""
"Show Clock",,"Mostrar reloj",,"Check Box",,"All",,"Skype TX Client V2",,""
"Show Logo",,"Mostrar logotipo",,"Check Box",,"All",,"Skype TX Client V2",,""
"Copy information to clipboard",,"Copiar la información al Portapapeles",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Disable all Skype audio processing.",,"Deshabilitar todos los procesamientos de audio de Skype.",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the horizontal position of the logo for 9x16 input aspect ratio:  -1 = Left ... 1 = Right",,"Establecer la posición horizontal del logotipo para una relación de aspecto de entrada de 9x16:  -1 = izquierda ... 1 = derecha",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the vertical position of the logo for 9x16 input aspect ratio: -1 = Top ... 1 = Bottom",,"Establecer la posición vertical del logotipo para una relación de aspecto de entrada de 9x16: -1 = superior ... 1 = inferior",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the horizontal position of the logo for 3x4 input aspect ratio:  -1 = Left ... 1 = Right",,"Establecer la posición horizontal del logotipo para una relación de aspecto de entrada de 3x4:  -1 = izquierda ... 1 = derecha",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the vertical position of the logo for 3x4 input aspect ratio: -1 = Top ... 1 = Bottom",,"Establecer la posición vertical del logotipo para una relación de aspecto de entrada de 3x4: -1 = superior ... 1 = inferior",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the horizontal position of the logo for 4x3 input aspect ratio:  -1 = Left ... 1 = Right",,"Establecer la posición horizontal del logotipo para una relación de aspecto de entrada de 4x3:  -1 = izquierda ... 1 = derecha",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the vertical position of the logo for 4x3 input aspect ratio: -1 = Top ... 1 = Bottom",,"Establecer la posición vertical del logotipo para una relación de aspecto de entrada de 4x3: -1 = superior ... 1 = inferior",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the horizontal position of the logo for 16x9 input aspect ratio:  -1 = Left ... 1 = Right",,"Establecer la posición horizontal del logotipo para una relación de aspecto de entrada de 16x9:  -1 = izquierda ... 1 = derecha",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the vertical position of the logo for 16x9 input aspect ratio: -1 = Top ... 1 = Bottom",,"Establecer la posición vertical del logotipo para una relación de aspecto de entrada de 16x9: -1 = superior ... 1 = inferior",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Show the System time with frame count",,"Muestra la hora del sistema con un conteo de fotogramas",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Show the animated Skype logo when not on a call",,"Mostrar el logotipo animado de Skype cuando no se está en una llamada",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"When not on a call, show a solid color",,"Cuando no se está en una llamada, mostrar un color sólido",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Incoming video is resized to always fit within the height of the output resolution",,"El video entrante cambia de tamaño para que siempre se ajuste a la altura de la resolución de salida",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"When not on a call, show the &apos;NoCall&apos; still",,""Cuando no se está en una llamada, muestra la imagen ""NoCall"""",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Incoming video is resized to ensure that the output resolution is always filled",,"El video entrante cambia de tamaño para garantizar que la resolución de salida siempre esté completa",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Incoming video is resized to always fit within the width of the output resolution",,"El video entrante cambia de tamaño para que siempre se ajuste al ancho de la resolución de salida",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"When not on a call, show the test signal",,"Cuando no se está en una llamada, muestra la señal de prueba",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Show more Channel details",,"Mostrar más información de canal",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Show settings relating to the unit&apos;s audio",,"Mostrar las configuraciones relacionadas con el audio de la unidad",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Show settings relating to the unit&apos;s video output",,"Mostrar las configuraciones relacionadas con la salida de video de la unidad",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set whether the output video from the unit always shows the Skype watermark",,"Establecer si siempre se va a mostrar la salida de video de la unidad en la marca de agua de Skype",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the position of the Skype watermark",,"Establecer la posición de la marca de agua de Skype",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set what Skype TX does when the output aspect ratio is different from the received Skype video",,"Configurar lo que hará Skype TX cuando la relación de aspecto de salida difiera de la del video de Skype recibido",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Output resolution",,"Resolución de salida",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Information",,"Información",,"Text",,"All",,"Skype TX Client V2",,""
"Audio",,"Audio",,"Text",,"All",,"Skype TX Client V2",,""
"Video Output",,"Salida de video",,"Text",,"All",,"Skype TX Client V2",,""
"Copy",,"Copiar",,"Text",,"All",,"Skype TX Client V2",,""
""<run Uid=""Run_1"">You must adhere to the</run><br Uid=""LineBreak_1""></br><a Uid=""Hyperlink_1"">broadcast terms of service</a>"",,""<run Uid=""Run_1"">Debes aceptar los</run><br Uid=""LineBreak_1""></br><a Uid=""Hyperlink_1"">Términos de servicio de la difusión</a>"",,"Text",,"All",,"Skype TX Client V2",,""
"GenLock Status",,"Estado del mezclador de señal",,"Text",,"All",,"Skype TX Client V2",,""
"Skype Logo",,"Logotipo de Skype",,"Text",,"All",,"Skype TX Client V2",,""
"Skype Logo Position",,"Posición del logotipo de Skype",,"Text",,"All",,"Skype TX Client V2",,""
"Disable all Skype audio processing",,"Deshabilitar todos los procesamientos de audio de Skype",,"Text",,"All",,"Skype TX Client V2",,""
"X",,"X",,"Text",,"All",,"Skype TX Client V2",,""
