PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"What's New",,"Novedades",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"All rights reserved.",,"Todos los derechos reservados.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"About this version",,"Acerca de esta versión",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"About",,"Acerca de",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept incoming call with audio only",,"Aceptar llamada entrante solo con audio",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept with audio only",,"Aceptar solo con audio",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept incoming call with video",,"Aceptar llamada entrante con video",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept with video",,"Aceptar con video",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
""Alternatively, click ""Create Account"" to create a new Microsoft account."",,""Si no, también puedes hacer clic en ""Crear cuenta"" para crear una cuenta de Microsoft nueva."",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"No Microsoft account is associated with the email provided. Please check and try again.",,"No hay ninguna cuenta de Microsoft asociada con el correo que proporcionaste. Revísalo e intenta de nuevo.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Forgot to include someone? No problem - simply add them to the chat here",,"¿Olvidaste incluir a alguien? No pasa nada, solo tienes que agregarlos al chat aquí.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Add more people",,"Agregar más personas",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Save to local address book",,"Guardar en la libreta de direcciones local",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Another user has enabled Skype diagnostic and error reports on this device. These reports are used to troubleshoot issues and may contain personal information such as your name, profile details and chat content.\r\n\r\nIt is recommended that you turn off these reports if you're not experiencing any issues as reports are continuously collected in the background and may affect performance.\r\n\r\nWould you like to disable diagnostic and error reports? Skype will quit and reports will be disabled the next time you launch the app.",,"Otro usuario habilitó los informes de diagnóstico y errores de Skype en este dispositivo. Estos informes se utilizan para solucionar problemas y es posible que contengan información personal, como tu nombre, información de perfil y contenido de chats.\r\n\r\nSe recomienda que los desactives si no tienes problemas, ya que estos se recopilan continuamente en segundo plano, lo cual puede afectar el rendimiento.\r\n\r\n¿Te gustaría deshabilitar los informes de diagnóstico y errores? Skype se cerrará y los informes se deshabilitarán la próxima vez que inicies la aplicación.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Are you sure you want to disable diagnostic and error reports?\r\n    \r\nSkype will automatically close and reports will be disabled the next time you launch the app.",,"¿Confirmas que deseas deshabilitar los informes de diagnóstico y errores?\r\n    \r\nSkype se cerrará automáticamente y los informes se deshabilitarán la próxima vez que inicies la aplicación.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Troubleshoot issues you have with Skype by sending diagnostic and error reports to Microsoft. These reports are used to diagnose problems but may contain personal information such as your name, profile details and chat content.\r\n    \r\nIt is recommended that you turn off these reports after you've finished troubleshooting your issue as reports are continuously collected in the background and may affect performance.\r\n\r\nWould you like to enable diagnostic and error reports? Skype will automatically close and reports will be enabled the next time you launch the app.",,"Envía los informes de diagnóstico y errores a Microsoft para solucionar los problemas que tienes con Skype. Estos informes se utilizan para diagnosticar problemas, pero pueden contener información personal, como tu nombre, información de perfil y contenido de chats.\r\n    \r\nSe recomienda que los desactives una vez que hayas solucionado tu problema, ya que estos se recopilan continuamente en segundo plano y pueden afectar el rendimiento.\r\n\r\n¿Te gustaría habilitar los informes de diagnóstico y errores? Skype se cerrará automáticamente y los informes se habilitarán la próxima vez que inicies la aplicación.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"{0} at {1}",,"{0} el {1}",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"No notifications",,"No hay notificaciones",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"{0} new notifications",,"{0} notificaciones nuevas",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"1 new notification",,"1 notificación nueva",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"No new notifications",,"No hay notificaciones nuevas",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Unread",,"No leído",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"New animated gif",,"Nuevo GIF animado",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"{0} @mentioned {1}:",,"{0} @mencionó a {1}:",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"all",,"todos",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"you",,"ti",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Call phone ({0})",,"Llamar al teléfono ({0})",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Call {0} via my phone",,"Llamar al {0} desde mi teléfono",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Call {0} via Skype",,"Llamar al {0} desde Skype",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Back",,"Atrás",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Block this contact?",,"¿Quieres bloquear este contacto?",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Child endangerment (exploitation)",,"Exposición de menores a situaciones de peligro (explotación)",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Harassment or threats",,"Acoso o amenazas",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Contains nudity or pornography",,"Contiene desnudos o pornografía",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Spam",,"Correo no deseado",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"share your screen",,"compartir la pantalla",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Bot Directory",,"Directorio de bots",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Bots List",,"Lista de bots",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Loading",,"Cargando",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Loading...",,"Cargando...",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"This bot will have access to your display name, country/region and language, messages, voice calls and any other content that you or other participants share with the bot. This bot may also provide web links from third parties.",,"Este bot tendrá acceso a tu nombre para mostrar, tu país o región e idioma, los mensajes, las llamadas de voz y cualquier otro contenido que tú y otros participantes compartan con el bot. Este bot también puede proporcionar vínculos web de terceros.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
