PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
""Accessibility label describing how many mutual friends the contact has with the current user. {Locked=""{count}""}"",,""Etiqueta de accesibilidad que indica cuántos amigos comunes tiene el contacto con el usuario actual. {Locked=""{count}""}"",,"None",,"All",,"Skype Web App",,""
"An accessibility label for the invisible container which contains a history of the notifications announced by the screen reader (like 'Message sent.')",,""Una etiqueta de accesibilidad para el contenedor invisible que contiene un historial de las notificaciones anunciadas por el lector de pantalla (como ""mensaje enviado"")"",,"None",,"All",,"Skype Web App",,""
"Accept",,"Aceptar",,"None",,"All",,"Skype Web App",,""
"Accept the call",,"Aceptar la llamada",,"None",,"All",,"Skype Web App",,""
"Click to {swiftAction}",,"Haz clic para {swiftAction}",,"None",,"All",,"Skype Web App",,""
"Add to favorites",,"Agregar a Favoritos",,"None",,"All",,"Skype Web App",,""
"Send",,"Enviar",,"None",,"All",,"Skype Web App",,""
"Delete conversation",,"Eliminar conversación",,"None",,"All",,"Skype Web App",,""
"Leave conversation",,"Abandonar conversación",,"None",,"All",,"Skype Web App",,""
"Mark as read",,"Marcar como leído",,"None",,"All",,"Skype Web App",,""
"Mark as unread",,"Marcar como no leído",,"None",,"All",,"Skype Web App",,""
"Remove from favorites",,"Quitar de Favoritos",,"None",,"All",,"Skype Web App",,""
"Turn notifications off",,"Desactivar notificaciones",,"None",,"All",,"Skype Web App",,""
"Turn notifications on",,"Activar notificaciones",,"None",,"All",,"Skype Web App",,""
"Add to new group",,"Agregar al grupo nuevo",,"None",,"All",,"Skype Web App",,""
"Currently unable to chat.",,"Actualmente no se puede chatear.",,"None",,"All",,"Skype Web App",,""
"Type to chat...",,"Escribe para chatear...",,"None",,"All",,"Skype Web App",,""
"Avatar of {title}",,"Avatar de {title}",,"None",,"All",,"Skype Web App",,""
"Block",,"Bloquear",,"None",,"All",,"Skype Web App",,""
"Delete",,"Borrar",,"None",,"All",,"Skype Web App",,""
"Leave",,"Abandonar",,"None",,"All",,"Skype Web App",,""
"Yes",,"Sí",,"None",,"All",,"Skype Web App",,""
"Remove",,"Eliminar",,"None",,"All",,"Skype Web App",,""
"Bot ID",,"Id. de bot",,"None",,"All",,"Skype Web App",,""
"Button image",,"Imagen del botón",,"None",,"All",,"Skype Web App",,""
"Button label",,"Etiqueta del botón",,"None",,"All",,"Skype Web App",,""
"Button style",,"Estilo del botón",,"None",,"All",,"Skype Web App",,""
"Code",,"Código",,"None",,"All",,"Skype Web App",,""
"Colors",,"Colores",,"None",,"All",,"Skype Web App",,""
"Copy",,"Copiar",,"None",,"All",,"Skype Web App",,""
"Dark",,"Oscuro",,"None",,"All",,"Skype Web App",,""
"Light",,"Claro",,"None",,"All",,"Skype Web App",,""
"Message",,"Mensaje",,"None",,"All",,"Skype Web App",,""
"Theme",,"Tema",,"None",,"All",,"Skype Web App",,""
"Add",,"Agregar",,"None",,"All",,"Skype Web App",,""
"Back to {section}",,"Volver a {section}",,"None",,"All",,"Skype Web App",,""
"Call back",,"Devolver la llamada",,"None",,"All",,"Skype Web App",,""
"Create",,"Crear",,"None",,"All",,"Skype Web App",,""
"Join",,"Unirse",,"None",,"All",,"Skype Web App",,""
"The person you're trying to call may not be available",,"La persona a la que estás intentando llamar podría no estar disponible",,"None",,"All",,"Skype Web App",,""
"Accept with audio",,"Aceptar con audio",,"None",,"All",,"Skype Web App",,""
"Accept with video",,"Aceptar con video",,"None",,"All",,"Skype Web App",,""
"Dock",,"Acoplar",,"None",,"All",,"Skype Web App",,""
"Fullscreen",,"Pantalla completa",,"None",,"All",,"Skype Web App",,""
"Reject",,"Rechazar",,"None",,"All",,"Skype Web App",,""
"Settings",,"Configuración",,"None",,"All",,"Skype Web App",,""
"Start audio call",,"Iniciar llamada de audio",,"None",,"All",,"Skype Web App",,""
"Start video call",,"Iniciar videollamada",,"None",,"All",,"Skype Web App",,""
"Toggle chat",,"Activar/desactivar chat",,"None",,"All",,"Skype Web App",,""
"Your browser does not support calling. Use Microsoft Edge or Google Chrome for the best experience.",,"Su navegador no admite llamadas. Use Microsoft Edge o Google Chrome para disfrutar de todas las funciones.",,"None",,"All",,"Skype Web App",,""
"Close",,"Cerrar",,"None",,"All",,"Skype Web App",,""
"How would you rate the quality of this call?",,"¿Cómo calificarías la calidad de esta llamada?",,"None",,"All",,"Skype Web App",,""
"CALLING...",,"LLAMANDO...",,"None",,"All",,"Skype Web App",,""
"INCOMING CALL",,"LLAMADA ENTRANTE",,"None",,"All",,"Skype Web App",,""
"CALL ON HOLD...",,"LLAMADA EN ESPERA...",,"None",,"All",,"Skype Web App",,""
"{initiator} is recording the call",,"{initiator} está grabando la llamada",,"None",,"All",,"Skype Web App",,""
"Cameras",,"Cámaras",,"None",,"All",,"Skype Web App",,""
"Devices",,"Dispositivos",,"None",,"All",,"Skype Web App",,""
"Microphones",,"Micrófonos",,"None",,"All",,"Skype Web App",,""
"Speakers",,"Altavoces",,"None",,"All",,"Skype Web App",,""
"Unknown device ({id})",,"Dispositivo desconocido ({id})",,"None",,"All",,"Skype Web App",,""
"Conversation is blocked",,"Conversación bloqueada",,"None",,"All",,"Skype Web App",,""
"There are {count} participants in conversation",,"Hay {count} participantes en la conversación",,"None",,"All",,"Skype Web App",,""
"Dismiss",,"Descartar",,"None",,"All",,"Skype Web App",,""
"Clear",,"Borrar",,"None",,"All",,"Skype Web App",,""
"Click here",,"Haz clic aquí",,"None",,"All",,"Skype Web App",,""
"{0}Click here{1} to switch accounts",,"{0}Haz clic aquí{1} para cambiar de cuenta",,"None",,"All",,"Skype Web App",,""
"Click here to switch accounts",,"Haz clic aquí para cambiar de cuenta",,"None",,"All",,"Skype Web App",,""
"Close the chat",,"Cerrar el chat",,"None",,"All",,"Skype Web App",,""
"Block this contact?",,"¿Quieres bloquear este contacto?",,"None",,"All",,"Skype Web App",,""
