PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Activate SMS alerts",,"Aktiver SMS-varsler",,"Text",,"All",,"Commerce Server",,""
"Your Skype credit is",,"Skype-krediten din er",,"Text",,"All",,"Commerce Server",,""
"Add your home phone number so friends will have more ways to contact you",,"Legg til et privatnummer slik at vennene dine har flere måter å kontakte deg på",,"Text",,"All",,"Commerce Server",,""
"Add your mobile number so friends will have more ways to contact you",,"Legg til et mobilnummer slik at vennene dine har flere måter å kontakte deg på",,"Text",,"All",,"Commerce Server",,""
"Add your office phone number so friends will have more ways to contact you",,"Legg til et jobbnummer slik at vennene dine har flere måter å kontakte deg på",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 1",,"Tilbake til fotnote 1",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 2",,"Tilbake til fotnote 2",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 3",,"Tilbake til fotnote 3",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 4",,"Tilbake til fotnote 4",,"Text",,"All",,"Commerce Server",,""
"Delete phone number: {NUMBER}",,"Slett telefonnummer: {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"No, don't delete number {NUMBER}",,"Nei, ikke slett nummeret {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Yes, delete number {NUMBER}",,"Ja, slett nummeret {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Cancel and return to account overview page",,"Avbryt og gå tilbake til siden for kontooversiktsiden",,"Text",,"All",,"Commerce Server",,""
"Cancel {PACKAGE_NAME} subscription",,"Si opp {PACKAGE_NAME}-abonnementet",,"Text",,"All",,"Commerce Server",,""
"Reset or change Facebook password",,"Tilbakestill eller endre passordet for Facebook",,"Text",,"All",,"Commerce Server",,""
"Reset or change Microsoft password",,"Tilbakestill eller endre passordet for Microsoft",,"Text",,"All",,"Commerce Server",,""
"Change Skype password",,"Endre passordet for Skype",,"Text",,"All",,"Commerce Server",,""
"Number to show when I call phones",,"Vis dette nummeret når jeg ringer til telefoner",,"Text",,"All",,"Commerce Server",,""
"Verification code",,"Verifiseringskode",,"Text",,"All",,"Commerce Server",,""
"Close pop-up",,"Lukk popup-vindu",,"Text",,"All",,"Commerce Server",,""
"Country/region",,"Land/region",,"Text",,"All",,"Commerce Server",,""
"Country/region or Skype Name",,"Land/region eller Skype-navn",,"Text",,"All",,"Commerce Server",,""
"Delete number {number}",,"Slett nummeret {number}",,"Text",,"All",,"Commerce Server",,""
