PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"en-us",,"nb-no",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Menu > Microsoft Teams > Show All",,"Meny > Microsoft Teams > Vis alle",,"Text",,"All",,"Microsoft Teams for Mac",,""
"We just need you to sign in, and then we'll get you to your meeting.",,"Bare logg deg på, så tar vi deg til møtet ditt.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Quit",,"Avslutt",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Restart",,"Start på nytt",,"Text",,"All",,"Microsoft Teams for Mac",,""
"D'oh! Something went wrong...",,"Noe gikk galt ...",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Having trouble? Tell us about it.",,"Har du problemer? Fortell oss om det.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Get Latest",,"Hent nyeste",,"Text",,"All",,"Microsoft Teams for Mac",,""
"You’re using an unsupported version of Microsoft Teams",,"Du bruker en versjon av Microsoft Teams som ikke støttes",,"Text",,"All",,"Microsoft Teams for Mac",,""
"You've got the latest updates. Enjoy!",,"Du har de nyeste oppdateringene. Håper du liker dem!",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Microsoft Teams",,"Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Looks like a few files are missing; re-install Microsoft Teams to try again.",,"Det ser ut til at noen filer mangler. Installer Microsoft Teams på nytt for å prøve igjen.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Couldn’t finish installing",,"Kan ikke fullføre installasjonen",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Hang tight! We’re getting you connected.",,"Vent litt. Vi kobler deg til.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Authentication failed",,"Godkjenningsfeil",,"Text",,"All",,"Microsoft Teams for Mac",,""
