PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"We're working on getting them back for you ASAP.",,"Vi jobber med å få dette til å fungere igjen så fort som mulig.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't get your activities.",,"Vi kan ikke hente aktivitetene dine.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Stay on top of relevant activity, such as mentions, likes and replies.",,"Hold oversikt over relevant aktivitet, slik som omtaler, liker og svar.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You'll find notifications here.",,"Du finner varslingene her.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your activities right now",,"Vi kan ikke oppdatere aktivitetene dine akkurat nå",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Added you to an unavailable channel",,"La deg til i en kanal som ikke er tilgjengelig",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Added you to an unavailable team",,"La deg til i et team som ikke er tilgjengelig",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"an unavailable channel",,"en utilgjengelig kanal",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"an unavailable team",,"et team som ikke er tilgjengelig",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Add to favorites",,"Legg til i favoritter",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Follow channel",,"Følg kanal",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} added {1} to the conversation",,"{0} la til {1} i samtalen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Address",,"Adresse",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} and {1}",,"{0} og {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0}, {1}, and {2}",,"{0}, {1} og {2}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0}, {1}, and {2} others",,"{0}, {1} og {2} andre",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load your older activities right now",,"Vi kan ikke laste inn de gamle aktivitetene akkurat nå",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"All channels",,"Alle kanaler",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Channels",,"Kanaler",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your teams right now",,"Vi kan ikke oppdatere teamene dine akkurat nå",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"All teams",,"Alle team",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Always, even if I'm active on desktop",,"Alltid, selv om jeg er aktiv på skrivebordet",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams",,"Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (Dev)",,"Microsoft Teams (Dev)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (Dogfood)",,"Microsoft Teams (Dogfood)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (TAP)",,"Microsoft Teams (TAP)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Teams",,"Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Bluetooth",,"Bluetooth",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Change audio output device",,"Endre lydenhet for lyd ut",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Device",,"Enhet",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Headset",,"Hodetelefoner",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Speaker",,"Høyttaler",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Please sign in again with your current password.",,"Logg på på nytt med gjeldende passord.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams is now using modern authentication, a better, more secure way to sign in. Once you've signed in again, you won't need to re-enter credentials when you open any Office 365 application.",,"Microsoft Teams bruker nå moderne godkjenning, en bedre og sikrere måte å logge deg på. Når du har logget deg på på nytt trenger du ikke å oppgi påloggingsinformasjon når du åpner et hvilket som helst Office 365-program.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You'll get modern authentication, a single, better, and more secure sign in to all your Office 365 apps.",,"Du vil få moderne godkjenning, en enkel, bedre, og sikrere pålogging for alle Office 365-programmer.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Please sign back in to Microsoft Teams",,"Logg på Microsoft Teams igjen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"({0} Guests)",,"({0} gjester)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"(1 Guest)",,"(1 gjest)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} (Guest)",,"{0} (gjest)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Back",,"Tilbake",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sent a card",,"Sendte et kort",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Hang up your current call before starting a new one.",,"Avslutt den pågående samtalen før du starter en ny.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call busy",,"Anrop opptatt",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call canceled",,"Anrop avbrutt",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call declined",,"Anrop avvist",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call dropped",,"Samtalen ble brutt",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"hh\:mm\:ss",,"hh\:mm\:ss",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"mm\:ss",,"mm\:ss",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call Ended",,"Samtale avsluttet",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call ended",,"Samtale avsluttet",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call Ended {0}",,"Samtale avsluttet {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call ended {0}",,"Samtale avsluttet, {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call failed",,"Anrop mislyktes",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call Missed",,"Tapt anrop",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call missed",,"Tapt anrop",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Tap to return to call",,"Trykk for å gå tilbake til samtale",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call on hold",,"Samtale på vent",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call",,"Ring",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call started",,"Samtale startet",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Calling",,"Anrop",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sorry, we're unable to search for people at the moment",,"Beklager, vi kan ikke søke etter personer for øyeblikket",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Conversations",,"Samtaler",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Try @ mentioning the people you want to participate in this channel.",,"Prøv å @-omtale personer du vil at skal delta i denne kanalen.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Remove from favorites",,"Fjern fra favoritter",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"More options for this channel",,"Flere alternativer for denne kanalen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your channels right now",,"Vi kan ikke oppdatere kanalene dine akkurat nå",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load this channel right now.",,"Vi kan ikke laste inn denne kanalen nå.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"channel",,"kanal",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your conversations right now",,"Vi kan ikke oppdatere samtalene dine akkurat nå",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Tabs",,"Faner",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Have private one-on-one and group conversations, and video calls.",,"Hold private én-til-én- og gruppesamtaler og videosamtaler.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Start a private chat.",,"Start en privat chat.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We're working on getting them back for you ASAP.",,"Vi jobber med å få dem tilbake til deg så fort som mulig.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't get your chats",,"Vi kan ikke hente chattene dine",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your chats right now",,"Vi kan ikke oppdatere chattene dine akkurat nå",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't get your messages.",,"Vi kan ikke hente meldingene dine.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Chat",,"Chat",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load your older messages right now",,"Vi kan ikke laste inn de gamle meldingene dine akkurat nå",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You",,"Du",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your conversation right now",,"Vi kan ikke oppdatere samtalen din akkurat nå",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Failed to send:",,"Kan ikke sende:",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sending:",,"Sender:",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Chats",,"Chatter",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We're getting things ready...",,"Vi klargjør ting ...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Please give us a sec...",,"Gi oss et øyeblikk ...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We'll be done soon...",,"Vi er snart ferdig ...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Almost there...",,"Snart ferdig ...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"CLEAR LIST",,"TØM LISTE",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Files",,"Filer",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Close",,"Lukk",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Hi! This feature is not quite finished and is coming soon.",,"Hei! Denne funksjonen er ikke helt ferdig, men den kommer snart.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"High importance",,"Høy viktighet",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Show picture picker",,"Vis bildevelger",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Send",,"Send",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Type your message here",,"Skriv inn meldingen her",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Open contact card",,"Åpne kontaktkort",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"More options for this conversation",,"Flere alternativer for denne samtalen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Control message",,"Kontrollmelding",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sorry, we cannot access your content. Try again later.",,"Beklager, vi får ikke tilgang til innholdet. Prøv på nytt senere.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Reply",,"Svar",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Failed to start the chat.",,"Kan ikke starte chatten.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"General",,"Generelt",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} removed {1} from the chat",,"{0} fjernet {1} fra chatten",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"This message has been deleted.",,"Denne meldingen har blitt slettet.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"This tab is deleted.",,"Denne fanen er slettet.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Administrator has disabled chat for this user",,"Administrator har deaktivert chat for denne brukeren",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Email",,"E-post",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"To: {0}",,"Til: {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"End call",,"Avslutt samtale",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Syncing",,"Synkronisering",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Uh oh, something went wrong and we couldn't sync your data. Your content may not be available right now. Please try again later.",,"Ooops, noe gikk galt og vi kunne ikke synkronisere dataene dine. Innholdet ditt er kanskje ikke tilgjengelig akkurat nå. Prøv på nytt senere.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Wow, you have a lot of content! We're still syncing {0} item(s), but let's get you started.",,"Jøss! Du har mye innhold! Vi synkroniserer fortsatt {0} element(er), men la oss komme i gang.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We're sorry",,"Vi beklager",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
