PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"vibration mode",,"vibreringsmodus",,"Text",,"All",,"Office Online Group",,""
"briefcase",,"koffert",,"Text",,"All",,"Office Online Group",,""
"Click here to download the PDF of your {doctype}.",,"Klikk her for å laste ned PDF-filen av {doctype}.",,"Text",,"All",,"Office Online Group",,""
"S",,"S",,"Text",,"All",,"Office Online Group",,""
"sleepy face",,"søvnig ansikt",,"Text",,"All",,"Office Online Group",,""
""Japanese ""passing grade"" button"",,"japansk ståkarakter-knapp",,"Text",,"All",,"Office Online Group",,""
"books",,"bøker",,"Text",,"All",,"Office Online Group",,""
"soft ice cream",,"softis",,"Text",,"All",,"Office Online Group",,""
"globe showing Europe-Africa",,"jordklode som viser Europa og Afrika",,"Text",,"All",,"Office Online Group",,""
"OneNote",,"OneNote",,"Text",,"All",,"Office Online Group",,""
"Content Not Found",,"Finner ikke innholdet",,"Text",,"All",,"Office Online Group",,""
"red triangle pointed down",,"rød trekant som peker ned",,"Text",,"All",,"Office Online Group",,""
"beating heart",,"bankende hjerte",,"Text",,"All",,"Office Online Group",,""
"P",,"U",,"Text",,"All",,"Office Online Group",,""
"R",,"R",,"Text",,"All",,"Office Online Group",,""
"performing arts",,"teatermasker",,"Text",,"All",,"Office Online Group",,""
"camera",,"kamera",,"Text",,"All",,"Office Online Group",,""
"ZE",,"U",,"Text",,"All",,"Office Online Group",,""
"C",,"S",,"Text",,"All",,"Office Online Group",,""
"Office on Demand is a fast and easy way to use the latest full-featured Office programs on any PC without installing them.",,"Office ved behov er en rask og enkel måte å bruke de siste fullstendige Office-programmene på en hvilken som helst PC, uten å installere dem.",,"Text",,"All",,"Office Online Group",,""
"Rename",,"Gi nytt navn",,"Text",,"All",,"Office Online Group",,""
"More on Office.com",,"Mer på Office.com",,"Text",,"All",,"Office Online Group",,""
"crescent moon",,"månesigd",,"Text",,"All",,"Office Online Group",,""
"Book",,"Bok",,"Text",,"All",,"Office Online Group",,""
"Store",,"Store",,"Text",,"All",,"Office Online Group",,""
"Spanish (Ecuador)",,"Spansk (Ecuador)",,"Text",,"All",,"Office Online Group",,""
"PA",,"PA",,"Text",,"All",,"Office Online Group",,""
"R",,"S",,"Text",,"All",,"Office Online Group",,""
"blue heart",,"blått hjerte",,"Text",,"All",,"Office Online Group",,""
"baby bottle",,"tåteflaske",,"Text",,"All",,"Office Online Group",,""
"postbox",,"postkasse",,"Text",,"All",,"Office Online Group",,""
"input Latin uppercase",,"store bokstaver",,"Text",,"All",,"Office Online Group",,""
"hatching chick",,"nyklekket kylling",,"Text",,"All",,"Office Online Group",,""
"sign of the horns",,"rockehånd",,"Text",,"All",,"Office Online Group",,""
