PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Propert&ies...",,"&Egenskaper...",,"None",,"All",,"Outlook Group",,""
"C&ut",,"Klipp &ut",,"None",,"All",,"Outlook Group",,""
"&Copy",,"&Kopier",,"None",,"All",,"Outlook Group",,""
"&Paste",,"&Lim inn",,"None",,"All",,"Outlook Group",,""
"&Delete",,"&Slett",,"None",,"All",,"Outlook Group",,""
"Select &All",,"&Merk alt",,"None",,"All",,"Outlook Group",,""
"From",,"Fra",,"None",,"All",,"Outlook Group",,""
"Select Names",,"Velg navn",,"None",,"All",,"Outlook Group",,""
"To",,"Til",,"None",,"All",,"Outlook Group",,""
"Outlook Mobile Service Account",,"Outlook Mobile-tjenestekonto",,"None",,"All",,"Outlook Group",,""
"Mobile Service Accounts",,"Mobiltjenestekontoer",,"None",,"All",,"Outlook Group",,""
"You can add or remove an account. You can select an account, and then change its settings.",,"Du kan legge til eller fjerne en konto. Du kan velge en konto og deretter endre innstillingene.",,"None",,"All",,"Outlook Group",,""
"Outlook Mobile Service Account Manager",,"Kontoadministrator for Outlook Mobile-tjeneste",,"None",,"All",,"Outlook Group",,""
""Type the &name by which you want to refer to this account. For example: ""Work"" or ""Text Message Service"""",,"Skriv inn navnet &du vil skal referere til denne kontoen, for eksempel Arbeid eller Tekstmeldingstjeneste",,"None",,"All",,"Outlook Group",,""
"Account Settings",,"Kontoinnstillinger",,"None",,"All",,"Outlook Group",,""
"Complete each step to create and activate your text messaging account.",,"Fullfør hvert enkelt trinn for å opprette og aktivere tekstmeldingskontoen.",,"None",,"All",,"Outlook Group",,""
"Another dialog for mobile message account setting is running.\nClose the dialog, and then try again.",,"En annen dialogboks med innstillinger for mobilmeldingskonto kjører.\nLukk dialogboksen, og prøv deretter på nytt.",,"None",,"All",,"Outlook Group",,""
"Step1: Sign up with a text messaging service provider",,"Trinn 1: Registrer deg hos en tekstmeldingsleverandør",,"None",,"All",,"Outlook Group",,""
"Text messages are sent through a third-party service that may charge you a fee that is separate from the charges from your mobile operator. You can review the terms and any associated charges before completing setup.",,"Tekstmeldinger sendes via en tredjepartstjeneste som kanskje krever en avgift utenom avgiftene fra mobiloperatøren. Du kan se gjennom vilkårene og eventuelle avgifter før du fullfører installasjonen.",,"None",,"All",,"Outlook Group",,""
"Step2: Fill in account information",,"Trinn 2: Fyll ut kontoinformasjon",,"None",,"All",,"Outlook Group",,""
"Cannot get service information because of a problem connecting to the service.\nDo you want to use default settings (This account might not work)?",,"Kan ikke hente tjenesteinformasjon på grunn av et problem med tilkoblingen til tjenesten.\nVil du bruke standardinnstillinger (denne kontoen vil kanskje ikke virke)?",,"None",,"All",,"Outlook Group",,""
"Audio file (*.mid;*.amr)",,"Lydfil (*.mid, *.amr)",,"None",,"All",,"Outlook Group",,""
"Account Name",,"Kontonavn",,"None",,"All",,"Outlook Group",,""
"Other User Information",,"Annen brukerinformasjon",,"None",,"All",,"Outlook Group",,""
"Service Information",,"Tjenesteinformasjon",,"None",,"All",,"Outlook Group",,""
"Logon Information",,"Påloggingsinformasjon",,"None",,"All",,"Outlook Group",,""
"%1/%2: %3 Events(next %4 hrs)",,"%1/%2 %3 Hendelser(kommende %4 tim)",,"None",,"All",,"Outlook Group",,""
"%1/%2: %3 Event(next %4 hrs)",,"%1/%2 %3 Hendelse(kommende %4 tim)",,"None",,"All",,"Outlook Group",,""
"%4-%5\r\n%1\r\n%3",,"%4-%5\r\n%1\r\n%3",,"None",,"All",,"Outlook Group",,""
"All day event\r\n%1\r\n%3",,"Hele dagen\r\n%1\r\n%3",,"None",,"All",,"Outlook Group",,""
"%1/%2 Calendar Summary: No meetings or appointments.",,"Kalendersammendrag for %2.%1.: Ingen møter eller avtaler.",,"None",,"All",,"Outlook Group",,""
"(No Location)",,"(Uten sted)",,"None",,"All",,"Outlook Group",,""
"(No Subject)",,"(Uten emne)",,"None",,"All",,"Outlook Group",,""
"%1/%2 Calendar Summary",,"%1/%2 Kalendersammendrag",,"None",,"All",,"Outlook Group",,""
"Calendar Summary",,"Kalendersammendrag",,"None",,"All",,"Outlook Group",,""
"Querying for Outlook calendar events failed",,"Spørring etter hendelser i Outlook-kalenderen mislyktes",,"None",,"All",,"Outlook Group",,""
"Sound:",,"Lyd...",,"None",,"All",,"Outlook Group",,""
