PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"contact info",,"kontakt-info",,"None",,"All",,"Skype - Mac",,""
"profile picture",,"profilbilde",,"None",,"All",,"Skype - Mac",,""
"About",,"Om",,"None",,"All",,"Skype - Mac",,""
"Multiline Label",,"Flerlinjet merke",,"None",,"All",,"Skype - Mac",,""
"Label",,"Merke",,"None",,"All",,"Skype - Mac",,""
"mood message",,"stemningsmelding",,"None",,"All",,"Skype - Mac",,""
""Label - <a href=""http://apple.com"">Test</a>"",,""Label - <a href=""http://apple.com"">Test</a>"",,"None",,"All",,"Skype - Mac",,""
"Lists",,"Lister",,"None",,"All",,"Skype - Mac",,""
"Location",,"Sted",,"None",,"All",,"Skype - Mac",,""
"Time",,"Tid",,"None",,"All",,"Skype - Mac",,""
"Homepage",,"Hjemmeside",,"None",,"All",,"Skype - Mac",,""
"Gender",,"Kjønn",,"None",,"All",,"Skype - Mac",,""
"Birthdate",,"Fødselsdag",,"None",,"All",,"Skype - Mac",,""
"Language",,"Språk",,"None",,"All",,"Skype - Mac",,""
"Back",,"Tilbake",,"None",,"All",,"Skype - Mac",,""
"Add Contact",,"Legg til kontakt",,"None",,"All",,"Skype - Mac",,""
"Copy",,"Kopier",,"None",,"All",,"Skype - Mac",,""
"favorite",,"favoritt",,"None",,"All",,"Skype - Mac",,""
"Contacts",,"Kontakter",,"None",,"All",,"Skype - Mac",,""
"Item 3",,"Item 3",,"None",,"All",,"Skype - Mac",,""
"Other",,"Andre",,"None",,"All",,"Skype - Mac",,""
"Box",,"Box",,"None",,"All",,"Skype - Mac",,""
"Item 2",,"Item 2",,"None",,"All",,"Skype - Mac",,""
"Skype Certified",,"Skype-sertifisert",,"None",,"All",,"Skype - Mac",,""
"Home",,"Hjem",,"None",,"All",,"Skype - Mac",,""
"Mobile",,"Mobil",,"None",,"All",,"Skype - Mac",,""
"Item 1",,"Item 1",,"None",,"All",,"Skype - Mac",,""
"Skype",,"Skype",,"None",,"All",,"Skype - Mac",,""
"Office",,"Kontor",,"None",,"All",,"Skype - Mac",,""
"Window",,"Window",,"None",,"All",,"Skype - Mac",,""
"Text Cell",,"Text Cell",,"None",,"All",,"Skype - Mac",,""
"Send Contacts",,"Send kontakter",,"None",,"All",,"Skype - Mac",,""
"Add contacts you would like to send:",,"Legg til kontaktene du ønsker å sende:",,"None",,"All",,"Skype - Mac",,""
"Send",,"Send",,"None",,"All",,"Skype - Mac",,""
"Cancel",,"Avbryt",,"None",,"All",,"Skype - Mac",,""
"Call",,"Ring",,"None",,"All",,"Skype - Mac",,""
"Instant Message…",,"Direktemelding…",,"None",,"All",,"Skype - Mac",,""
"Send SMS…",,"Send SMS…",,"None",,"All",,"Skype - Mac",,""
"Send Photos and Files…",,"Send bilder og filer…",,"None",,"All",,"Skype - Mac",,""
"Send Contacts…",,"Send kontakter…",,"None",,"All",,"Skype - Mac",,""
"Show Profile",,"Vis profil",,"None",,"All",,"Skype - Mac",,""
"Send Video Message…",,"Send videomelding…",,"None",,"All",,"Skype - Mac",,""
"Send Files…",,"Send filer…",,"None",,"All",,"Skype - Mac",,""
"React to Message…",,"Reager på melding…",,"None",,"All",,"Skype - Mac",,""
"Last Message",,"Siste melding",,"None",,"All",,"Skype - Mac",,""
"Beginning",,"Fra begynnelsen",,"None",,"All",,"Skype - Mac",,""
"Quote Message",,"Sitér melding",,"None",,"All",,"Skype - Mac",,""
"Add Image to Photos",,"Legg til bilde i Bilder",,"None",,"All",,"Skype - Mac",,""
"1 Week",,"1 uke",,"None",,"All",,"Skype - Mac",,""
"Edit Message",,"Rediger melding",,"None",,"All",,"Skype - Mac",,""
"Remove Message",,"Fjern melding",,"None",,"All",,"Skype - Mac",,""
"Show Location",,"Vis posisjon",,"None",,"All",,"Skype - Mac",,""
"Jump Back",,"Gå tilbake",,"None",,"All",,"Skype - Mac",,""
"Reload",,"Last inn på nytt",,"None",,"All",,"Skype - Mac",,""
"Quote Selection",,"Sitér markering",,"None",,"All",,"Skype - Mac",,""
"Beginning",,"Begynner",,"None",,"All",,"Skype - Mac",,""
"NOTR Look Up %@",,"NOTR Look Up %@",,"None",,"All",,"Skype - Mac",,""
"Speech",,"Tale",,"None",,"All",,"Skype - Mac",,""
"Start Speaking",,"Begynn å snakke",,"None",,"All",,"Skype - Mac",,""
"Stop Speaking",,"Slutt å snakke",,"None",,"All",,"Skype - Mac",,""
"1 Year",,"1 år",,"None",,"All",,"Skype - Mac",,""
"Share",,"Del",,"None",,"All",,"Skype - Mac",,""
"1 Month",,"1 måned",,"None",,"All",,"Skype - Mac",,""
"3 Months",,"3 måneder",,"None",,"All",,"Skype - Mac",,""
"6 Months",,"6 måneder",,"None",,"All",,"Skype - Mac",,""
"Copy Image",,"Kopier bilde",,"None",,"All",,"Skype - Mac",,""
"1 Day",,"1 dag",,"None",,"All",,"Skype - Mac",,""
"NOTR Search With %@",,"NOTR Search With %@",,"None",,"All",,"Skype - Mac",,""
"NOTR",,"NOTR",,"None",,"All",,"Skype - Mac",,""
"Copy Map URL",,"Kopier URL-adressen til kartet",,"None",,"All",,"Skype - Mac",,""
"Copy Location DD°MM’SS”",,"Kopier koordinatene DD°MM’SS”",,"None",,"All",,"Skype - Mac",,""
"Get Directions",,"Få veibeskrivelser",,"None",,"All",,"Skype - Mac",,""
