PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Open the more menu",,"Åpne Mer-menyen",,"None",,"All",,"Skype - iOS",,""
"More menu",,"Mer-meny",,"None",,"All",,"Skype - iOS",,""
"Cancel",,"Avbryt",,"None",,"All",,"Skype - iOS",,""
"Recent calls and messages will appear here.",,"Nylige anrop og meldinger vises her.",,"None",,"All",,"Skype - iOS",,""
"Search",,"Søk",,"None",,"All",,"Skype - iOS",,""
"Hide options",,"Skjul alternativer",,"None",,"All",,"Skype - iOS",,""
"Show options",,"Vis alternativer",,"None",,"All",,"Skype - iOS",,""
"Done",,"Fullført",,"None",,"All",,"Skype - iOS",,""
"%lu %@ %lu",,"%lu %@ %lu",,"None",,"All",,"Skype - iOS",,""
"Copied",,"Kopiert",,"None",,"All",,"Skype - iOS",,""
"Copying",,"Kopierer",,"None",,"All",,"Skype - iOS",,""
"Failed",,"Mislyktes",,"None",,"All",,"Skype - iOS",,""
"Preparing",,"Klargjør",,"None",,"All",,"Skype - iOS",,""
"Saved",,"Lagret",,"None",,"All",,"Skype - iOS",,""
"Saving",,"Lagrer",,"None",,"All",,"Skype - iOS",,""
"Search Giphy",,"Søk etter Giphy",,"None",,"All",,"Skype - iOS",,""
"& %d others",,"og %d andre",,"None",,"All",,"Skype - iOS",,""
"%1$d out of %2$d selected",,"%1$d av %2$d er valgt",,"None",,"All",,"Skype - iOS",,""
"& %d others",,"og %d annen",,"None",,"All",,"Skype - iOS",,""
"Skype version",,"Skype-versjon",,"None",,"All",,"Skype - iOS",,""
"© 2003-2017 Skype & Microsoft\nPatent Pending",,"© 2003–2017 Skype og Microsoft\nPatentsøkt",,"None",,"All",,"Skype - iOS",,""
"The Skype name, associated trade marks and logos and the “S” logo are trade marks of Skype or related entities.\n\nWarning: This program is protected by copyright law and international treaties. Unauthorized reproduction or distribution of this program, or any portion of it, may result in severe criminal and civil penalties and will be prosecuted to the maximum extent possible under the law.",,"Skype-navnet, tilhørende varemerker og logoer og S-logoen er varemerker for Skype eller tilknyttede enheter.\n\nAdvarsel: Dette programmet er beskyttet av åndsverkslovens bestemmelser og internasjonale avtaler. Uautorisert gjengivelse eller distribusjon av dette programmet eller noen del av det kan straffes med bøter eller fengsel.",,"None",,"All",,"Skype - iOS",,""
"Privacy Policy",,"Personvernerklæring",,"None",,"All",,"Skype - iOS",,""
"About",,"Om",,"None",,"All",,"Skype - iOS",,""
"Terms of Use",,"Bruksvilkår",,"None",,"All",,"Skype - iOS",,""
"Third party notices",,"Tredjepartsvarslinger",,"None",,"All",,"Skype - iOS",,""
"Skype needs access to Contacts to display address book contacts. Go to Settings and enable Contacts to allow access.",,"Skype trenger tilgang til Kontakter for å vise kontakter fra adresseboken. Gå til Innstillinger, og aktiver Kontakter for å gi tilgang.",,"None",,"All",,"Skype - iOS",,""
"Your address book is empty",,"Adresseboken er tom",,"None",,"All",,"Skype - iOS",,""
"Loading address book contacts...",,"Laster kontakter fra adresseboken ...",,"None",,"All",,"Skype - iOS",,""
"No results found for %@",,"Fant ingen resultater for %@",,"None",,"All",,"Skype - iOS",,""
"Search address book",,"Søk adresseboken",,"None",,"All",,"Skype - iOS",,""
"Address book",,"Adressebok",,"None",,"All",,"Skype - iOS",,""
"Invite to Skype",,"Inviter til Skype",,"None",,"All",,"Skype - iOS",,""
"To invite friends via email, set up your mail account in device settings first.",,"Du må opprette e-postkontoen din i enhetsinnstillingene før du kan invitere venner via e-post.",,"None",,"All",,"Skype - iOS",,""
"No mail account found",,"Fant ingen e-postkonto",,"None",,"All",,"Skype - iOS",,""
"To invite friends via SMS, check your SIM card is inserted properly and try again.",,"Hvis du vil invitere venner via SMS, sjekker du at SIM-kortet er satt inn riktig og prøver på nytt.",,"None",,"All",,"Skype - iOS",,""
"No SIM card found",,"Finner ikke SIM-kort",,"None",,"All",,"Skype - iOS",,""
"Standard SMS rates may apply",,"Standard SMS-satser kan påløpe",,"None",,"All",,"Skype - iOS",,""
"Via email",,"via e-post",,"None",,"All",,"Skype - iOS",,""
"Via home",,"Via hjemmetelefon",,"None",,"All",,"Skype - iOS",,""
"Via mobile",,"Via mobiltelefon",,"None",,"All",,"Skype - iOS",,""
"Via office",,"Via jobbtelefon",,"None",,"All",,"Skype - iOS",,""
"Via other",,"Via andre",,"None",,"All",,"Skype - iOS",,""
"Loading contacts…",,"Laster inn kontakter …",,"None",,"All",,"Skype - iOS",,""
"Signing in…",,"Logger på...",,"None",,"All",,"Skype - iOS",,""
"Updating…",,"Oppdaterer …",,"None",,"All",,"Skype - iOS",,""
"Add to favorites",,"Legg til i favoritter",,"None",,"All",,"Skype - iOS",,""
"Choose existing photo",,"Velg eksisterende bilde",,"None",,"All",,"Skype - iOS",,""
"My account",,"Min konto",,"None",,"All",,"Skype - iOS",,""
"Add new favorites via the menu on any contact.",,"Legg til nye favoritter fra menyen til en kontakt.",,"None",,"All",,"Skype - iOS",,""
"Remove profile picture",,"Fjern profilbilde",,"None",,"All",,"Skype - iOS",,""
"Remove from favorites",,"Fjern fra favoritter",,"None",,"All",,"Skype - iOS",,""
"Sign out",,"Logg av",,"None",,"All",,"Skype - iOS",,""
"Take photo",,"Ta bilde",,"None",,"All",,"Skype - iOS",,""
"There was a problem opening your account, check your network connection and try again.",,"Det oppstod et problem med å åpne kontoen. Kontroller nettverkstilkoblingen, og prøv igjen.",,"None",,"All",,"Skype - iOS",,""
""Keep all your favorite people together, <a href=""add-favorites"">add favorites</a>."",,""Hold alle favorittpersonene dine samlet, <a href=""add-favorites"">legg til favoritter</a>."",,"None",,"All",,"Skype - iOS",,""
"Add favorites",,"Legg til favoritter",,"None",,"All",,"Skype - iOS",,""
"Add participants",,"Legg til deltakere",,"None",,"All",,"Skype - iOS",,""
"ADD:",,"Legg til:",,"None",,"All",,"Skype - iOS",,""
"Invite friends to Skype",,"Inviter venner til Skype",,"None",,"All",,"Skype - iOS",,""
"Already a Skype contact",,"Allerede en Skype-kontakt",,"None",,"All",,"Skype - iOS",,""
"Search for people on Skype using their Skype Name, email or full name.",,"Søk etter personer i Skype ved hjelp av Skype-navn, e-postadresse eller fullt navn.",,"None",,"All",,"Skype - iOS",,""
"No matches found",,"Fant ingen treff",,"None",,"All",,"Skype - iOS",,""
"Add contact",,"Legg til kontakt",,"None",,"All",,"Skype - iOS",,""
"Add photo",,"Legg til bilde",,"None",,"All",,"Skype - iOS",,""
"Your current call will end (please let the other person know) and your new group call will start",,"Den gjeldende samtalen avsluttes (gi den andre personen beskjed om dette) og den nye gruppesamtalen starter",,"None",,"All",,"Skype - iOS",,""
"Call",,"Ring",,"None",,"All",,"Skype - iOS",,""
"New group call starting",,"Ny gruppesamtale starter",,"None",,"All",,"Skype - iOS",,""
"Start a new group call",,"Start en ny gruppesamtale",,"None",,"All",,"Skype - iOS",,""
""has created a <a href=""%@"">group conversation.</a>"",,""har opprettet en <a href=""%@"">gruppesamtale.</a>"",,"None",,"All",,"Skype - iOS",,""
"Add people",,"Legg til personer",,"None",,"All",,"Skype - iOS",,""
"Skype Verified",,"Bekreftet av Skype",,"None",,"All",,"Skype - iOS",,""
"Error",,"Feil",,"None",,"All",,"Skype - iOS",,""
"Allow",,"Tillat",,"None",,"All",,"Skype - iOS",,""
"Already a participant",,"Allerede en deltaker",,"None",,"All",,"Skype - iOS",,""
"Already on the call",,"Allerede i samtalen",,"None",,"All",,"Skype - iOS",,""
"Call",,"Samtale",,"None",,"All",,"Skype - iOS",,""
"Voice call",,"Lydanrop",,"None",,"All",,"Skype - iOS",,""
"Call phone numbers",,"Ring telefonnumre",,"None",,"All",,"Skype - iOS",,""
"Dial pad",,"Tastatur",,"None",,"All",,"Skype - iOS",,""
"Start a new chat on Skype",,"Start en ny chat i Skype",,"None",,"All",,"Skype - iOS",,""
"Start a new chat",,"Start en ny chat",,"None",,"All",,"Skype - iOS",,""
"Video call",,"Videoanrop",,"None",,"All",,"Skype - iOS",,""
"Video Message",,"Videomelding",,"None",,"All",,"Skype - iOS",,""
"Rate app",,"Gi tilbakemelding om appen",,"None",,"All",,"Skype - iOS",,""
"Share the love and leave a rating in the App Store. It'll only take a moment.",,"Si hva du mener, og legg igjen en vurdering i App Store. Det tar bare et øyeblikk.",,"None",,"All",,"Skype - iOS",,""
"Thank you!",,"Takk!",,"None",,"All",,"Skype - iOS",,""
"Please check your network settings and try again.",,"Sjekk nettverksinnstillingene og prøv igjen.",,"None",,"All",,"Skype - iOS",,""
"There was a problem signing in with your Microsoft account, please try again later.",,"Det oppstod et problem med å logge på med Microsoft-kontoen din. Prøv på nytt senere.",,"None",,"All",,"Skype - iOS",,""
"Your account has been suspended,\n<a href = 'https://go.skype.com/account.recovery.ios'>tap here for more information.</a>",,"Kontoen din er suspendert.\n<a href = 'https://go.skype.com/account.recovery.ios'>Trykk her for å få mer informasjon</a>.",,"None",,"All",,"Skype - iOS",,""
"Unable to sign in, try reinstalling Skype from the App Store.(%d)",,"Kan ikke logge på. Prøv å installere Skype fra App Store på nytt.(%d)",,"None",,"All",,"Skype - iOS",,""
"Unable to sign in, as you have run out of storage space on your device.",,"Kunne ikke logge inn siden du ikke har mer ledig plass på enhenten.",,"None",,"All",,"Skype - iOS",,""
"Unable to sign in, please restart your device and try again.(%d)",,"Kan ikke logge på. Start enheten på nytt, og prøv igjen.(%d)",,"None",,"All",,"Skype - iOS",,""
"Unable to sign in, please restart your device and try again.(%d)",,"Kunne ikke logge inn. Omstart enheten og prøv igjen.(%d)",,"None",,"All",,"Skype - iOS",,""
"We didn’t recognize your Skype Name or password.",,"Vi kjenner ikke igjen Skype-navnet eller passordet ditt.",,"None",,"All",,"Skype - iOS",,""
"This email address is invalid.",,"Denne e-postadressen er ugyldig.",,"None",,"All",,"Skype - iOS",,""
"Please check and try again.",,"Kontroller, og prøv på nytt.",,"None",,"All",,"Skype - iOS",,""
"This Skype Name is invalid.",,"Dette Skype-navnet er ugyldig.",,"None",,"All",,"Skype - iOS",,""
"You have been signed out.",,"Du har blitt logget ut.",,"None",,"All",,"Skype - iOS",,""
"Your password has been changed, sign in to continue using Skype.",,"Passordet ditt er endret. Logg på for å fortsette å bruke Skype.",,"None",,"All",,"Skype - iOS",,""
"Unable to sign in, please try again later.",,"Kan ikke logge på. Prøv på nytt senere.",,"None",,"All",,"Skype - iOS",,""
"You cannot sign in to Skype as you do not meet the minimum age limit for your country/region.",,"Du kan ikke logge på Skype fordi du er under aldersgrensen for landet/regionen du tilhører.",,"None",,"All",,"Skype - iOS",,""
"This Skype Name is already taken.",,"Dette Skype-navnet er allerede tatt.",,"None",,"All",,"Skype - iOS",,""
"Please enter a new one.",,"Skriv inn et nytt.",,"None",,"All",,"Skype - iOS",,""
"You've tried to sign in too many times.",,"Du har prøvd å logge på for mange ganger.",,"None",,"All",,"Skype - iOS",,""
"Please try again later.",,"Prøv igjen senere.",,"None",,"All",,"Skype - iOS",,""
"This password is invalid.",,"Passordet er ikke gyldig.",,"None",,"All",,"Skype - iOS",,""
"This version of Skype is not supported.",,"Denne versjonen av Skype støttes ikke.",,"None",,"All",,"Skype - iOS",,""
"Update to the latest version of Skype to continue.",,"Oppdater til den nyeste versjonen av Skype for å fortsette.",,"None",,"All",,"Skype - iOS",,""
"New contact request from %@.",,"Ny kontaktforespørsel fra %@.",,"None",,"All",,"Skype - iOS",,""
"Call from %@",,"Samtale fra %@",,"None",,"All",,"Skype - iOS",,""
"Group call from %@",,"Konferansesamtale fra %@",,"None",,"All",,"Skype - iOS",,""
"Missed group call from %@",,"Tapt gruppesamtale fra %@",,"None",,"All",,"Skype - iOS",,""
"Missed call from %@.",,"Tapt anrop fra %@.",,"None",,"All",,"Skype - iOS",,""
"Video message from %@.",,"Videomelding fra %@.",,"None",,"All",,"Skype - iOS",,""
"Video call from %@",,"Videosamtale fra %@",,"None",,"All",,"Skype - iOS",,""
