PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Play",,"Spill av",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Open Custom link",,"Åpne egendefinert kobling",,"None",,"All",,"Skype Cast Attendee 2015",,""
"An error occurred while processing your request.",,"Kan ikke behandle innkallelsen din.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Not started",,"Ikke startet",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Leave",,"Forlat",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Right panel tab for ",,"Høyre panelfane for ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"The broadcast will start in a moment",,"Kringkastingen starter snart",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Click to toggle the navigation dropdown menu",,"Klikk for å aktivere/deaktivere rullegardinmenyen for navigasjon",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Live",,"Live",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Yammer",,"Yammer",,"None",,"All",,"Skype Cast Attendee 2015",,""
"We're connecting you to the broadcast",,"Vi kobler deg til kringkastingen",,"None",,"All",,"Skype Cast Attendee 2015",,""
"The broadcast wasn’t found.",,"Finner ikke kringkasting.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Sign Out",,"Logg av",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Pulse",,"Pulse",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Click to toggle the right panel",,"Klikk for å aktivere/deaktivere høyre panel",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Captions",,"Teksting",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Skype for Business",,"Skype for Business",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Please enable cookies in your browser settings to ensure all functionality is available.",,"Aktiver informasjonskapsler i nettleserinnstillingene for å sikre at all funksjonalitet er tilgjengelig.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"We're getting the video recording",,"Vi henter videoopptaket",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Join",,"Bli med",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Open Support link",,"Åpne kundestøttekobling",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Ended",,"Avsluttet",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Pause",,"Pause",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Privacy & cookies",,"Personvern og informasjonskapsler",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Support",,"Støtte",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Error :(",,"Feil :(",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Q&A",,"Spørsmål og svar&S",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Please install or enable Adobe Flash Player",,"Installer eller aktiver Adobe Flash Player",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Captions Off",,"Slå av tekst",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Get Adobe Flash player",,"Skaff deg Adobe Flash Player",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Selected",,"Valgt",,"None",,"All",,"Skype Cast Attendee 2015",,""
"An unknown error has occurred.",,"Det har oppstått en ukjent feil.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Meeting series",,"Møteserie",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Anonymous User",,"Anonym bruker",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Bottom panel tab for ",,"Nedre panelfane for ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Sorry, you’re not allowed to attend this meeting. Please contact the meeting organizer.",,"Du har ikke tillatelse til å bli med i dette møtet. Kontakt møtearrangøren.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Meeting Broadcast",,"Møtekringkasting",,"None",,"All",,"Skype Cast Attendee 2015",,""
