PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Cancel",,"Avbryt",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Select an app for the right panel",,"Velg en app for høyre panel",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Add a start time",,"Legg til et starttidspunkt",,"None",,"All",,"Skype Cast Organizer 2016",,""
"This meeting’s video was published to Office 365",,"Videoen av dette møtet ble publisert til Office 365",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Checking a few things. We'll get your meetings in a bit.",,"Vi sjekker et par ting. Vi henter møtene dine snart.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Attendee page settings",,"Innstillinger for deltakerside",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Transcription and translation is enabled",,"Transkripsjon og oversettelse er aktivert",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The start time is later than the end time.",,"Starttidspunktet er senere enn sluttidspunktet.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Note: captions are currently not available in full screen video",,"Merk: Tekst er ikke tilgjengelig for video i fullskjerm",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Create Outlook invitation",,"Opprett Outlook-invitasjon",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Video title",,"Navn på video",,"None",,"All",,"Skype Cast Organizer 2016",,""
"only attendees listed below can join the meeting",,"bare deltakere som er oppført nedenfor, kan bli med i møtet",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting details couldn't be retrieved.",,"Kan ikke hente møtedetaljene.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Delete",,"Slett",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Recover this meeting",,"Gjenopprett dette møtet",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting request is empty.",,"Møteinnkallelsen er tom.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Create a video recording for download",,"Opprett et videoopptak som kan lastes ned",,"None",,"All",,"Skype Cast Organizer 2016",,""
"BroadcastMeeting.ics",,"Møtekringkasting.ics",,"None",,"All",,"Skype Cast Organizer 2016",,""
"View published video",,"Vis den publiserte videoen",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Edit meeting details",,"Rediger møtedetaljer",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You don't have any meetings this month.",,"Du har ingen møter denne måneden.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Delete this meeting?",,"Vil du slette dette møtet?",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The attendee is empty",,"Mangler deltakere",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You don't have permission to create meetings",,"Du har ikke tillatelse til å opprette møter",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Video recording was enabled",,"Videoopptak var aktivert",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The support code couldn't be created.",,"Kan ikke opprette kundestøttekoden.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"No custom link",,"Ingen egendefinert kobling",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Done",,"Ferdig",,"None",,"All",,"Skype Cast Organizer 2016",,""
"are already in the event team",,"er allerede med i arrangementsteamet",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Give attendees access to content related to this meeting or provide contact links.",,"Gi deltakere tilgang til innhold som er relatert til møtet, eller gi kontaktkoblinger.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The account information wasn't found.",,"Finner ikke kontoopplysningene.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Empty ETag",,"Mangler ETag",,"None",,"All",,"Skype Cast Organizer 2016",,""
"One or more event team member' email addresses are empty",,"Mangler en eller flere av e-postadressene til medlemmene av arrangementsteamet",,"None",,"All",,"Skype Cast Organizer 2016",,""
"We have exciting news--our production environment is ready for new broadcasts! ",,"Vi har spennende nyheter – produksjonsmiljøet vårt er klart for nye kringkastinger. ",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Reports",,"Rapporter",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Couldn't find:",,"Finner ikke:",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Access",,"Tilgang",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Right panel app",,"Høyre panelapp",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Not started",,"Ikke startet",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Getting the link to the meeting recording...",,"Henter koblingen til innspillingen av møtet ...",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You can customize the attendee page to include audience participation apps and add supporting links.",,"Du kan tilpasse deltakersiden slik at den inneholder apper for deltakelse og legge til koblinger til støtte.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting name is too long. Please shorten it.",,"Møtenavnet er for langt. Det må forkortes.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"email or alias of each event team member",,"e-postadresse eller alias til alle medlemmene av arrangementsteamet",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec",,"jan,feb,mar,mai,jun,jul,aug,sep,okt,nov,des",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Pulse ID",,"ID for Pulse",,"None",,"All",,"Skype Cast Organizer 2016",,""
"appears below the video player.",,"vises nedenfor videospilleren.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Media distribution",,"Mediedistribusjon",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting resource couldn't be retrieved.",,"Kan ikke hente møteressursen.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The transcription couldn't be retrieved.  Please verify that someone was speaking and unmuted during the broadcast.",,"Kan ikke hente transkripsjon.  Kontroller at noen snakket, og ikke var dempet, under kringkastingen.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Translate the broadcast into:",,"Oversett det som blir kringkastet til:",,"None",,"All",,"Skype Cast Organizer 2016",,""
"This will still be the place to access recordings and reports for meetings scheduled in the past, ",,"Dette er fortsatt stedet hvor du får tilgang til opptak og rapporter for tidligere møter, ",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Invalid email or alias",,"Ugyldig e-postadresse eller alias",,"None",,"All",,"Skype Cast Organizer 2016",,""
"the ID for your Pulse event.",,"ID-en for Pulse-arrangementet.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting can't be found.",,"Finner ikke møtet.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Give attendees access to support and troubleshooting information for your company.",,"Gi deltakere tilgang til informasjon om kundestøtte og feilsøking for firmaet.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"No attendees invited",,"Det er ikke invitert noen deltakere",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Link text",,"Koblingstekst",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Your company policy doesn't allow you to use Skype Meeting Broadcast. Check with your system admin to make sure the service is enabled and that you have the correct license.",,"Firmaets policy tillater ikke at du bruker Skype-møtekringkasting. Kontakt systemansvarlig for å sjekke om tjenesten er aktivert, og at du har riktig lisens.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Add a meeting name.",,"Legg til et møtenavn.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Note: if you can't access the new location, check with your system admin to make sure the service is enabled and that you have the correct license.",,"Hvis du ikke får tilgang til det nye stedet, kan du høre med systemansvarlig for å kontrollere at tjenesten er aktivert, og at du har riktig lisens.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The video title is too long, it needs to be 256 characters or less.",,"Navnet på videoen er for langt. Det kan ikke bestå av flere enn 256 tegn.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Update",,"Oppdater",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Live",,"Live",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Troubleshooting link",,"Feilsøkingskobling",,"None",,"All",,"Skype Cast Organizer 2016",,""
"A downloadable recording of the meeting is being created. Check back soon.",,"Et nedlastbart opptak av møtet opprettes. Kom tilbake snart.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Yammer",,"Yammer",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Video recording is not enabled",,"Videoopptak er ikke aktivert",,"None",,"All",,"Skype Cast Organizer 2016",,""
"All Company (requires sign-in)",,"Alle firma (krever pålogging)",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Empty join url",,"Mangler kobling for å bli med",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Post-meeting summary",,"Sammendrag fra møte",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Members",,"Medlemmer",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Invitation only (requires sign-in)",,"Kun invitasjon (krever pålogging)",,"None",,"All",,"Skype Cast Organizer 2016",,""
"person or group",,"person eller gruppe",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Attendee can't be added. Please check the email address or alias.",,"Kan ikke legge til deltaker. Kontroller e-postadressen eller aliaset.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The Q&A couldn't be created.",,"Kan ikke opprette spørsmål og svar.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Show",,"Vis",,"None",,"All",,"Skype Cast Organizer 2016",,""
"All content associated with this meeting including the attendee report, Q&A history, and recording will be deleted. Are you sure you want to continue?",,"Alt innhold tilknyttet dette møtet, inkludert deltakerrapport, logg for spørsmål og svar og opptak, slettes. Er du sikker på at du vil fortsette?",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Visit <a href='https://login.engage.ms' target='_blank' rel='noopener noreferrer'>Microsoft Pulse</a> site to create, manage and access Pulse polls.",,"Gå til <a href='https://login.engage.ms' target='_blank' rel='noopener noreferrer'>Microsoft Pulse</a>-nettstedet for å opprette, administrere og få tilgang til Pulse-undersøkelser.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Software-Defined Network is enabled",,"Programvaredefinert nettverk (SDN) er aktivert",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Event team",,"Arrangementsteam",,"None",,"All",,"Skype Cast Organizer 2016",,""
"is already in the event team",,"er allerede med i arrangementsteamet",,"None",,"All",,"Skype Cast Organizer 2016",,""
"MeetingReport.csv",,"Møterapport.csv",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Make video on demand available after the meeting",,"Gjør behovsbasert video tilgjengelig etter møtet",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Something happened while looking up the account information.",,"Det skjedde noe da vi lette etter kontoinformasjonen.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"There was an error signing in. Please sign out and try again.",,"Kan ikke logge på. Logg av og deretter på igjen.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The organizer is already part of the event team",,"Møtearrangøren er allerede med i arrangementsteamet",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Start Date",,"Startdato",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Your Yammer group should be public or have the same security access as your meeting.",,"Yammer-gruppen må være offentlig eller ha samme sikkerhetstilgang som møtet.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Tell us how we're doing!",,"Gi oss tilbakemelding.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Sun,Mon,Tue,Wed,Thu,Fri,Sat",,"søn,man,tir,ons,tor,fre,lør",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Upload the meeting recording to an Office 365 Video channel to be viewed on demand.",,"Last opp møteinnspillingen til en Office 365 Video-kanal, slik at den kan vises når som helst.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Invalid organizer.",,"Ugyldig arrangør",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting access level isn't valid.",,"Tilgangsnivået for møtet er ikke gyldig.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Empty user name list",,"Tom liste over brukernavn",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",,"søndag,mandag,tirsdag,onsdag,torsdag,fredag,lørdag",,"None",,"All",,"Skype Cast Organizer 2016",,""
"No event team members added",,"Det er ikke lagt til noen medlemmer av arrangementsteamet",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Manage attendee access",,"Administrer deltakertilgang",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Deleted the meeting successfully",,"Møtet ble slettet",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Attendees",,"Deltakere",,"None",,"All",,"Skype Cast Organizer 2016",,""
"hour",,"time",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting report couldn't be created.",,"Kan ikke opprette møterapporten.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Sign out",,"Logg av",,"None",,"All",,"Skype Cast Organizer 2016",,""
""Example: \""What do you think?\"""",,"Eksempel: Hva synes du?",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Select any live or upcoming meeting to view its dashboard and information.",,"Velg et live eller kommende møte for å vise instrumentbord og informasjon for møtet.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"New meeting",,"Nytt møte",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Pulse Account",,"Pulse-konto",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Transcription and translation was not enabled",,"Transkripsjon og oversettelse ble ikke aktivert",,"None",,"All",,"Skype Cast Organizer 2016",,""
"A moderated Q&A session where people can choose to participate anonymously or not.",,"En sensurert økt for spørsmål og svar hvor andre kan velge å bli med anonymt eller ikke.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Download links aren't available because there was no broadcast for this meeting.",,"Nedlastingskoblinger er ikke tilgjengelige fordi det ikke var noen kringkasting for dette møtet.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Take the survey",,"Ta undersøkelsen",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Publishing of this meeting’s video to Office 365 is in progress",,"Videoen av dette møtet er i ferd med å bli publisert til Office 365",,"None",,"All",,"Skype Cast Organizer 2016",,""
