PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"a month",,"en måned",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a minute",,"et minutt",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d months",,"%d måneder",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d minutes",,"%d minutter",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a day",,"en dag",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d days",,"%d dager",,"None",,"All",,"Skype Cast Q&A 2016",,""
"in %s",,"om %s",,"None",,"All",,"Skype Cast Q&A 2016",,""
"an hour",,"en time",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d hours",,"%d timer",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%s ago",,"for %s siden",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a few seconds",,"et par sekunder",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a year",,"et år",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d years",,"%d år",,"None",,"All",,"Skype Cast Q&A 2016",,""
"We are unable to authorize you for this Q&A. Kindly logout and login again with the correct account.",,"Vi kan ikke gi deg tilgang til spørsmål og svar. Logg deg på på nytt med den riktige kontoen.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Unable to find the Q&A.",,"Finner ikke spørsmål og svar.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"add an answer",,"legg til et svar",,"None",,"All",,"Skype Cast Q&A 2016",,""
"all",,"alle",,"None",,"All",,"Skype Cast Q&A 2016",,""
"announce",,"kunngjør",,"None",,"All",,"Skype Cast Q&A 2016",,""
"anonymous user",,"anonym bruker",,"None",,"All",,"Skype Cast Q&A 2016",,""
"announcement",,"kunngjøring",,"None",,"All",,"Skype Cast Q&A 2016",,""
"message sent.",,"melding sendt.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"question added.",,"spørsmål er lagt til.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"question broadcasted.",,"spørsmål er kringkastet.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"answer.",,"svar.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"response added.",,"svar er lagt til.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"total question count.",,"totalt antall spørsmål.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"unread question count.",,"antall uleste spørsmål.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"this message was broadcasted",,"denne meldingen er kringkastet",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Question from {0}",,"Spørsmål fra {0}",,"None",,"All",,"Skype Cast Q&A 2016",,""
"reply from {0}",,"svar fra {0}",,"None",,"All",,"Skype Cast Q&A 2016",,""
"tabs",,"faner",,"None",,"All",,"Skype Cast Q&A 2016",,""
"ask",,"still et spørsmål",,"None",,"All",,"Skype Cast Q&A 2016",,""
"ask anonymously",,"still et anonymt spørsmål",,"None",,"All",,"Skype Cast Q&A 2016",,""
"ask as",,"still et spørsmål som",,"None",,"All",,"Skype Cast Q&A 2016",,""
"broadcast",,"kringkast",,"None",,"All",,"Skype Cast Q&A 2016",,""
"message to broadcast",,"melding som skal kringkastes",,"None",,"All",,"Skype Cast Q&A 2016",,""
"add the response",,"legg til svaret",,"None",,"All",,"Skype Cast Q&A 2016",,""
"cancel",,"avbryt",,"None",,"All",,"Skype Cast Q&A 2016",,""
"close qna",,"lukk spørsmål og svar",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Are you sure you want to delete this announcement?",,"Er du sikker på at du vil slette denne kunngjøringen?",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Delete Announcement",,"Slett kunngjøring",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Are you sure you want to delete this post?",,"Er du sikker på at du vil slette dette innlegget?",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Delete Post",,"Slett innlegg",,"None",,"All",,"Skype Cast Q&A 2016",,""
"delete",,"slett",,"None",,"All",,"Skype Cast Q&A 2016",,""
"edited by a moderator",,"redigert av en sensuransvarlig",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Unexpected error. Please reload the page to access Q&A.",,"Uventet feil. Last inn siden på nytt for å få tilgang til spørsmål og svar.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"hide read",,"skjul leste",,"None",,"All",,"Skype Cast Q&A 2016",,""
"include user name",,"inkluder brukernavn",,"None",,"All",,"Skype Cast Q&A 2016",,""
"false",,"false",,"None",,"All",,"Skype Cast Q&A 2016",,""
"en-US",,"nb-NO",,"None",,"All",,"Skype Cast Q&A 2016",,""
"mark read",,"marker som lest",,"None",,"All",,"Skype Cast Q&A 2016",,""
"mark unread",,"marker som ulest",,"None",,"All",,"Skype Cast Q&A 2016",,""
"The meeting has not started yet.",,"Møtet har ikke startet ennå.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"moderator",,"moderator",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Multiple moderators are replying to this post...",,"Flere sensuransvarlige svarer på dette innlegget ...",,"None",,"All",,"Skype Cast Q&A 2016",,""
"my questions",,"mine spørsmål",,"None",,"All",,"Skype Cast Q&A 2016",,""
"your name (optional)",,"navnet ditt (valgfritt)",,"None",,"All",,"Skype Cast Q&A 2016",,""
"ask a question",,"still et spørsmål",,"None",,"All",,"Skype Cast Q&A 2016",,""
"open qna",,"åpne spørsmål og svar",,"None",,"All",,"Skype Cast Q&A 2016",,""
"This Q&A is currently closed.",,"Spørsmål og svar er lukket.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"The connection to the server is lost. Trying to reconnect...",,"Tilkoblingen til serveren er brutt. Prøv å koble til på nytt ...",,"None",,"All",,"Skype Cast Q&A 2016",,""
"reply",,"svar",,"None",,"All",,"Skype Cast Q&A 2016",,""
"send",,"send",,"None",,"All",,"Skype Cast Q&A 2016",,""
"show read",,"vis leste",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Skype Q&A",,"Spørsmål og svar for Skype",,"None",,"All",,"Skype Cast Q&A 2016",,""
"top",,"mest populære",,"None",,"All",,"Skype Cast Q&A 2016",,""
"unread",,"ulest",,"None",,"All",,"Skype Cast Q&A 2016",,""
"{0} is replying to this post...",,"{0} svarer på dette innlegget ...",,"None",,"All",,"Skype Cast Q&A 2016",,""
