PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Your group name must consist of more than just identical letters",,"Gruppenavnet kan ikke bare bestå av like bokstaver",,"None",,"All",,"Skype Manager",,""
"Group name is too long (max length 40 characters)",,"Gruppenavnet er for langt (maks. lengde er 40 tegn)",,"None",,"All",,"Skype Manager",,""
"Your group name cannot contain only numbers",,"Gruppenavnet kan ikke bare inneholde tall",,"None",,"All",,"Skype Manager",,""
"Group name is too short (min length 2 characters)",,"Gruppenavnet er for kort (min. lengde er 2 tegn)",,"None",,"All",,"Skype Manager",,""
"Due to recent changes to Saudi Arabian tax requirements, from 1st January 2018 Skype will include Value Added Tax (VAT) for Saudi Arabia customers purchases of Skype paid products.",,"På grunn av nylige endringer i Saudi-Arabias avgiftskrav, inkluderer Skype merverdiavgift (MVA) på kjøp av Skype-produkter for kunder i Saudi-Arabia fra 1. januar 2018.",,"None",,"All",,"Skype Manager",,""
"Due to recent changes to United Arab Emirates tax requirements, from 1st January 2018 Skype will include Value Added Tax (VAT) for United Arab Emirates customers purchases of Skype paid products.",,"På grunn av nylige endringer i De forente arabiske emiraters avgiftskrav, inkluderer Skype merverdiavgift (MVA) på kjøp av Skype-produkter for kunder i De forente arabiske emirater fra 1. januar 2018.",,"None",,"All",,"Skype Manager",,""
"Allocated to",,"Tildelt til",,"None",,"All",,"Skype Manager",,""
"Amount",,"Beløp",,"None",,"All",,"Skype Manager",,""
"Group",,"Gruppe",,"None",,"All",,"Skype Manager",,""
"Destination",,"Mål",,"None",,"All",,"Skype Manager",,""
"Email",,"E-post",,"None",,"All",,"Skype Manager",,""
"Skype Name",,"Skype-navn",,"None",,"All",,"Skype Manager",,""
"Member",,"Medlem",,"None",,"All",,"Skype Manager",,""
"Outbound call",,"Utgående samtale",,"None",,"All",,"Skype Manager",,""
"Conference",,"Konferanse",,"None",,"All",,"Skype Manager",,""
"Call Forwarded",,"Samtale viderekoblet",,"None",,"All",,"Skype Manager",,""
"Skype To Go call",,"Skype To Go-samtale",,"None",,"All",,"Skype Manager",,""
"Transferred",,"Overført",,"None",,"All",,"Skype Manager",,""
"Unknown",,"Ukjent",,"None",,"All",,"Skype Manager",,""
"(forwarded: {FORWARDED_TO})",,"(viderekoblet: {FORWARDED_TO})",,"None",,"All",,"Skype Manager",,""
"From: {CALLER_NUMBER} {LINE_BREAK}To: {CALLED_NUMBER}",,"Fra: {CALLER_NUMBER} {LINE_BREAK}Til: {CALLED_NUMBER}",,"None",,"All",,"Skype Manager",,""
"Inbound call to Skype Number",,"Innkommende anrop til Skype-nummer",,"None",,"All",,"Skype Manager",,""
"Inbound call to SIP Profile",,"Innkommende samtale til SIP-profil",,"None",,"All",,"Skype Manager",,""
"Forwarded Inbound call",,"Viderekoblet innkommende samtale",,"None",,"All",,"Skype Manager",,""
"Skype Number will be available in a few minutes.",,"Skype-nummer vil bli tilgjengelig om noen minutter.",,"None",,"All",,"Skype Manager",,""
"Channel subscription will be available in a few minutes.",,"Kanalabonnement blir tilgjengelig om noen minutter.",,"None",,"All",,"Skype Manager",,""
"Skype Premium will be available soon.",,"Skype Premium blir snart tilgjengelig.",,"None",,"All",,"Skype Manager",,""
"Subscription will be available in a few minutes.",,"Abonnement blir tilgjengelig om noen minutter.",,"None",,"All",,"Skype Manager",,""
"Voice messaging will be available in a few minutes.",,"Talepost blir tilgjengelig om noen minutter.",,"None",,"All",,"Skype Manager",,""
"Less than previous month",,"Mindre enn forrige måned",,"None",,"All",,"Skype Manager",,""
"More than previous month",,"Mer enn forrige måned",,"None",,"All",,"Skype Manager",,""
"Accept",,"Godkjenn",,"None",,"All",,"Skype Manager",,""
"Activate",,"Aktiver",,"None",,"All",,"Skype Manager",,""
"Activate / change",,"Aktiver/endre",,"None",,"All",,"Skype Manager",,""
"Add",,"Legg til",,"None",,"All",,"Skype Manager",,""
"Add another email address",,"Legg til enda en e-postadresse",,"None",,"All",,"Skype Manager",,""
"Add new subscription",,"Legg til nytt abonnement",,"None",,"All",,"Skype Manager",,""
"Add to Skype contact list",,"Legg til i Skype-kontaktliste",,"None",,"All",,"Skype Manager",,""
"I want to access the reports",,"Jeg vil ha tilgang til rapportene",,"None",,"All",,"Skype Manager",,""
"Agree",,"Godta",,"None",,"All",,"Skype Manager",,""
"Allocate / change subscriptions",,"Tildel/endre abonnementer",,"None",,"All",,"Skype Manager",,""
"Allocate a Skype Number",,"Tildel et Skype-nummer",,"None",,"All",,"Skype Manager",,""
"Allocate group video calling",,"Tildel gruppevideosamtaler",,"None",,"All",,"Skype Manager",,""
"Allocate Skype Premium",,"Tildel Skype Premium",,"None",,"All",,"Skype Manager",,""
"Allocate subscriptions",,"Tildel abonnementer",,"None",,"All",,"Skype Manager",,""
"Buy now and make changes",,"Kjøp nå og foreta endringer",,"None",,"All",,"Skype Manager",,""
"Buy credit",,"Kjøp kredit",,"None",,"All",,"Skype Manager",,""
"Buy more credit",,"Kjøp mer kredit",,"None",,"All",,"Skype Manager",,""
"Buy a Skype Number",,"Kjøp et Skype-nummer",,"None",,"All",,"Skype Manager",,""
"Buy now and reactivate profile",,"Kjøp nå og aktiver profilen på nytt",,"None",,"All",,"Skype Manager",,""
"I’ve changed my mind",,"Jeg har ombestemt meg",,"None",,"All",,"Skype Manager",,""
"Cancel",,"Avbryt",,"None",,"All",,"Skype Manager",,""
"Cancel US minute bundles",,"Avslutt minuttpakker til USA",,"None",,"All",,"Skype Manager",,""
"Cancel requests",,"Avbryt forespørslene",,"None",,"All",,"Skype Manager",,""
"Cancel group video calling",,"Avbryt gruppevideosamtaler",,"None",,"All",,"Skype Manager",,""
"Cancel Skype Premium",,"Si opp Skype Premium",,"None",,"All",,"Skype Manager",,""
"Cancel subscriptions",,"Avbryt abonnementer",,"None",,"All",,"Skype Manager",,""
"Cancel voicemail",,"Avbryt talepost",,"None",,"All",,"Skype Manager",,""
