PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Chat",,"Chat",,"Text",,"All",,"SkypeSpaces - iOS",,""
"This message has been edited.",,"Denne meldingen har blitt redigert.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Go to {0} team,  {1} channel",,"Gå til {0}-teamet, {1}-kanalen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Channel was mentioned",,"Kanalen ble omtalt",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Team was mentioned",,"Teamet ble omtalt",,"Text",,"All",,"SkypeSpaces - iOS",,""
"You were mentioned",,"Du ble omtalt",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message copied",,"Melding kopiert",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message deleted",,"Melding slettet",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message liked",,"Melding likt",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message unliked",,"Liker ikke melding",,"Text",,"All",,"SkypeSpaces - iOS",,""
"This user has been muted.",,"Denne brukeren er dempet.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"User muted",,"Bruker dempet",,"Text",,"All",,"SkypeSpaces - iOS",,""
"User unmuted",,"Demping av bruker opphevet",,"Text",,"All",,"SkypeSpaces - iOS",,""
"email",,"e-post",,"Text",,"All",,"SkypeSpaces - iOS",,""
"password",,"passord",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign in",,"Logg på",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign In Error",,"Feil ved pålogging",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign in to get started.",,"Logg på for å komme i gang.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign out",,"Logg av",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Are you sure you want to sign out?",,"Er du sikker på at du vil logge av?",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Signing in...",,"Logger på ...",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Signing out...",,"Logger av ...",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Missed call",,"Tapt anrop",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Voicemail",,"Telefonsvarer",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Activity",,"Aktivitet",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Started a new conversation in {0}",,"Startet en ny samtale i {0}",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Reply to conversation in {0}",,"Svar på samtale i {0}",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add Channel",,"Legg til kanal",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Please check your network connection and try again",,"Kontroller nettverkstilkoblingen, og prøv på nytt",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add Members",,"Legg til medlemmer",,"Text",,"All",,"SkypeSpaces - iOS",,""
"%@ added %@ to the conversation",,"%@ la til %@ i samtalen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"We couldn't add members.",,"Vi kan ikke legge til medlemmer.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"%@ added %@ to the meeting",,"%@ la til %@ til møtet",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Invite new user",,"Inviter ny bruker",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add people to the meeting.",,"Legg til personer i møtet.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add people",,"Legg til personer",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add Team",,"Legg til team",,"Text",,"All",,"SkypeSpaces - iOS",,""
"The team name you've chosen contains a word that can't be used.",,"Teamnavnet inneholder et ord som ikke kan brukes.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Cancel",,"Avbryt",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Classification",,"Klassifisering",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Done",,"Fullført",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Name will appear as:",,"Navnet vises som:",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add:",,"Legg til:",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Skip",,"Hopp over",,"Text",,"All",,"SkypeSpaces - iOS",,""
"The team name you've chosen is not valid.",,"Teamnavnet du har valgt er ikke gyldig.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Please check your network connection and try again",,"Kontroller nettverkstilkoblingen og prøv på nytt",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Privacy",,"Personvern",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Private",,"Privat",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Only team owners can add members",,"Bare teameiere kan legge til medlemmer",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Public",,"Offentlig",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Anyone in your org can discover and join",,"Alle i organisasjonen din kan finne og bli med i teamet",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Create team",,"Opprett team",,"Text",,"All",,"SkypeSpaces - iOS",,""
"See your organization's guidelines",,"Se organisasjonens retningslinjer",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Tap the star to add a team to your favorites",,"Trykk på stjernen for å legge et team i favoritter",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Admit all",,"Gi alle tilgang",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Admit",,"Gi tilgang",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Error",,"Feil",,"Text",,"All",,"SkypeSpaces - iOS",,""
"All",,"Alle",,"Text",,"All",,"SkypeSpaces - iOS",,""
"All day",,"Hele dagen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"All day meetings",,"Heldagsmøter",,"Text",,"All",,"SkypeSpaces - iOS",,""
"By joining this meeting you have consented to be recorded. Click here for",,"Når du blir med i dette møtet, samtykker du til å bli tatt opp. Klikk her for",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Answer call",,"Svar på anrop",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Microsoft Teams logo.",,"Microsoft Teams-logo.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Microsoft Teams",,"Microsoft Teams",,"Text",,"All",,"SkypeSpaces - iOS",,""
"app on iOS",,"program på iOS",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Not now",,"Ikke nå",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sure",,"Klart det",,"Text",,"All",,"SkypeSpaces - iOS",,""
"An update is required",,"En oppdatering er nødvendig",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Install update",,"Installer oppdateringen",,"Text",,"All",,"SkypeSpaces - iOS",,""
"An update is available",,"En oppdatering er tilgjengelig",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Please update to the latest version.",,"Oppdater til den nyeste versjonen.",,"Text",,"All",,"SkypeSpaces - iOS",,""
