PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Add channel",,"Legg til kanal",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Add member",,"Legg til medlem",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Audio",,"Lyd",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"No Audio, echo, noise...",,"Ingen lyd, ekko, støy ...",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Speech wasn\'t natural or sounded distorted",,"Talen var ikke naturlig, eller hørtes fordreid ut",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The call ended unexpectedly",,"Samtalen ble uventet avsluttet",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I heard an echo in the call  ",,"Jeg hørte et ekko i samtalen  ",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"We kept interrupting each other",,"Vi avbrøt hverandre gang på gang",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I could not invite someone into the call​",,"Jeg kunne ikke invitere noen til samtalen",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Volume was low",,"Volumet var lavt",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I couldn\'t hear any sound",,"Jeg kunne ikke høre noen ting",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The other side couldn\'t hear any sound ",,"Den andre personen kunne ikke høre noe ",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I heard noise in the call",,"Jeg hørte støy i samtalen",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"People had trouble joining the call​",,"Andre hadde problemer med å bli med i samtalen",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call Feedback",,"Tilbakemelding for samtale",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call Rating",,"Samtalevurdering",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$d star",,"%1$d stjerne",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Rating Star",,"Stjerne for vurdering",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
