PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Oops page showing due to debug flag",,"Uff da, siden viser feilsøker snart-flagg",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"We will be retiring this app on Nov 29, 2018. Get our Win32 app.",,"Vi trekker tilbake denne appen den 29. november 2018. Skaff deg Win32-appen.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"We will be retiring this app on Nov 29, 2018. Please bookmark our Web App and continue using Teams.",,"Vi trekker tilbake denne appen den 29. november 2018. Legg til nettappen vår i bokmerkene dine og fortsett å bruke Teams.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Download now!",,"Last ned nå!",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Go to Web App!",,"Gå til nettappen!",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"D'oh! Something went wrong...",,"Noe gikk galt ...",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Your app has been successfully updated to version {0} on {1}.",,"Appen har blitt oppdatert til versjon {0} den {1}.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"App Updated",,"App oppdatert",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Could not connect to Account Provider. Please check your connection and try again.",,"Kan ikke koble til kontoleverandøren. Kontroller tilkoblingen og prøv på nytt.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Unexpected user credentials. Please try to log in again.",,"Uventet brukerlegitimasjon. Prøv å logge inn på nytt.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
