PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"About Skype TX",,"Om Skype TX",,"Button",,"All",,"Skype TX Client V2",,""
"Switch user",,"Bytt bruker",,"Button",,"All",,"Skype TX Client V2",,""
"My Account online",,"Min konto på nettet",,"Button",,"All",,"Skype TX Client V2",,""
"Exit Skype TX",,"Avslutt Skype TX",,"Button",,"All",,"Skype TX Client V2",,""
"Sign in with saved user credentials",,"Logg på med lagret brukerlegitimasjon",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Remove user and forget saved credentials",,"Fjern bruker og slett lagret brukerlegitimasjon",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Main Menu",,"Hovedmeny",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Sign in with a different username and password",,"Logg på med et annet brukernavn og passord",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"For more information about",,"Hvis du vil ha mer informasjon om",,"Text",,"All",,"Skype TX Client V2",,""
"using Skype in Media visit",,"å bruke Skype in Media, kan du gå til",,"Text",,"All",,"Skype TX Client V2",,""
"media.skype.com",,"media.skype.com",,"Text",,"All",,"Skype TX Client V2",,""
"Broadcast Terms of Service",,"Vilkår for bruk for kringkasting",,"Text",,"All",,"Skype TX Client V2",,""
"Privacy Statement",,"Personvernerklæring",,"Text",,"All",,"Skype TX Client V2",,""
