PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Share button language",,"Språk for delingsknapp",,"None",,"All",,"Skype Web App",,""
"Show share button at",,"Vis delingsknappen",,"None",,"All",,"Skype Web App",,""
"both bottom and top",,"både nederst og øverst",,"None",,"All",,"Skype Web App",,""
"bottom of article",,"nederst i artikkelen",,"None",,"All",,"Skype Web App",,""
"top of article",,"øverst i artikkelen",,"None",,"All",,"Skype Web App",,""
"Button style",,"Knappestil",,"None",,"All",,"Skype Web App",,""
"Circle Icon",,"Rundt ikon",,"None",,"All",,"Skype Web App",,""
"Large Share",,"Stor tekst",,"None",,"All",,"Skype Web App",,""
"Small Share",,"Liten tekst",,"None",,"All",,"Skype Web App",,""
"Square Icon",,"Firkantet ikon",,"None",,"All",,"Skype Web App",,""
"Enable share button",,"Aktiver delingsknapp",,"None",,"All",,"Skype Web App",,""
"Learn more, check out the {href_start}FAQ{href_end}.",,"Lær mer, se {href_start}vanlige spørsmål{href_end}.",,"None",,"All",,"Skype Web App",,""
"Get people sharing and talking about your website on Skype. We've made it faster and easier for people to share content from your site, straight into a Skype chat. It is easy to integrate and supports both desktop and mobile sites.",,"Få andre til å dele og snakke om nettstedet ditt på Skype. Vi har gjort det raskere og enklere for andre å dele innhold fra nettstedet ditt rett i en Skype-chat. Det er enkelt å integrere og støtter både mobil- og skrivebordsversjoner av nettsteder.",,"None",,"All",,"Skype Web App",,""
"Skype share button options",,"Alternativer for delingsknappen for Skype",,"None",,"All",,"Skype Web App",,""
"Skype share button",,"Delingsknappen for Skype",,"None",,"All",,"Skype Web App",,""
"Settings",,"Innstillinger",,"None",,"All",,"Skype Web App",,""
"Your use of Skype buttons is subject to the {href_start}Terms of Use{href_end}.",,"Bruken din av Skype-knapper er underlagt {href_start}bruksvilkårene{href_end}.",,"None",,"All",,"Skype Web App",,""
""Accessibility label describing how many mutual friends the contact has with the current user. {Locked=""{count}""}"",,""Tilgjengelighetsetikett som beskriver hvor mange felles venner kontakten har med den nåværende brukeren. {Locked = ""{count}""}"",,"None",,"All",,"Skype Web App",,""
"An accessibility label for the invisible container which contains a history of the notifications announced by the screen reader (like 'Message sent.')",,"En tilgjengelighetsetikett for den usynlige beholderen som inneholder en logg over varslene som er annonsert av skjermleseren (for eksempel Meldingen er sendt.)",,"None",,"All",,"Skype Web App",,""
"Accept",,"Godta",,"None",,"All",,"Skype Web App",,""
"Accept the call",,"Godta samtalen",,"None",,"All",,"Skype Web App",,""
"Click to {swiftAction}",,"Klikk for å {swiftAction}",,"None",,"All",,"Skype Web App",,""
"Add to favorites",,"Legg til i favoritter",,"None",,"All",,"Skype Web App",,""
"Send",,"Send",,"None",,"All",,"Skype Web App",,""
"Delete conversation",,"Slett samtale",,"None",,"All",,"Skype Web App",,""
"Leave conversation",,"Forlat samtale",,"None",,"All",,"Skype Web App",,""
"Mark as read",,"Merk som lest",,"None",,"All",,"Skype Web App",,""
"Mark as unread",,"Merk som ulest",,"None",,"All",,"Skype Web App",,""
