PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Launching Skype for Business Client",,"Starte Skype for Business-klienten",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event. This may be temporary. Please check with your event organizer if this continues to happen.",,"Kan ikke koble deg til arrangementet. Dette er trolig en midlertidig feil. Kontakt arrangøren hvis problemet vedvarer.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"to manage the event",,"for å administrere arrangementet",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Join Meeting",,"Bli med i møte",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The link you are using to join the event isn’t valid. Please check with your event organizer.",,"Koblingen du bruker til å bli med på arrangementet, er ikke gyldig. Kontakt arrangøren.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Invalid Name or Email address",,"Ugyldig navn eller e-postadresse",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Join The Meeting",,"Bli med i møtet",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Microsoft Corporation. All rights reserved.",,"Microsoft Corporation. Med enerett.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We are having trouble helping you join as Event team member.",,"Vi har problemer med å hjelpe deg å bli med på arrangementet som medlem av arrangementsteamet.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We are having trouble activating broadcast meeting.",,"Vi har problemer med å aktivere kringkastingsmøte.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Join the event",,"Bli med på arrangementet",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Open the event dashboard",,"Åpne instrumentbordet for møtet",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"if you don't have Skype for Business installed",,"hvis du ikke har Skype for Business installert",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"English",,"Norsk",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Sorry, you don't have permission to join the meeting as event team member. Please request access from the meeting organizer or sign in using a different account.",,"Du har ikke tillatelse til å bli med på arrangementet som medlem av arrangementsteamet. Be møtearrangøren om tilgang, eller logg på med en annen konto.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Have you successfully launched the app? Feel free to close this page.",,"Har du startet appen? Du kan lukke denne siden hvis du vil.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"You're about to join the meeting ${meetingName} as a guest",,"Du er i ferd med å bli med i møtet ${meetingName} som en gjest",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event due to network issues. Please try again later.",,"Kan ikke koble deg til arrangementet på grunn av nettverksproblemer. Prøv på nytt.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event. This may be temporary. Please try it again.",,"Kan ikke koble deg til arrangementet. Dette er trolig en midlertidig feil. Prøv på nytt.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Privacy and Cookies",,"Personvern og informasjonskapsler",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Launching ...",,"Starter ...",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The operating system or browser that you are using to join the meeting is not supported.",,"Operativsystemet eller nettleseren du bruker til å bli med i møtet, støttes ikke.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Let's go!",,"Kom igjen!",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event. The meeting may have ended. Please check with your event organizer.",,"Kan ikke koble deg til arrangementet. Møtet er kanskje avsluttet. Kontakt arrangøren.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We are having trouble launching Skype For Business.",,"Vi har problemer med å starte Skype for Business.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The meeting you are trying to join has expired. Please check with the meeting organizer.",,"Møtet du prøver å bli med i, er over. Ta kontakt med møtearrangøren.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Skype for Business",,"Skype for Business",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The meeting you are trying to join can’t be found. Please check with the meeting organizer.",,"Finner ikke møtet du prøver å bli med i. Kontakt møtearrangøren.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"to see what your audience is seeing",,"for å se det møtedeltakerne ser",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Video on demand was disabled for this meeting.",,"Behovsbasert video var deaktivert for dette møtet.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Install Skype for Business and enjoy one-click join from your phone!",,"Installer Skype for Business, og gled deg over å kunne bli med fra telefonen med ett klikk.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Your session has expired. Please refresh the initial join web page.",,"Økten er utløpt. Oppdater nettsiden for bli med.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Sorry, you don't have permission to join the meeting. Please request access from the meeting organizer or sign in using a different account.",,"Du har ikke tillatelse til å bli med i møtet. Be møtearrangøren om tilgang, eller logg på med en annen konto.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Invitation from:",,"Invitasjon fra:",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Skype Meeting Broadcast",,"Skype-møtekringkasting",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The event you are trying to join can’t be found. Please check with the event organizer.",,"Finner ikke arrangementet du prøver å bli med på. Kontakt arrangøren.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Skype Meeting Broadcast Join",,"Bli med i Skype-møtekringkasting",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Supported Platforms",,"Støttede plattformer",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Can't Launch App on this device.",,"Kan ikke starte appen på denne enheten.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Sign in as event team member",,"Logg på som medlem",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Something went wrong trying to join this event. Please try again later.",,"Kan ikke bli med på dette arrangementet. Prøv på nytt.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The link you are using to join the meeting isn’t valid. Please check with your meeting organizer.",,"Koblingen du bruker til å bli med i møtet, er ikke gyldig. Kontakt møtearrangøren.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Help",,"Hjelp",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"You're about to join the meeting ${meetingName} as a member of the event team",,"Du er i ferd med å bli med i møtet ${meetingName} som medlem av arrangementsteamet",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"View as an attendee",,"Vis som en deltaker",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We are having trouble activating your meeting.",,"Vi har problemer med å aktivere møtet ditt.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Remember me",,"Husk meg",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Service busy - exceeded capacity from your IP address, please try again later.",,"Tjenesten er opptatt. Kapasiteten fra IP-adressen diner overskredet. Prøv på nytt senere.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Or if you're a member of the event team",,"Eller hvis du er medlem av arrangementsteamet:",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Join using Skype for Business Web App",,"Bli med ved hjelp av Skype for Business Web App",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The link you are using to join the event isn’t valid. Please check with your event organizer.",,"Koblingen du bruker til å bli med på arrangementet, er ikke gyldig. Kontakt arrangøren",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"click here",,"klikker du her",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
