PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"about",,"om",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"About third party components",,"Om tredjepartskomponent",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Too many results; try refining your search.",,"For mange resultater. Prøv å presisere søket.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"We can't connect to the server. Please try again later.",,"Vi kan ikke koble til serveren. Prøv på nytt senere.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"No results",,"Ingen resultater",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Please sign in to search the company directory.",,"Logg på for å søke i firmakatalogen.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Searching the company directory...",,"Søker i firmakatalogen ...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Accept",,"Godta",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Important",,"Viktig",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Sensitive",,"Sensitiv",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Unread message",,"Ulest melding",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Select status",,"Velg status",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Swipe down to dismiss",,"Dra ned for å forkaste",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"turn on Bluetooth",,"slå på Bluetooth",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"turn on speaker",,"slå på høyttaler",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"urgent interuptions only",,"bare viktige avbrytelser",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"in a call",,"i telefonen",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"in a conference call",,"i konferansesamtale",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"in a meeting",,"i møte",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"inactive",,"inaktiv",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"off work",,"ikke på jobb",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"out of office",,"fraværende",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"out to lunch",,"ute til lunsj",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"presenting",,"presentasjon",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Add Contact",,"Legg til kontakt",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"ADD TO GROUP",,"LEGG TIL I GRUPPE",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"You've been admitted. We're calling you now...",,"Du har fått tilgang. Vi ringer deg nå ...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"All Groups",,"Alle grupper",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Manage data use",,"Behandle databruk",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Anonymously join meetings options ",,"Alternativer for å bli med i møter som anonym ",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Anonymous",,"Anonym",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"CONNECTING...",,"KOBLER TIL ...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"updating...",,"oppdaterer...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Application",,"Program",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Anyone can use this app to join a Skype Meeting, but to enjoy all the features, you need a Skype for Business account and your organization must have enabled this app.",,"Alle kan bruke denne appen til å bli med i et Skype-møte. Du må imidlertid ha en Skype for Business-konto og organisasjonen må ha aktivert appen for at du skal kunne dra nytte av alle funksjonene.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Apply Settings",,"Bruk innstillinger",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"ATTENDEES",,"DELTAKERE",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Audio",,"Lyd",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"to enable voice over ip, visit settings",,"gå til innstillinger for å aktivere voice over ip",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"appear away",,"vis som borte",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"reset status",,"tilbakestill status",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"available",,"tilgjengelig",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"away",,"borte",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"be right back",,"straks tilbake",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"busy",,"opptatt",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"do not disturb",,"ikke forstyrr",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"offline",,"frakoblet",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"unknown",,"ukjent",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Send feedback",,"Send tilbakemelding",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"join",,"bli med",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"no, thanks",,"nei takk",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"next",,"neste",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"no",,"nei",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"turn off",,"slå av",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"turn on",,"slå på",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"yes",,"ja",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Call is accepted else where",,"Samtalen tas imot et annet sted",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Call Back",,"Ring tilbake",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"{0:%d} days {0:%h} hours {0:%m} minutes {0:%s} seconds",,"{0:%d} dager {0:%h} timer {0:%m} minutter {0:%s} sekunder",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"{0:%h} hours {0:%m} minutes {0:%s} seconds",,"{0:%h} timer {0:%m} minutter {0:%s} sekunder",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"{0:%m} minutes {0:%s} seconds",,"{0:%m} minutter {0:%s} sekunder",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"{0:%s} seconds",,"{0:%s} sekunder",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Call Ended - {0} [Duration: {1}]",,"Samtale avsluttet - {0} [Varighet: {1}]",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"call ended",,"samtale avsluttet",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Call Ended - {0}",,"Samtale avsluttet - {0}",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Add",,"Legg til",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"done",,"fullført",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Contact",,"Kontakt",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Your current settings:",,"Gjeldende innstillinger:",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"ENTER A NEW NUMBER",,"ANGI ET NYTT NUMMER",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Forwarding calls to:\r\n{0}",,"Viderekobler anrop til:\r\n{0}",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"All the Time",,"Hele tiden",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"During Outlook Work Hours",,"I Outlook-arbeidstiden",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Forward Calls To",,"Viderekoble anrop til",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Call forwarding is off",,"Viderekobling er av",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Forward Calls",,"Viderekoble anrop",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Incoming calls",,"Innkommende anrop",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Do Not Forward",,"Ikke viderekoble anrop",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Simultaneously Ring",,"Ring samtidig",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Call forwarding options",,"Alternativer for viderekobling",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Simultaneously ringing:\r\n{0}",,"Ringer samtidig:\r\n{0}",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Custom",,"Egendefinert",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Home {0}",,"Hjem {0}",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Mobile {0}",,"Mobil {0}",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Mobile",,"mobil",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Your Delegates",,"Dine representanter",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Your Team-call Group Members",,"Medlemmer i anropsgruppen din",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"New Contact",,"Ny kontakt",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"New Number",,"Nytt nummer",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Other {0}",,"Annet {0}",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Voice Mail",,"Telefonsvarer",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Work {0}",,"Arbeid {0}",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Call Forwarding",,"Viderekobling",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Skype for Business",,"Skype for Business",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"call {0}",,"ring {0}",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Call Started - {0}",,"Samtale startet - {0}",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"call from mobile",,"ring fra mobilen",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Please wait for Skype for Business to call you at {0}",,"Vent til Skype for Business ringer deg på {0}",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"close",,"lukk",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Connecting to {0}",,"Kobler til {0}",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"cancel call",,"avbryt anrop",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"The call couldn’t be completed. Please try again later.",,"Kan ikke ringe. Prøv på nytt.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Call status",,"Oppringningsstatus",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"retry",,"prøv på nytt",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"CALLING",,"RINGER",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Use Cellular",,"Bruk mobil",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Call options",,"Anropsalternativer",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Select how you want to make the call",,"Velg hvordan du vil utføre anropet",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Use Voip",,"Bruk VoIP",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"call",,"ring",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Calls and Meetings",,"Samtaler og møter",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
