PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Video problem",,"Videoproblem",,"None",,"All",,"Skype for Surface RT",,""
"Video problem. Send audio/video from your last call plus logs.",,"Videoproblem. Send lyd/video fra den siste samtalen pluss logger.",,"None",,"All",,"Skype for Surface RT",,""
"I accept the terms and conditions",,"Jeg godtar vilkårene og betingelsene",,"None",,"All",,"Skype for Surface RT",,""
"{0} - Press enter or space for call controls",,"{0} - trykk Enter eller mellomromstasten for anropskontroller",,"None",,"All",,"Skype for Surface RT",,""
"Call",,"Ring",,"None",,"All",,"Skype for Surface RT",,""
"Add all invitees",,"Legg til alle inviterte personer",,"None",,"All",,"Skype for Surface RT",,""
"All Invitees",,"Alle inviterte personer",,"None",,"All",,"Skype for Surface RT",,""
"Add",,"Legg til",,"None",,"All",,"Skype for Surface RT",,""
"People",,"Personer",,"None",,"All",,"Skype for Surface RT",,""
"Find someone or dial a number",,"Finn noen, eller ring et nummer",,"None",,"All",,"Skype for Surface RT",,""
"Add online participants",,"Legg til påloggede deltakere",,"None",,"All",,"Skype for Surface RT",,""
"Admit all",,"Gi alle tilgang",,"None",,"All",,"Skype for Surface RT",,""
"Admit",,"Gi tilgang",,"None",,"All",,"Skype for Surface RT",,""
"1 of {0}:",,"1 av {0}:",,"None",,"All",,"Skype for Surface RT",,""
"Allow",,"Tillat",,"None",,"All",,"Skype for Surface RT",,""
"Allow this participant into the meeting",,"Tillat denne deltakeren å bli med i møtet",,"None",,"All",,"Skype for Surface RT",,""
"Content",,"Innhold",,"None",,"All",,"Skype for Surface RT",,""
"New messages",,"Nye meldinger",,"None",,"All",,"Skype for Surface RT",,""
"Message",,"Melding",,"None",,"All",,"Skype for Surface RT",,""
"Roster",,"Liste",,"None",,"All",,"Skype for Surface RT",,""
"Join {0} scheduled meeting {1}",,"Bli med i det planlagte møtet {0} {1}",,"None",,"All",,"Skype for Surface RT",,""
"Back",,"Tilbake",,"None",,"All",,"Skype for Surface RT",,""
"Attendee",,"Deltaker",,"None",,"All",,"Skype for Surface RT",,""
"Send audio from your last call plus logs",,"Send lyd fra den siste samtalen pluss logger",,"None",,"All",,"Skype for Surface RT",,""
"Audio problem",,"Lydproblem",,"None",,"All",,"Skype for Surface RT",,""
"Audio problem. Send audio from your last call plus logs.",,"Lydproblem. Send lyd fra den siste samtalen pluss logger.",,"None",,"All",,"Skype for Surface RT",,""
"Auto Camera Switching",,"Automatisk bytte av kamera",,"None",,"All",,"Skype for Surface RT",,""
"Your device isn’t set up for email. Please contact your support team.",,"Enheten er ikke satt opp for e-post. Kontakt støtteteamet.",,"None",,"All",,"Skype for Surface RT",,""
"Nothing's scheduled for the rest of the day.",,"Det er ikke noe planlagt resten av dagen.",,"None",,"All",,"Skype for Surface RT",,""
