PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Account",,"Konto",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Available",,"Tilgjengelig",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Unable to change your profile picture, please try again.",,"Kan ikke endre profilbildet ditt. Prøv på nytt.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Close settings",,"Lukk innstillinger",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Disable automatic Skype plugin updates",,"Deaktiver automatiske oppdateringer av plugin-modulen for Skype",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Display settings",,"Vis innstillinger",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download Skype plugin",,"Last ned plugin-modulen for Skype",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Enable automatic Skype plugin updates",,"Aktiver automatiske oppdateringer av plugin-modulen for Skype",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"The image type you tried to upload is not supported",,"Bildetypen du prøvde å laste opp, støttes ikke",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Not available",,"Utilgjengelig",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Notifications off",,"Varsler er av",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Notifications on",,"Varsler er på",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"off",,"av",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"on",,"på",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Automatic Skype plugin updates are",,"Automatiske oppdateringer av plugin-modulen for Skype er",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Online presence set to available (notifications on)",,"Tilstedeværelse er angitt til Tilgjengelig (varsler er på)",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Sign out",,"Logg av",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Upload a profile picture",,"Last opp et profilbilde",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept the call using Alt + PgUp",,"Godta samtale ved å bruke Alt+PgUp",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept with voice",,"Svar med tale",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept with voice using Alt + Page Up",,"Godta med tale ved å trykke Alt + Page Up",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept with Video",,"Svar med video",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept with video using Ctrl + Alt + Page Up",,"Godta med video ved å trykke Ctrl + Alt + Page Up",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Your guest account will expire in 10 minutes.",,"Gjestekontoen din utløper om ti minutter.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
""Select ""add to contacts"" and they'll get your request."",,"Velg legg til i Kontakter, så får de forespørselen fra deg.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Add Skype as a bookmark",,"Legg til Skype som et bokmerke",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Already have an account?",,"Har du allerede en konto?",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"or",,"eller",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"You can call and chat with everyone here for free.",,"Nå kan du ringe og chatte med alle som er her, gratis.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Close",,"Lukk",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Computer says no…",,"Beklager…",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Continue",,"Fortsett",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"By using this site you agree to the use of cookies for analytics, personalised content and ads.",,"Ved å bruke dette nettstedet godtar du bruk av informasjonskapsler til analyse, tilpasset innhold og annonser.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"By using this site you agree to the use of cookies for analytics, personalised content and ads. {LINK_START}Read more about cookies{LINK_END}",,"Ved å bruke dette nettstedet godtar du bruk av informasjonskapsler til analyse, tilpasset innhold og annonser. {LINK_START}Les mer om informasjonskapsler{LINK_END}",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Copy link",,"Kopier kobling",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"&copy; {YEAR} Skype and/or Microsoft.",,"&copy;{YEAR} Skype og/eller Microsoft.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"&copy; {YEAR} Skype/Microsoft.",,"&copy;{YEAR} Skype/Microsoft.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Create account",,"Opprett konto",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"{LINK1_START}Create a new Skype account{LINK1_END} or {LINK2_START}sign in{LINK2_END} to permanently join this conversation.",,"{LINK1_START}Opprett en ny Skype-konto,{LINK1_END} eller {LINK2_START}logg på{LINK2_END} for å bli med i denne samtalen permanent.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Interested in richer and more integrated experience? Download the official desktop app.",,"Er du interessert i en mer innholdsrik og integrert opplevelse? Last ned det offisielle skrivebordsprogrammet.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download",,"Last ned",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download Desktop Client",,"Last ned skrivebordsklient",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download Skype",,"Last ned Skype",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download Skype on the device that’s most convenient for you.",,"Last ned Skype på ønsket enhet.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"You need to enable javascript",,"Du må aktivere JavaScript",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Enable joining",,"Aktiver mulighet til å bli med",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Explore Skype",,"Gjør deg kjent med Skype",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"FAQ",,"Vanlige spørsmål",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"frequently asked questions",,"vanlige spørsmål",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"FAQs",,"Vanlige spørsmål",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Feedback",,"Tilbakemelding",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Finished chatting?",,"Er du ferdig med å chatte?",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get the app",,"Skaff deg appen",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get back to Skype quickly.",,"Gå raskt tilbake til Skype.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get back to Skype quickly. Press {CTRL_KEY} + D to add Skype as a bookmark.",,"Gå raskt tilbake til Skype. Trykk {CTRL_KEY} + D for å legge til Skype som et bokmerke.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get in touch with your friends and family directly from your browser",,"Ta kontakt med venner og familie direkte i nettleseren",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get Skype on the device that’s most convenient for you.",,"Skaff deg Skype på ønsket enhet.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get started",,"Kom i gang",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Got a question?",,"Har du et spørsmål?",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Hi {ELEM_START}{NAME}{ELEM_END}",,"Hei, {ELEM_START}{NAME}{ELEM_END}!",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"As a guest, you can",,"Som gjest kan du gjøre følgende",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Group chat",,"delta i gruppechat",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Send emoticons and Mojis",,"sende uttrykksikoner og Mojier",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Share photos and files",,"dele bilder og filer",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Share your screen",,"Dele skjermen din",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Make video calls",,"delta i videosamtaler",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Make voice calls",,"foreta taleanrop",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Guest",,"Gjest",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Have your queries about Skype for Web answered.",,"Få svar på spørsmålene dine om Skype for nettlesere.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Incoming call",,"Innkommende anrop",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
