PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Activate SMS alerts",,"Activare alerte prin SMS",,"Text",,"All",,"Commerce Server",,""
"Your Skype credit is",,"Creditul dumneavoastră Skype este",,"Text",,"All",,"Commerce Server",,""
"Add your home phone number so friends will have more ways to contact you",,"Adăugați-vă numărul de telefon de acasă pentru ca prietenii să aibă mai multe modalități de a vă contacta",,"Text",,"All",,"Commerce Server",,""
"Add your mobile number so friends will have more ways to contact you",,"Adăugați-vă numărul de telefon mobil pentru ca prietenii să aibă mai multe modalități de a vă contacta",,"Text",,"All",,"Commerce Server",,""
"Add your office phone number so friends will have more ways to contact you",,"Adăugați-vă numărul de telefon de serviciu pentru ca prietenii să aibă mai multe modalități de a vă contacta",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 1",,"Revenire la nota de subsol 1",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 2",,"Revenire la nota de subsol 2",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 3",,"Revenire la nota de subsol 3",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 4",,"Revenire la nota de subsol 4",,"Text",,"All",,"Commerce Server",,""
"Cancel {PACKAGE_NAME} subscription",,"Anulare abonament {PACKAGE_NAME}",,"Text",,"All",,"Commerce Server",,""
"Reset or change Facebook password",,"Resetare sau schimbare parolă Facebook",,"Text",,"All",,"Commerce Server",,""
"Reset or change Microsoft password",,"Resetare sau schimbare parolă Microsoft",,"Text",,"All",,"Commerce Server",,""
"Number to show when I call phones",,"Arată numărul când apelez numere de telefon",,"Text",,"All",,"Commerce Server",,""
"Verification code",,"Cod de verificare",,"Text",,"All",,"Commerce Server",,""
"Country/region",,"Țară/regiune",,"Text",,"All",,"Commerce Server",,""
"Delete number {number}",,"Ștergeți numărul {number}",,"Text",,"All",,"Commerce Server",,""
"Disable Caller id",,"Dezactivați ID-ul apelantului",,"Text",,"All",,"Commerce Server",,""
"Disable call forwarding",,"Dezactivați redirecționarea apelurilor",,"Text",,"All",,"Commerce Server",,""
"Edit phone number",,"Editare număr de telefon",,"Text",,"All",,"Commerce Server",,""
"Find a new subscription",,"Găsește un abonament nou",,"Text",,"All",,"Commerce Server",,""
"Footnote 1",,"Notă de subsol 1",,"Text",,"All",,"Commerce Server",,""
"Footnote 2",,"Notă de subsol 2",,"Text",,"All",,"Commerce Server",,""
"Footnote 3",,"Notă de subsol 3",,"Text",,"All",,"Commerce Server",,""
"Footnote 4",,"Notă de subsol 4",,"Text",,"All",,"Commerce Server",,""
"Previous page",,"Pagina anterioară",,"Text",,"All",,"Commerce Server",,""
"Hide subscriptions.",,"Ascundere abonamente.",,"Text",,"All",,"Commerce Server",,""
"Link opens in {SPAN_START}iFrame{SPAN_END}.",,"Legătura se deschide în {SPAN_START}iFrame{SPAN_END}.",,"Text",,"All",,"Commerce Server",,""
"Why you should complete your profile",,"De ce ar trebui să vă completați profilul",,"Text",,"All",,"Commerce Server",,""
"over 50 countries/regions for {PLAN_NAME}.",,"în peste 50 de țări/regiuni pentru {PLAN_NAME}.",,"Text",,"All",,"Commerce Server",,""
"{COUNT} minute left",,"{COUNT} minut rămas",,"Text",,"All",,"Commerce Server",,""
"{COUNT} minutes left",,"{COUNT} minute rămase",,"Text",,"All",,"Commerce Server",,""
"minute of Skype WiFi.",,"minut de WiFi Skype.",,"Text",,"All",,"Commerce Server",,""
"minutes of Skype WiFi.",,"minute de WiFi Skype.",,"Text",,"All",,"Commerce Server",,""
"Next page",,"Pagina următoare",,"Text",,"All",,"Commerce Server",,""
"You have no subscriptions",,"Nu aveți abonament",,"Text",,"All",,"Commerce Server",,""
"Page {NUMBER}",,"Pagina {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Page {NUMBER}. Selected",,"Pagina {NUMBER}. Selectat",,"Text",,"All",,"Commerce Server",,""
"Feature is active.",,"Caracteristica este activă.",,"Text",,"All",,"Commerce Server",,""
"Feature is inactive.",,"Caracteristica este inactivă.",,"Text",,"All",,"Commerce Server",,""
"Phone number",,"Număr de telefon",,"Text",,"All",,"Commerce Server",,""
"Recover your account",,"Recuperați contul",,"Text",,"All",,"Commerce Server",,""
"Request more credit",,"Solicitați mai mult credit",,"Text",,"All",,"Commerce Server",,""
"payment settings for Skype Number {NUMBER}",,"setări plată pentru numărul Skype {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Skype Number {NUMBER} settings",,"Setările numărului Skype {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Step 1",,"Pasul 1",,"Text",,"All",,"Commerce Server",,""
"Step 2",,"Pasul 2",,"Text",,"All",,"Commerce Server",,""
"Step 3",,"Pasul 3",,"Text",,"All",,"Commerce Server",,""
"Part 3 Confirmation",,"Partea 3 Confirmare",,"Text",,"All",,"Commerce Server",,""
"Part 2 Area code, number, subscription",,"Partea 2 Prefix, număr, abonament",,"Text",,"All",,"Commerce Server",,""
"payment settings for {PACKAGE_NAME}",,"setări plată pentru {PACKAGE_NAME}",,"Text",,"All",,"Commerce Server",,""
"Reactivate {PACKAGE_NAME}",,"Reactivare {PACKAGE_NAME}",,"Text",,"All",,"Commerce Server",,""
"{PACKAGE_NAME} settings",,"Setări {PACKAGE_NAME}",,"Text",,"All",,"Commerce Server",,""
"Payment details for Premium offer",,"Detalii de plată pentru oferta Premium",,"Text",,"All",,"Commerce Server",,""
"Update email now",,"Actualizați acum adresa de e-mail",,"Text",,"All",,"Commerce Server",,""
"Update payment method",,"Actualizare metodă de plată",,"Text",,"All",,"Commerce Server",,""
"usage",,"utilizare",,"Text",,"All",,"Commerce Server",,""
"Phone usage:",,"Utilizarea telefonului:",,"Text",,"All",,"Commerce Server",,""
"SMS usage:",,"Utilizarea SMS-urilor:",,"Text",,"All",,"Commerce Server",,""
"View details.",,"Vizualizare detalii.",,"Text",,"All",,"Commerce Server",,""
"Skype Wifi usage:",,"Utilizarea WiFi Skype:",,"Text",,"All",,"Commerce Server",,""
"Voice message check button disabled, hit space to Enable",,"Butonul de verificare mesagerie vocală este dezactivat. Apăsați Space pentru a activa",,"Text",,"All",,"Commerce Server",,""
"Voice message check button enabled, hit space to Disable",,"Butonul de verificare mesagerie vocală este activat. Apăsați Space pentru a dezactiva",,"Text",,"All",,"Commerce Server",,""
"Warning",,"Avertisment",,"Text",,"All",,"Commerce Server",,""
"Receive notification when I receive a voice message",,"Primesc notificări când primesc un mesaj vocal",,"Text",,"All",,"Commerce Server",,""
"Receive notification when someone adds me as a contact",,"Primesc notificări atunci când cineva mă adaugă la contacte",,"Text",,"All",,"Commerce Server",,""
