PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Category",,"Categorie",,"None",,"All",,"InfoPath",,""
"Specify the category of this file.",,"Specificați categoria pentru acest fișier.",,"None",,"All",,"InfoPath",,""
"Upload Data Connection File",,"Încărcare fișier de conexiune de date",,"None",,"All",,"InfoPath",,""
"Select File",,"Selectare fișier",,"None",,"All",,"InfoPath",,""
"Browse to the data connection file you intend to upload.",,"Răsfoiți la fișierul de conexiune de date care urmează să fie încărcat.",,"None",,"All",,"InfoPath",,""
"File name:",,"Nume fișier:",,"None",,"All",,"InfoPath",,""
"Choose a file to upload",,"Alegeți un fișier pentru încărcare",,"None",,"All",,"InfoPath",,""
"Overwrite the file if it already exists",,"Se suprascrie fișierul dacă acesta există deja",,"None",,"All",,"InfoPath",,""
"u",,"u",,"None",,"All",,"InfoPath",,""
"Upload",,"Încărcare",,"None",,"All",,"InfoPath",,""
"Allow HTTP access to this file",,"Se permite acces HTTP la acest fișier",,"None",,"All",,"InfoPath",,""
"Web Accessibility",,"Accesibilitate din Web",,"None",,"All",,"InfoPath",,""
"Select whether clients such as Microsoft InfoPath can access this file over HTTP.",,"Selectați dacă acest fișier se poate accesa prin HTTP de către clienți, cum ar fi Microsoft InfoPath.",,"None",,"All",,"InfoPath",,""
"Activate to a Site Collection",,"Activare la o Colecție de site-uri",,"None",,"All",,"InfoPath",,""
