PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"We're working on getting them back for you ASAP.",,"Ne străduim să le recuperăm cât mai curând posibil.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't get your activities.",,"Nu vă putem obține activitățile.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Stay on top of relevant activity, such as mentions, likes and replies.",,"Fiți la curent cu activitățile relevante, cum ar fi mențiunile, aprecierile și răspunsurile.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You'll find notifications here.",,"Veți găsi notificările aici.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your activities right now",,"Momentan, nu vă putem actualiza activitățile",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Added you to an unavailable channel",,"V-a adăugat la un canal indisponibil",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Added you to an unavailable team",,"V-a adăugat la o echipă indisponibilă",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"an unavailable channel",,"un canal indisponibil",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"an unavailable team",,"o echipă indisponibilă",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Add to favorites",,"Adăugați la Preferate",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Follow channel",,"Urmăriți canalul",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} added {1} to the conversation",,"{0} l-a adăugat pe utilizatorul {1} la conversație",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Address",,"Adresă",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} and {1}",,"{0} și {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0}, {1}, and {2}",,"{0}, {1} și {2}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0}, {1}, and {2} others",,"{0}, {1} și încă {2}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load your older activities right now",,"Momentan, nu vă putem încărca activitățile mai vechi",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"All channels",,"Toate canalele",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Channels",,"Canale",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your teams right now",,"Momentan, nu vă putem actualiza echipele",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"All teams",,"Toate echipele",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Always, even if I'm active on desktop",,"Întotdeauna, chiar dacă sunt activ(ă) pe desktop",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams",,"Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (Dev)",,"Microsoft Teams (dezvoltatori)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (Dogfood)",,"Microsoft Teams (versiune pentru uz intern)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (TAP)",,"Microsoft Teams (TAP)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Teams",,"Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Bluetooth",,"Bluetooth",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Change audio output device",,"Schimbați dispozitivul de ieșire audio",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Device",,"Dispozitiv",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Headset",,"Căști",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Speaker",,"Difuzor",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Please sign in again with your current password.",,"Conectați-vă din nou cu parola actuală.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams is now using modern authentication, a better, more secure way to sign in. Once you've signed in again, you won't need to re-enter credentials when you open any Office 365 application.",,"Microsoft Teams utilizează acum o modalitate de autentificare mai modernă, mai bună și mai sigură pentru a vă conecta. După ce vă conectați din nou, nu va mai fi necesar să reintroduceți acreditările atunci când deschideți aplicația Office 365.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You'll get modern authentication, a single, better, and more secure sign in to all your Office 365 apps.",,"Veți beneficia de o modalitate de autentificare modernă, de o conectare unică mai bună și mai sigură la toate aplicațiile Office 365.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Please sign back in to Microsoft Teams",,"Conectați-vă din nou la Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"({0} Guests)",,"({0} invitați)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"(1 Guest)",,"(1 invitat)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} (Guest)",,"{0} (Invitat)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Back",,"Înapoi",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sent a card",,"Trimiteți un card",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Hang up your current call before starting a new one.",,"Închideți apelul actual înainte să începeți unul nou.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call busy",,"Apel ocupat",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call canceled",,"Apel anulat",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call declined",,"Apel refuzat",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call dropped",,"Apel întrerupt",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"hh\:mm\:ss",,"hh\:mm\:ss",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"mm\:ss",,"mm\:ss",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call Ended",,"Apel încheiat",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call ended",,"Apel încheiat",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call Ended {0}",,"Apel încheiat {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call ended {0}",,"Apel încheiat {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call failed",,"Apel nereușit",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call Missed",,"Apel pierdut",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call missed",,"Apel pierdut",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Tap to return to call",,"Atingeți pentru a reveni la apel",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call on hold",,"Apel în așteptare",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call",,"Apelați",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call started",,"Apel început",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Calling",,"Se apelează",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sorry, we're unable to search for people at the moment",,"Ne pare rău, momentan nu putem căuta alte persoane",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Conversations",,"Conversații",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Try @ mentioning the people you want to participate in this channel.",,"Încercați să @menționați persoanele care doriți să participe la acest canal.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Remove from favorites",,"Eliminați din Preferate",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"More options for this channel",,"Mai multe opțiuni pentru acest canal",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your channels right now",,"Momentan, nu vă putem actualiza canalele",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We're working on getting them back for you ASAP.",,"Ne străduim să îl recuperăm cât mai curând posibil.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load this channel right now.",,"Momentan, nu putem încărca acest canal.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"channel",,"canal",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your conversations right now",,"Momentan, nu vă putem actualiza conversațiile",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Tabs",,"File",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Have private one-on-one and group conversations, and video calls.",,"Discutați în privat unu la unu sau în chaturi în grup și efectuați apeluri video.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Start a private chat.",,"Începeți un chat privat.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't get your chats",,"Nu vă putem obține chaturile",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your chats right now",,"Momentan, nu vă putem actualiza chaturile",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't get your messages.",,"Nu vă putem obține mesajele.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Chat",,"Discutați",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load your older messages right now",,"Momentan, nu vă putem încărca mesajele mai vechi",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You",,"Dumneavoastră",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your conversation right now",,"Momentan, nu vă putem actualiza conversația",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Failed to send:",,"Trimiterea nu a reușit:",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sending:",,"Se trimite:",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Chats",,"Chaturi",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We're getting things ready...",,"Pregătim lucrurile...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Please give us a sec...",,"Aveți puțină răbdare...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We'll be done soon...",,"Vom termina în curând...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Almost there...",,"Suntem aproape gata...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"CLEAR LIST",,"ȘTERGEȚI LISTA",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Files",,"Fișiere",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Close",,"Închideți",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Hi! This feature is not quite finished and is coming soon.",,"Salut! Această caracteristică nu este încă finalizată, dar va fi disponibilă în curând.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"High importance",,"Importanță mare",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Show picture picker",,"Afișați selectorul de fotografii",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Send",,"Trimiteți",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Type your message here",,"Scrieți mesajul aici",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Open contact card",,"Deschideți cartea de vizită",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"More options for this conversation",,"Mai multe opțiuni pentru această conversație",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Control message",,"Mesaj de control",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sorry, we cannot access your content. Try again later.",,"Ne pare rău, nu vă putem accesa conținutul. Încercați din nou mai târziu.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Reply",,"Răspundeți",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Failed to start the chat.",,"Chatul nu a putut fi pornit.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"General",,"General",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} removed {1} from the chat",,"{0} l-a eliminat pe utilizatorul {1} din chat.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"This message has been deleted.",,"Acest mesaj a fost șters.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"This tab is deleted.",,"Această filă este ștearsă.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Administrator has disabled chat for this user",,"Administratorul a dezactivat chatul pentru acest utilizator",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Email",,"E-mail",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"To: {0}",,"Către: {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"End call",,"Încheiați apelul",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Syncing",,"Se sincronizează",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Uh oh, something went wrong and we couldn't sync your data. Your content may not be available right now. Please try again later.",,"Hopa, ceva nu a funcționat corect și nu v-am putut sincroniza datele. Momentan, conținutul nu este disponibil. Încercați din nou mai târziu.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Wow, you have a lot of content! We're still syncing {0} item(s), but let's get you started.",,"Uau, aveți mult conținut! Încă mai avem de sincronizat {0} elemente, dar puteți să începeți.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We're sorry",,"Ne pare rău",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sorry, your device is offline. Please try again later.",,"Ne pare rău, dispozitivul este offline. Încercați din nou mai târziu.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Export logs",,"Exportați jurnalele",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Tap the star to favorite or unfavorite a channel.",,"Atingeți steaua pentru a marca un canal ca preferat sau pentru a-l scoate din Preferate.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Tap the star to favorite or unfavorite a team.",,"Atingeți steaua pentru a marca o echipă ca preferată sau pentru a o scoate din Preferate.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Cancel",,"Anulați",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Feedback",,"Feedback",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Attach screenshot",,"Atașați captura de ecran",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Enter Feedback",,"Introduceți feedback",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Enter title (required)",,"Introduceți un titlu (obligatoriu)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"A file with this name already exists in this folder. What would you like to do?",,"În acest folder există deja un fișier cu acest nume. Ce doriți să faceți?",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Replace",,"Înlocuiți",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"This file already exists",,"Acest fișier există deja",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} KB, Modified by {1} on {2}",,"{0} KB, modificat de {1} pe {2}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"[The file or image preview is not available]",,"[Previzualizarea fișierului sau a imaginii nu este disponibilă]",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"File upload failed.",,"Încărcarea fișierului nu a reușit.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load the files for this channel right now.",,"Momentan, nu putem încărca fișierele pentru acest canal.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Modified by {0} on {1}",,"Modificat de {0} pe {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Following",,"Urmăriți",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We couldn't follow or unfollow that channel for you",,"Nu am putut să urmărim sau să anulăm urmărirea acelui canal pentru dumneavoastră",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Please update the app now to continue using Microsoft Teams",,"Actualizați aplicația acum pentru a utiliza în continuare Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Update required",,"Este necesară actualizarea",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Show",,"Afișați",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"+ {0} others liked your message in {1}",,"+ încă {0} persoane v-au apreciat mesajul din {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Liked your message in {0}",,"V-a apreciat mesajul din {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"+ {0} other liked your message in {1}",,"+ încă {0} v-au apreciat mesajul din {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Mentioned you in {0}",,"V-a menționat în {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Mentioned {0} in {1}",,"A menționat {0} în {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"+ {0} others replied to a conversation you are part of in {1}",,"+ încă {0} au răspuns la o conversație din care faceți parte în {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Replied to a conversation you are part of in {0}",,"A răspuns la o conversație din care faceți parte în {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"+ {0} others replied to your conversation in {1}",,"+ încă {0} au răspuns la conversația dumneavoastră din {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Replied to your conversation in {0}",,"A răspuns la conversația dumneavoastră din {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"+ {0} other replied to your conversation in {1}",,"+ încă {0} au răspuns la conversația dumneavoastră din {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"+ {0} other replied to a conversation you are part of in {1}",,"+ încă {0} au răspuns la o conversație din care faceți parte în {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} and {1} others",,"{0} și încă {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} and 1 other",,"{0} și încă 1",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"an unavailable team: {0}",,"o echipă indisponibilă: {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"+ {0} others participated in a conversation in {1}",,"+ încă {0} au participat la o conversație din {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"+ {0} other participated in a conversation in {1}",,"+ încă {0} au participat la o conversație din {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Posted a new message in {0}",,"A postat un mesaj nou în {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Participated in a conversation in {0}",,"A participat la o conversație din {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0}, {1}, and {2} more",,"{0}, {1} și încă {2}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} older replies",,"{0} răspunsuri mai vechi",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Added you to {0}",,"V-a adăugat la {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Made you an owner of {0} team",,"V-a oferit rolul de proprietar al echipei {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sorry, we're having trouble signing you in. Please try again.",,"Ne pare rău, nu vă putem conecta. Încercați din nou.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Powered by GIPHY",,"Pe platformă GIPHY",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Administrator has disabled chat for one or more users",,"Administratorul a dezactivat chatul pentru unul sau mai mulți utilizatori",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} Participants",,"{0} participanți",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"IMPORTANT!",,"IMPORTANT!",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Place call on hold",,"Puneți apelul în așteptare",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Hold Call",,"Puneți apelul în așteptare",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0}h ago",,"Acum {0} h",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"[Unable to load image]",,"[Imaginea nu poate fi încărcată]",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Personal image collection preview",,"Previzualizare colecție de imagini personale",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We don't recoginize the sign-in address. Please use your Office 365 sign-in.",,"Nu recunoaștem adresa de conectare. Utilizați adresa de conectare pentru Office 365.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Only when I'm not active on desktop",,"Numai atunci când nu sunt activ(ă) pe desktop",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You can join this on the desktop app",,"Vă puteți alătura de pe aplicația desktop",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Just now",,"Chiar acum",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"This mention will notify {0} people.",,"Această mențiune va notifica {0} persoane.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Last read",,"Ultimul citit",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Legal",,"Legal",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We couldn't like or unlike that message for you",,"Nu am putut să apreciem sau să anulăm aprecierea acelui mesaj pentru dumneavoastră",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Likes",,"Aprecieri",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Teams",,"Echipe",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Loading your teams...",,"Se încarcă echipele...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Loading...",,"Se încarcă...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} is on hold",,"{0} este în așteptare",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams log",,"Jurnalul Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"MicrosoftTeamsLog{0}",,"MicrosoftTeamsLog{0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Try signing in with different credentials",,"Încercați să vă conectați cu alte acreditări",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"There was an error and the logs for Microsoft Teams were not saved. Please try again.",,"A apărut o eroare, iar jurnalele pentru Microsoft Teams nu au fost salvate. Încercați din nou.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Error saving logs",,"Eroare la salvarea jurnalelor",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"The logs for Microsoft Teams were saved to {0}.",,"Jurnalele pentru Microsoft Teams au fost salvate în {0}.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Logs saved",,"Jurnalele au fost salvate",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Signing in...",,"Se conectează...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Signing you out",,"Vă deconectăm",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"(Cancelled) {0}",,"(Anulată) {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Meeting ended",,"Întâlnirea s-a încheiat",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Meeting ended {0}",,"Întâlnirea s-a încheiat {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Meeting started",,"Întâlnirea a început",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
