PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"©Microsoft Corp 2016.  All rights reserved.",,"©Microsoft Corp 2016.  Toate drepturile rezervate.",,"None",,"All",,"Microsoft Teams for iOS",,""
"Switch the team the shift is assigned to",,"Schimbați echipa căreia îi este alocată tura",,"None",,"All",,"Microsoft Teams for iOS",,""
"Account",,"Cont",,"None",,"All",,"Microsoft Teams for iOS",,""
"Sorry, we failed to fetch the list of accruals.",,"Ne pare rău, nu am putut preluat lista cu angajamente.",,"None",,"All",,"Microsoft Teams for iOS",,""
"Sorry, you don't have permission to view accruals.",,"Ne pare rău, nu aveți permisiunea să vizualizați angajamentele.",,"None",,"All",,"Microsoft Teams for iOS",,""
"No accruals were found.",,"Niciun angajament găsit.",,"None",,"All",,"Microsoft Teams for iOS",,""
"%.01f days",,"%.01f zile",,"None",,"All",,"Microsoft Teams for iOS",,""
"%.01f hours",,"%.01f ore",,"None",,"All",,"Microsoft Teams for iOS",,""
"Add Break",,"Adăugați pauză",,"None",,"All",,"Microsoft Teams for iOS",,""
"Add New Time Clock Entry",,"Adăugați o intrare nouă a orei ceasului",,"None",,"All",,"Microsoft Teams for iOS",,""
"Add People",,"Adăugați persoane",,"None",,"All",,"Microsoft Teams for iOS",,""
"Add shift",,"Adăugați o tură",,"None",,"All",,"Microsoft Teams for iOS",,""
"Add Shift",,"Adăugați o tură",,"None",,"All",,"Microsoft Teams for iOS",,""
"Add Clock In/Out",,"Adăugați ora de sosire/ora de plecare",,"None",,"All",,"Microsoft Teams for iOS",,""
"Your message is too long. Only the first %d characters will be sent.",,"Mesajul este prea lung. Numai primele %d caracterele vor fi trimise.",,"None",,"All",,"Microsoft Teams for iOS",,""
"Deleting all entries",,"Se șterg toate intrările",,"None",,"All",,"Microsoft Teams for iOS",,""
"Deleting all time entries from %@ to %@",,"Se șterg toate intrările de timp de la %@ până la %@",,"None",,"All",,"Microsoft Teams for iOS",,""
"Deleting all time entries for %@",,"Se șterg toate intrările de timp pentru %@",,"None",,"All",,"Microsoft Teams for iOS",,""
"Deleting break from %@ to %@",,"Se șterge pauza de la %@ până la %@",,"None",,"All",,"Microsoft Teams for iOS",,""
"Deleting break from %@ to %@ on %@",,"Se șterge pauza de la %@ până la %@ de pe %@",,"None",,"All",,"Microsoft Teams for iOS",,""
"Deleting break for %@ on %@",,"Se șterge pauza pentru %@ de pe %@",,"None",,"All",,"Microsoft Teams for iOS",,""
"Delete",,"Ștergeți",,"None",,"All",,"Microsoft Teams for iOS",,""
"Delete Break",,"Ștergeți pauza",,"None",,"All",,"Microsoft Teams for iOS",,""
"You can enable access in privacy settings.",,"Puteți permite accesul în setările de confidențialitate.",,"None",,"All",,"Microsoft Teams for iOS",,""
"All Day",,"Toată ziua",,"None",,"All",,"Microsoft Teams for iOS",,""
"Already have one? Tap here",,"Aveți deja unul? Atingeți aici",,"None",,"All",,"Microsoft Teams for iOS",,""
" and %d more",," și încă %d",,"None",,"All",,"Microsoft Teams for iOS",,""
"+%d More",,"+ încă %d",,"None",,"All",,"Microsoft Teams for iOS",,""
"Announcements from your company will show up here",,"Anunțurile companiei dumneavoastră vor fi afișate aici",,"None",,"All",,"Microsoft Teams for iOS",,""
"No News Yet!",,"Nicio veste încă!",,"None",,"All",,"Microsoft Teams for iOS",,""
"(No Subject)",,"(fără subiect)",,"None",,"All",,"Microsoft Teams for iOS",,""
"%1$@ of images are hidden to save data.",,"%1$@ imagini sunt ascunse pentru a economisi date.",,"None",,"All",,"Microsoft Teams for iOS",,""
"Announcement",,"Anunț",,"None",,"All",,"Microsoft Teams for iOS",,""
"Sent from Yammer",,"Trimis de pe Yammer",,"None",,"All",,"Microsoft Teams for iOS",,""
"Show images",,"Afișați imagini",,"None",,"All",,"Microsoft Teams for iOS",,""
"Microsoft StaffHub. The freedom to manage work.",,"Microsoft StaffHub. Libertatea de vă gestiona munca.",,"None",,"All",,"Microsoft Teams for iOS",,""
"Microsoft StaffHub is a cloud-based platform that slips work (and the tools to manage it) into everyone’s back pocket.\nWith Microsoft StaffHub, desk-free workers can view schedules, swap shifts, and request time off. Managers can create schedules, approve requests, and share information.\nOn mobile or web, it’s the one-stop app for scheduling, sharing, and communicating. Microsoft StaffHub gives everyone the freedom to manage work. And get on with life.\nMicrosoft StaffHub is available to customers that have an Office 365 Enterprise F1, E1, E3, E5, or Education subscription plan.",,"Microsoft StaffHub este o platformă bazată pe cloud cu ajutorul căreia orice persoană poate avea munca (și instrumentele de gestionare a acesteia) la degetul mic.\nCu Microsoft StaffHub, lucrătorii fără computer dedicat își pot vedea programele, pot schimba ture și pot solicita timp liber. Managerii pot crea programe, pot aproba solicitări și pot partaja informații.\nFie pe mobil sau pe web, aceasta este unica aplicație pentru programare, partajare și comunicare. Microsoft StaffHub oferă tuturor libertatea să își gestioneze munca. Și să își continue viața.\nAplicația Microsoft StaffHub este disponibilă clienților care au un plan de abonament Office 365 Enterprise F1, E1, E3, E5 sau Education.",,"None",,"All",,"Microsoft Teams for iOS",,""
"Microsoft StaffHub is a cloud-based platform that slips work (and the tools to manage it) into everyone’s back pocket.\nWith Microsoft StaffHub, staff workers can view schedules, swap shifts, and request time off. Managers can create schedules, approve requests, and share information.\nOn mobile or web, it’s the one-stop app for scheduling, sharing, and communicating. Microsoft StaffHub gives everyone the freedom to manage work. And get on with life.\nMicrosoft StaffHub is available to customers that have an Office 365 Enterprise K1, E1, E3, E5, or Education subscription plan.",,"Microsoft StaffHub este o platformă bazată pe cloud cu ajutorul căreia orice persoană poate avea munca (și instrumentele de gestionare a acesteia) la degetul mic.\nCu Microsoft StaffHub, membrii personalului își pot vedea programele, pot face schimb de ture și pot solicita timp liber. Managerii pot crea programe, pot aproba solicitări și pot partaja informații.\nFie pe mobil sau pe web, este unica aplicație pentru programare, partajare și comunicare. Microsoft StaffHub oferă tuturor libertatea să își gestioneze munca. Și să își continue viața.\nAplicația Microsoft StaffHub este disponibilă clienților care au un plan de abonament Office 365 Enterprise K1, E1, E3, E5 sau Education.",,"None",,"All",,"Microsoft Teams for iOS",,""
