PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Propert&ies...",,"&Proprietăți...",,"None",,"All",,"Outlook Group",,""
"C&ut",,"&Decupare",,"None",,"All",,"Outlook Group",,""
"&Copy",,"&Copiere",,"None",,"All",,"Outlook Group",,""
"&Paste",,"&Lipire",,"None",,"All",,"Outlook Group",,""
"&Delete",,"Șt&ergere",,"None",,"All",,"Outlook Group",,""
"Select &All",,"Selectare &totală",,"None",,"All",,"Outlook Group",,""
"From",,"De la",,"None",,"All",,"Outlook Group",,""
"Select Names",,"Selectare nume",,"None",,"All",,"Outlook Group",,""
"To",,"Către",,"None",,"All",,"Outlook Group",,""
"Outlook Mobile Service Account",,"Cont de servicii Outlook Mobile",,"None",,"All",,"Outlook Group",,""
"Mobile Service Accounts",,"Conturi de servicii mobile",,"None",,"All",,"Outlook Group",,""
"You can add or remove an account. You can select an account, and then change its settings.",,"Adăugați sau eliminați un cont. Selectați un cont, apoi îi modificați setările.",,"None",,"All",,"Outlook Group",,""
"Outlook Mobile Service Account Manager",,"Manager de conturi de servicii Outlook Mobile",,"None",,"All",,"Outlook Group",,""
""Type the &name by which you want to refer to this account. For example: ""Work"" or ""Text Message Service"""",,"&Tastați numele prin care să fie identificat acest cont. De exemplu: „La birou” sau „Serviciu de mesaje text”",,"None",,"All",,"Outlook Group",,""
"Account Settings",,"Setări cont",,"None",,"All",,"Outlook Group",,""
"Complete each step to create and activate your text messaging account.",,"Parcurgeți fiecare pas pentru a crea și activa contul pentru mesaje text.",,"None",,"All",,"Outlook Group",,""
