PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Alpine",,"Alpin",,"None",,"All",,"Publisher",,""
"Aqua",,"Bleumarin",,"None",,"All",,"Publisher",,""
"Berry",,"Fruct",,"None",,"All",,"Publisher",,""
"Black & Gray",,"Negru și gri",,"None",,"All",,"Publisher",,""
"Brown",,"Maro",,"None",,"All",,"Publisher",,""
"Burgundy",,"Roșu burgund",,"None",,"All",,"Publisher",,""
"Cavern",,"Peșteră",,"None",,"All",,"Publisher",,""
"Citrus",,"Lămâie",,"None",,"All",,"Publisher",,""
"Clay",,"Lut",,"None",,"All",,"Publisher",,""
"Cranberry",,"Afină",,"None",,"All",,"Publisher",,""
"Crocus",,"Șofran",,"None",,"All",,"Publisher",,""
"Desert",,"Deșert",,"None",,"All",,"Publisher",,""
"Field",,"Câmpie",,"None",,"All",,"Publisher",,""
"Fjord",,"Fiord",,"None",,"All",,"Publisher",,""
"Floral",,"Floral",,"None",,"All",,"Publisher",,""
"Garnet",,"Granat",,"None",,"All",,"Publisher",,""
"Glacier",,"Ghețar",,"None",,"All",,"Publisher",,""
"Heather",,"Buruiană",,"None",,"All",,"Publisher",,""
"Iris",,"Iris",,"None",,"All",,"Publisher",,""
"Island",,"Insulă",,"None",,"All",,"Publisher",,""
"Ivy",,"Iederă",,"None",,"All",,"Publisher",,""
"Lagoon",,"Lagună",,"None",,"All",,"Publisher",,""
"Lilac",,"Liliac",,"None",,"All",,"Publisher",,""
"Mahogany",,"Mahon",,"None",,"All",,"Publisher",,""
"Marine",,"Marin",,"None",,"All",,"Publisher",,""
"Maroon",,"Bordo",,"None",,"All",,"Publisher",,""
"Meadow",,"Pajiște",,"None",,"All",,"Publisher",,""
"Mist",,"Ceață",,"None",,"All",,"Publisher",,""
"Mistletoe",,"Vâsc",,"None",,"All",,"Publisher",,""
"Moss",,"Mușchi",,"None",,"All",,"Publisher",,""
"Mountain",,"Munte",,"None",,"All",,"Publisher",,""
"Mulberry",,"Dudă",,"None",,"All",,"Publisher",,""
"Navy",,"Bleumarin",,"None",,"All",,"Publisher",,""
"Nutmeg",,"Nucșoară",,"None",,"All",,"Publisher",,""
"Olive",,"Verde oliv",,"None",,"All",,"Publisher",,""
"Orchid",,"Purpuriu-orhidee",,"None",,"All",,"Publisher",,""
"Parrot",,"Papagal",,"None",,"All",,"Publisher",,""
"Pebbles",,"Pietriș",,"None",,"All",,"Publisher",,""
"Prairie",,"Prerie",,"None",,"All",,"Publisher",,""
"Rain Forest",,"Pădure ecuatorială",,"None",,"All",,"Publisher",,""
"Monarch",,"Monarh",,"None",,"All",,"Publisher",,""
"Redwood",,"Conifer",,"None",,"All",,"Publisher",,""
"Reef",,"Recif",,"None",,"All",,"Publisher",,""
"Sagebrush",,"Arbust",,"None",,"All",,"Publisher",,""
"Sapphire",,"Safir",,"None",,"All",,"Publisher",,""
"Shamrock",,"Trifoi",,"None",,"All",,"Publisher",,""
"Sienna",,"Siena",,"None",,"All",,"Publisher",,""
"Spice",,"Condiment",,"None",,"All",,"Publisher",,""
"Sunrise",,"Răsărit de soare",,"None",,"All",,"Publisher",,""
"Sunset",,"Apus de soare",,"None",,"All",,"Publisher",,""
"Teal",,"Albastru verzui",,"None",,"All",,"Publisher",,""
"Tidepool",,"Smârc",,"None",,"All",,"Publisher",,""
"Tropics",,"Tropice",,"None",,"All",,"Publisher",,""
"Trout",,"Păstrăv",,"None",,"All",,"Publisher",,""
"Vineyard",,"Vie",,"None",,"All",,"Publisher",,""
"Waterfall",,"Cascadă",,"None",,"All",,"Publisher",,""
"Wildflower",,"Floare de câmp",,"None",,"All",,"Publisher",,""
"Black & White",,"Negru și alb",,"None",,"All",,"Publisher",,""
"Green",,"Verde",,"None",,"All",,"Publisher",,""
"Red",,"Roșu",,"None",,"All",,"Publisher",,""
"Dark Blue",,"Albastru închis",,"None",,"All",,"Publisher",,""
"Harbor",,"Port",,"None",,"All",,"Publisher",,""
"Eggplant",,"Vânătă",,"None",,"All",,"Publisher",,""
"Grove",,"Crâng",,"None",,"All",,"Publisher",,""
"Tuscany",,"Toscana",,"None",,"All",,"Publisher",,""
"Office",,"Office",,"None",,"All",,"Publisher",,""
"Trek",,"Turist",,"None",,"All",,"Publisher",,""
"Median",,"Median",,"None",,"All",,"Publisher",,""
"Foundry",,"Forjă",,"None",,"All",,"Publisher",,""
