PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"contact info",,"informații de contact",,"None",,"All",,"Skype - Mac",,""
"profile picture",,"fotografie de profil",,"None",,"All",,"Skype - Mac",,""
"About",,"Despre",,"None",,"All",,"Skype - Mac",,""
"Multiline Label",,"Multiline Label",,"None",,"All",,"Skype - Mac",,""
"Label",,"Label",,"None",,"All",,"Skype - Mac",,""
"mood message",,"mesaj de stare",,"None",,"All",,"Skype - Mac",,""
""Label - <a href=""http://apple.com"">Test</a>"",,""Label - <a href=""http://apple.com"">Test</a>"",,"None",,"All",,"Skype - Mac",,""
"Lists",,"Liste",,"None",,"All",,"Skype - Mac",,""
"Location",,"Locație",,"None",,"All",,"Skype - Mac",,""
"Time",,"Timp",,"None",,"All",,"Skype - Mac",,""
"Homepage",,"Pagină de pornire",,"None",,"All",,"Skype - Mac",,""
"Gender",,"Sex",,"None",,"All",,"Skype - Mac",,""
"Birthdate",,"Data nașterii",,"None",,"All",,"Skype - Mac",,""
"Language",,"Limbă",,"None",,"All",,"Skype - Mac",,""
"Back",,"Înapoi",,"None",,"All",,"Skype - Mac",,""
"Add Contact",,"Adăugare contact",,"None",,"All",,"Skype - Mac",,""
"Copy",,"Copiere",,"None",,"All",,"Skype - Mac",,""
"favorite",,"favoriți",,"None",,"All",,"Skype - Mac",,""
"Contacts",,"Contacte",,"None",,"All",,"Skype - Mac",,""
"Item 3",,"Item 3",,"None",,"All",,"Skype - Mac",,""
"Other",,"Altele",,"None",,"All",,"Skype - Mac",,""
"Box",,"Box",,"None",,"All",,"Skype - Mac",,""
"Item 2",,"Item 2",,"None",,"All",,"Skype - Mac",,""
"Skype Certified",,"Certificat Skype",,"None",,"All",,"Skype - Mac",,""
"Home",,"Acasă",,"None",,"All",,"Skype - Mac",,""
"Mobile",,"Telefon mobil",,"None",,"All",,"Skype - Mac",,""
"Item 1",,"Item 1",,"None",,"All",,"Skype - Mac",,""
"Skype",,"Skype",,"None",,"All",,"Skype - Mac",,""
"Office",,"Birou",,"None",,"All",,"Skype - Mac",,""
"Window",,"Fereastra",,"None",,"All",,"Skype - Mac",,""
"Text Cell",,"Text Cell",,"None",,"All",,"Skype - Mac",,""
"Send Contacts",,"Trimiteți contacte",,"None",,"All",,"Skype - Mac",,""
"Add contacts you would like to send:",,"Adăugați contactele pe care doriți să le trimiteți:",,"None",,"All",,"Skype - Mac",,""
