PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Open the more menu",,"Deschideți meniul Altele",,"None",,"All",,"Skype - iOS",,""
"More menu",,"Meniul Altele",,"None",,"All",,"Skype - iOS",,""
"Cancel",,"Anulați",,"None",,"All",,"Skype - iOS",,""
"Recent calls and messages will appear here.",,"Apelurile și mesajele recente vor apărea aici.",,"None",,"All",,"Skype - iOS",,""
"Search",,"Căutare",,"None",,"All",,"Skype - iOS",,""
"Hide options",,"Ascundere opțiuni",,"None",,"All",,"Skype - iOS",,""
"Show options",,"Afișare opțiuni",,"None",,"All",,"Skype - iOS",,""
"Done",,"Terminat",,"None",,"All",,"Skype - iOS",,""
"%lu %@ %lu",,"%lu %@ %lu",,"None",,"All",,"Skype - iOS",,""
"Copied",,"Fotografie copiată",,"None",,"All",,"Skype - iOS",,""
"Copying",,"Se copiază",,"None",,"All",,"Skype - iOS",,""
"Failed",,"Proces nereușit",,"None",,"All",,"Skype - iOS",,""
"Preparing",,"Se pregătește",,"None",,"All",,"Skype - iOS",,""
"Saved",,"Fotografie salvată",,"None",,"All",,"Skype - iOS",,""
"Saving",,"Se salvează",,"None",,"All",,"Skype - iOS",,""
"Search Giphy",,"Căutare Giphy",,"None",,"All",,"Skype - iOS",,""
"& %d others",,"și încă %d",,"None",,"All",,"Skype - iOS",,""
"%1$d out of %2$d selected",,"%1$d din %2$d selectate",,"None",,"All",,"Skype - iOS",,""
"Skype version",,"Versiune Skype",,"None",,"All",,"Skype - iOS",,""
"© 2003-2017 Skype & Microsoft\nPatent Pending",,"© 2003-2017 Skype și Microsoft\nBrevet în curs de înregistrare",,"None",,"All",,"Skype - iOS",,""
"The Skype name, associated trade marks and logos and the “S” logo are trade marks of Skype or related entities.\n\nWarning: This program is protected by copyright law and international treaties. Unauthorized reproduction or distribution of this program, or any portion of it, may result in severe criminal and civil penalties and will be prosecuted to the maximum extent possible under the law.",,"Numele Skype, mărcile comerciale și siglele asociate, precum și sigla „S” sunt mărci comerciale ale Skype sau ale entităților afiliate.\n\nAvertisment: Acest program este protejat de legea drepturilor de autor și de tratate internaționale. Reproducerea sau distribuirea neautorizată a acestui program sau a oricărei părți a acestuia poate să atragă sancțiuni civile și penale deosebit de grave și va determina urmărirea pe cale judiciară în limitele maxime permise de lege.",,"None",,"All",,"Skype - iOS",,""
"Privacy Policy",,"Politică de confidențialitate",,"None",,"All",,"Skype - iOS",,""
"About",,"Despre",,"None",,"All",,"Skype - iOS",,""
"Terms of Use",,"Termeni de utilizare",,"None",,"All",,"Skype - iOS",,""
"Third party notices",,"Note privind terțele părți",,"None",,"All",,"Skype - iOS",,""
"Skype needs access to Contacts to display address book contacts. Go to Settings and enable Contacts to allow access.",,"Skype trebuie să acceseze Contactele pentru a afișa contactele din agendă. Accesați Setări și activați Contactele pentru a permite accesul.",,"None",,"All",,"Skype - iOS",,""
"Cancel",,"Anulare",,"None",,"All",,"Skype - iOS",,""
"Your address book is empty",,"Agenda dumneavoastră este goală",,"None",,"All",,"Skype - iOS",,""
"Loading address book contacts...",,"Se încarcă contactele din agendă...",,"None",,"All",,"Skype - iOS",,""
