PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Play",,"Redați",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Open Custom link",,"Deschideți link-ul personalizat",,"None",,"All",,"Skype Cast Attendee 2015",,""
"An error occurred while processing your request.",,"A apărut o eroare în timpul procesării solicitării dumneavoastră.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Not started",,"Neîncepute",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Leave",,"Ieșiți",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Right panel tab for ",,"Fila din panoul din dreapta pentru ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"The broadcast will start in a moment",,"Difuzarea va începe în câteva momente",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Click to toggle the navigation dropdown menu",,"Clic pentru a comuta meniul vertical de navigare",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Live",,"În timp real",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Yammer",,"Yammer",,"None",,"All",,"Skype Cast Attendee 2015",,""
"We're connecting you to the broadcast",,"Vă conectăm la difuzare",,"None",,"All",,"Skype Cast Attendee 2015",,""
"The broadcast wasn’t found.",,"Difuzarea nu a fost găsită.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Sign Out",,"Deconectați-vă",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Pulse",,"Pulse",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Click to toggle the right panel",,"Faceți clic pentru a ascunde sau a afișa panoul din dreapta",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Captions",,"Subtitrări",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Skype for Business",,"Skype for Business",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Please enable cookies in your browser settings to ensure all functionality is available.",,"Activați cookie-urile în browser pentru a vă asigura că toate funcționalitățile sunt disponibile.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"We're getting the video recording",,"Obținem înregistrarea video",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Join",,"Alăturați-vă",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Open Support link",,"Deschideți link-ul de suport",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Ended",,"Încheiate",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Pause",,"Întrerupeți",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Privacy & cookies",,"Confidențialitate și cookie-uri",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Support",,"Asistență",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Error :(",,"Eroare :(",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Q&A",,"Întrebări &și răspunsuri",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Please install or enable Adobe Flash Player",,"Instalați sau activați Adobe Flash Player",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Captions Off",,"Subtitrare dezactivată",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Get Adobe Flash player",,"Descărcați Adobe Flash Player",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Selected",,"Selectat",,"None",,"All",,"Skype Cast Attendee 2015",,""
"An unknown error has occurred.",,"A apărut o eroare necunoscută.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Meeting series",,"Serie de întâlniri",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Anonymous User",,"Utilizator anonim",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Bottom panel tab for ",,"Fila din panoul de jos pentru ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Sorry, you’re not allowed to attend this meeting. Please contact the meeting organizer.",,"Ne pare rău, nu aveți permisiunea să participați la această întâlnire. Vă rugăm să contactați organizatorul întâlnirii.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Meeting Broadcast",,"Difuzarea întâlnirii",,"None",,"All",,"Skype Cast Attendee 2015",,""
