PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Cancel",,"Anulați",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Select an app for the right panel",,"Selectați o aplicație pentru panoul din dreapta",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Add a start time",,"Adăugați o oră de începere",,"None",,"All",,"Skype Cast Organizer 2016",,""
"This meeting’s video was published to Office 365",,"Videoclipul acestei întâlniri a fost publicat pe Office 365",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Checking a few things. We'll get your meetings in a bit.",,"Verificăm câteva lucruri. Vă vom oferi acces la întâlniri în câteva secunde.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Attendee page settings",,"Setările paginii participanților",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Transcription and translation is enabled",,"Opțiunea Transcriere și traducere este activată",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The start time is later than the end time.",,"Ora de începere este ulterioară orei de terminare.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Note: captions are currently not available in full screen video",,"Notă: momentan, subtitrările nu sunt disponibile în modul video pe tot ecranul",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Create Outlook invitation",,"Creare invitație Outlook",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Video title",,"Titlul videoclipului",,"None",,"All",,"Skype Cast Organizer 2016",,""
"only attendees listed below can join the meeting",,"doar participanții enumerați mai jos pot să se alăture întâlnirii",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting details couldn't be retrieved.",,"Imposibil de obținut detaliile întâlnirii.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Delete",,"Ștergeți",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Recover this meeting",,"Recuperați această întâlnire",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting request is empty.",,"Solicitarea de întâlnire este goală.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Create a video recording for download",,"Creați o înregistrare video pentru descărcare",,"None",,"All",,"Skype Cast Organizer 2016",,""
"BroadcastMeeting.ics",,"BroadcastMeeting.ics",,"None",,"All",,"Skype Cast Organizer 2016",,""
"View published video",,"Vizualizare videoclip publicat",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Edit meeting details",,"Editați detaliile întâlnirii",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You don't have any meetings this month.",,"Nu aveți nicio întâlnire luna aceasta.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Delete this meeting?",,"Ștergeți această întâlnire?",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The attendee is empty",,"Participantul nu este completat",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You don't have permission to create meetings",,"Nu aveți permisiunea să creați întâlniri",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Video recording was enabled",,"Înregistrarea video a fost activată",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The support code couldn't be created.",,"Imposibil de creat codul de asistență.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"No custom link",,"Niciun link personalizat",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Done",,"Terminat",,"None",,"All",,"Skype Cast Organizer 2016",,""
"are already in the event team",,"sunt deja în echipa evenimentului",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Give attendees access to content related to this meeting or provide contact links.",,"Acordați participanților acces la conținut legat de această întâlnire sau trimiteți linkuri de contact.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The account information wasn't found.",,"Nu s-au găsit informațiile contului.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Empty ETag",,"Etichetă electronică necompletată",,"None",,"All",,"Skype Cast Organizer 2016",,""
"One or more event team member' email addresses are empty",,"Una sau mai multe adrese de e-mail ale membrilor echipei evenimentului sunt necompletate",,"None",,"All",,"Skype Cast Organizer 2016",,""
"We have exciting news--our production environment is ready for new broadcasts! ",,"Avem vești interesante--mediul nostru de producție este gata pentru noi emisiuni! ",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Reports",,"Repoarte",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Couldn't find:",,"Nu au putut fi găsiți:",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Access",,"Acces",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Right panel app",,"Aplicația din panoul din dreapta",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Not started",,"Neîncepute",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Getting the link to the meeting recording...",,"Se obține linkul către înregistrarea întâlnirii...",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You can customize the attendee page to include audience participation apps and add supporting links.",,"Puteți să personalizați pagina participanților pentru a include aplicații de participare a publicului și a adăuga linkuri de asistență.",,"None",,"All",,"Skype Cast Organizer 2016",,""
