PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Your group name must consist of more than just identical letters",,"Numele grupului trebuie să conțină mai multe decât doar litere identice",,"None",,"All",,"Skype Manager",,""
"Group name is too long (max length 40 characters)",,"Numele grupului este prea lung (maximum 40 de caractere)",,"None",,"All",,"Skype Manager",,""
"Your group name cannot contain only numbers",,"Numele grupului nu poate include numai numere",,"None",,"All",,"Skype Manager",,""
"Group name is too short (min length 2 characters)",,"Numele grupului este prea scurt (minimum 2 caractere)",,"None",,"All",,"Skype Manager",,""
"Due to recent changes to Saudi Arabian tax requirements, from 1st January 2018 Skype will include Value Added Tax (VAT) for Saudi Arabia customers purchases of Skype paid products.",,"Din cauza modificărilor recente ale cerințelor privind taxele din Arabia Saudită, începând cu 1 ianuarie 2018, Skype va include taxa pe valoare adăugată (TVA) pentru achizițiile de produse cu plată Skype efectuate de clienții din Arabia Saudită.",,"None",,"All",,"Skype Manager",,""
"Due to recent changes to United Arab Emirates tax requirements, from 1st January 2018 Skype will include Value Added Tax (VAT) for United Arab Emirates customers purchases of Skype paid products.",,"Din cauza modificărilor recente ale cerințelor privind taxele din Emiratele Arabe Unite, începând cu 1 ianuarie 2018, Skype va include taxa pe valoare adăugată (TVA) pentru achizițiile de produse cu plată Skype efectuate de clienții din Emiratele Arabe Unite.",,"None",,"All",,"Skype Manager",,""
"Allocated to",,"Alocată pentru",,"None",,"All",,"Skype Manager",,""
"Amount",,"Suma",,"None",,"All",,"Skype Manager",,""
"Group",,"Grup",,"None",,"All",,"Skype Manager",,""
"Destination",,"Destinația",,"None",,"All",,"Skype Manager",,""
"Email",,"Adresa de e-mail",,"None",,"All",,"Skype Manager",,""
"Skype Name",,"Nume Skype",,"None",,"All",,"Skype Manager",,""
"Member",,"Membru",,"None",,"All",,"Skype Manager",,""
"Outbound call",,"Apel de ieșire",,"None",,"All",,"Skype Manager",,""
"Conference",,"Conferință",,"None",,"All",,"Skype Manager",,""
"Call Forwarded",,"Apel redirecționat",,"None",,"All",,"Skype Manager",,""
"Skype To Go call",,"Apel Skype To Go",,"None",,"All",,"Skype Manager",,""
"Transferred",,"Transferat",,"None",,"All",,"Skype Manager",,""
"Unknown",,"Necunoscut",,"None",,"All",,"Skype Manager",,""
"(forwarded: {FORWARDED_TO})",,"(redirecționat: {FORWARDED_TO})",,"None",,"All",,"Skype Manager",,""
"From: {CALLER_NUMBER} {LINE_BREAK}To: {CALLED_NUMBER}",,"De la: {CALLER_NUMBER} {LINE_BREAK}Către: {CALLED_NUMBER}",,"None",,"All",,"Skype Manager",,""
"Inbound call to Skype Number",,"Apel de intrare către un număr Skype",,"None",,"All",,"Skype Manager",,""
"Forwarded Inbound call",,"Apel de intrare redirecționat",,"None",,"All",,"Skype Manager",,""
"Skype Number will be available in a few minutes.",,"Numărul Skype va fi disponibil în câteva minute.",,"None",,"All",,"Skype Manager",,""
"Subscription will be available in a few minutes.",,"Abonamentul va fi disponibil în câteva minute.",,"None",,"All",,"Skype Manager",,""
"Less than previous month",,"Mai puțin decât luna anterioară",,"None",,"All",,"Skype Manager",,""
"More than previous month",,"Mai mult decât luna anterioară",,"None",,"All",,"Skype Manager",,""
"Add another email address",,"Adaugă altă adresă de e-mail",,"None",,"All",,"Skype Manager",,""
"Add new subscription",,"Adaugă un abonament nou",,"None",,"All",,"Skype Manager",,""
"I want to access the reports",,"Doresc să accesez rapoartele",,"None",,"All",,"Skype Manager",,""
"Agree",,"Sunt de acord",,"None",,"All",,"Skype Manager",,""
"Allocate subscriptions",,"Alocă abonamentele",,"None",,"All",,"Skype Manager",,""
"Buy more credit",,"Cumpărați mai mult credit",,"None",,"All",,"Skype Manager",,""
