PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Chat",,"Chat",,"Text",,"All",,"SkypeSpaces - iOS",,""
"This message has been edited.",,"Acest mesaj a fost editat.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Go to {0} team,  {1} channel",,"Accesați echipa {0}, canalul {1}",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Channel was mentioned",,"Canalul a fost menționat",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Team was mentioned",,"Echipa a fost menționată",,"Text",,"All",,"SkypeSpaces - iOS",,""
"You were mentioned",,"Ați fost menționat(ă)",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message copied",,"Mesaj copiat",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message deleted",,"Mesaj șters",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message liked",,"Mesaj apreciat",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message unliked",,"Mesaj neapreciat",,"Text",,"All",,"SkypeSpaces - iOS",,""
"This user has been muted.",,"Acest utilizator are sunetul dezactivat.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"User muted",,"Utilizator cu sunet dezactivat",,"Text",,"All",,"SkypeSpaces - iOS",,""
"User unmuted",,"Utilizator cu sunet activat",,"Text",,"All",,"SkypeSpaces - iOS",,""
"email",,"e-mail",,"Text",,"All",,"SkypeSpaces - iOS",,""
"password",,"parolă",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign in",,"Conectați-vă",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign In Error",,"Eroare la conectare",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign in to get started.",,"Conectați-vă pentru a începe.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign out",,"Deconectați-vă",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Are you sure you want to sign out?",,"Sigur doriți să vă deconectați?",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Signing in...",,"Se conectează...",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Signing out...",,"Se deconectează...",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Missed call",,"Apel pierdut",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Voicemail",,"Mesagerie vocală",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Activity",,"Activitate",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Started a new conversation in {0}",,"A început o conversație nouă în {0}",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Reply to conversation in {0}",,"Răspundeți la conversația din {0}",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add Channel",,"Adăugați un canal",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Please check your network connection and try again",,"Verificați conexiunea la rețea și încercați din nou",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add Members",,"Adăugați membri",,"Text",,"All",,"SkypeSpaces - iOS",,""
"%@ added %@ to the conversation",,"%@ l-a adăugat pe utilizatorul %@ la conversație",,"Text",,"All",,"SkypeSpaces - iOS",,""
"We couldn't add members.",,"Nu am putut adăuga membri.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"%@ added %@ to the meeting",,"%@ l-a adăugat pe utilizatorul %@ la întâlnire",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Invite new user",,"Invitați un utilizator nou",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add people to the meeting.",,"Adăugați persoane la întâlnire.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add people",,"Adaugă persoane",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add Team",,"Adăugați o echipă",,"Text",,"All",,"SkypeSpaces - iOS",,""
"The team name you've chosen contains a word that can't be used.",,"Numele pe care l-ați ales pentru echipă conține un cuvânt care nu poate fi utilizat.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Cancel",,"Anulați",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Classification",,"Clasificare",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Done",,"Gata",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Name will appear as:",,"Numele va fi afișat ca:",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Add:",,"Adăugați:",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Skip",,"Ignorați",,"Text",,"All",,"SkypeSpaces - iOS",,""
"The team name you've chosen is not valid.",,"Numele pe care l-ați ales pentru echipă nu este valid.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Privacy",,"Confidențialitate",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Private",,"Privată",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Only team owners can add members",,"Numai proprietarii echipei pot să adauge membri",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Public",,"Publică",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Anyone in your org can discover and join",,"Orice persoană din organizația dumneavoastră poate să descopere și să se alăture",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Create team",,"Creați o echipă",,"Text",,"All",,"SkypeSpaces - iOS",,""
"See your organization's guidelines",,"Consultați indicațiile organizației dumneavoastră",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Tap the star to add a team to your favorites",,"Atingeți steaua pentru a adăuga o echipă la Preferate",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Admit all",,"Admiteți toți utilizatorii",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Admit",,"Admiteți",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Error",,"Eroare",,"Text",,"All",,"SkypeSpaces - iOS",,""
"All",,"Toate",,"Text",,"All",,"SkypeSpaces - iOS",,""
"All day",,"Toată ziua",,"Text",,"All",,"SkypeSpaces - iOS",,""
"All day meetings",,"Întâlnirile de o zi",,"Text",,"All",,"SkypeSpaces - iOS",,""
"By joining this meeting you have consented to be recorded. Click here for",,"Prin alăturarea la această întâlnire, ați fost de acord să fiți înregistrat(ă). Dați clic aici pentru",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Answer call",,"Răspundeți la apel",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Microsoft Teams logo.",,"Sigla Microsoft Teams.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Microsoft Teams",,"Microsoft Teams",,"Text",,"All",,"SkypeSpaces - iOS",,""
